,abstract,id,title
0,,28041689,Cirugía torácica video-asistida y resecciones pulmonares anatómicas. ¿Dónde estamos? Encuesta nacional de la Sociedad Española de Cirugía Torácica.
1,"Introducción: en la corrección quirúrgica de la tetralogía de Fallot existe uniformidad en la forma de cerrar el defecto septal, pero variedad en cómo ampliar el tracto de salida del ventrículo derecho, por lo que se compara la evolución clínica posoperatoria temprana de la ampliación del tracto de salida del ventrículo derecho con ventriculotomía clásica e infundibulectomía minima. Métodos: análisis de la base de datos de un servicio de cardiocirugía pediátrica de 2008 a 2011. Se eligieron pacientes con tetralogía de Fallot no compleja sometidos a corrección completa mediante ventriculotomía clásica o infundibulectomía minima. Para el análisis estadístico se obtuvo Anova, χ ",24021075,Infundibulectomía mínima adversus ventriculotomía clásica en tetralogía de Fallot.
2,,27208914,La discusión de casos por videoconferencia mejora la eficiencia de la consulta externa de cirugía torácica.
3,"Capstesia es una aplicación (app) para smartphones que puede constituir una alternativa sencilla, accesible y económica a los dispositivos actuales de monitoreo hemodinámico avanzado. El objetivo de este trabajo fue establecer el grado de concordancia existente entre el monitor Vigileo y la app Capstesia, para medir el gasto cardiaco en pacientes sometidos a cirugía cardiaca. Se realizó un estudio de proceso, que incluyó 30 pacientes a los que se les determinó simultáneamente el gasto cardiaco con el monitor Vigileo y la app Capstesia. Para su análisis se utilizó el coeficiente de correlación-concordancia de Lin y la prueba t de Student, una p < 0.05 fue significativa. La información se procesó en SPSS v-22.0. Se tomaron 332 muestras con su par. Los valores de gasto cardiaco obtenidos fueron 4.43 ± 1.37 L/min para el monitor Vigileo y 4.45 ± 1.38 L/min para la app Capstesia. El coeficiente de correlación-concordancia de Lin arrojó un valor de 0.966 con IC95% de 0.958 a 0.973. Existe concordancia sustancial entre los valores de gasto cardiaco medidos por el monitor Vigileo y la app Capstesia en pacientes sometidos a cirugía cardiaca. ",29901910,Concordancia en la medición del gasto cardiaco. Vigileo vs. Capstesia
4,,22364033,Atención médico-quirúrgica de las cardiopatías congénitas: una visión panorámica de la realidad en México. Encuesta 2009.
5,,21276491,"Actualización en cardiología pediátrica y cardiopatías congénitas: técnicas de imagen, hipertensión arterial pulmonar, tratamientos híbridos y quirúrgicos."
6,"Se hace una revisión de la historia de la cirugía cardiaca a nivel mundial dividida en tres etapas; la primera desde los inicios de la humanidad hasta 300 años a.C, El segundo momento muestra cómo surge la plataforma que daría las bases anatómicas y funcionales del sistema cardiovascular. Este momento histórico comprende: 1. La descripción y el análisis de la función sanguínea y sus componentes; 2. La descripción de la anatomía normal y anormal del corazón humano y sus vasos; 3. La correlación anatomo-funcional: fundamento del pensamiento deductivo, y 4. La integración anatomo-funcional con la clínica. Por último, la tercera ola, que es la que se vive en la actualidad, es la etapa de la explosión tecnológica que inicia con los procedimientos toracoscópicos, con el concepto de reducir el trauma quirúrgico mediante la cirugía de mínimo abordaje. También está el uso de la robótica para solucionar algunos de las alteraciones en las Cardiopatías Congénitas, otro son los procedimientos hibridos y finalmente la cirugía fetal. ",27428342,La tercera ola de la cirugía cardiaca.
7,"Introducción: las infecciones nosocomiales son responsables de una elevada tasa de morbilidad y mortalidad en el paciente pediátrico sometido a cirugía cardiaca. Nuestro objetivo fue determinar la incidencia y los factores de riesgo de las infecciones nosocomiales. Métodos: estudio clínico descriptivo, prospectivo, en un hospital de tercer nivel durante un año. Se calculó: la tasa de incidencia, incidencia acumulada y por dispositivos utilizados. Se aplicó el programa EPIDAT 2004 versión 3.1 OPS para la obtención de Chi cuadrada con corrección de Yates para obtener p con una confianza del 95 %, alfa de 0.05 con un grado de libertad, se estimó odds ratio (OR). Se llevó a cabo la identificación de microorganismos, su sensibilidad y resistencia a los antibióticos. Resultados: se calcularon las tasas de: incidencia, incidencia acumulada, mortalidad, letalidad de infectados de y no infectados. Las neumonías con el 44.4 %, asociada a ventilación mecánica 74 %, sonda nasogástrica 100 %. Los microorganismos más frecuentemente aislados: Acinetobacter baumanni, Staphylococcus aureus, Staphylococcus epidermidis y Pseudomonas aeruginosa con elevada resistencia a los antibióticos. Conclusiones: los pacientes pediátricos sometidos a cardiocirugía tienen riesgo elevado de infección, los de cardiopatías cianógenas tienen 5 veces más el riesgo. Se observa una asociación estadística significativa con infección el uso de sonda nasogástrica y cánula orotraqueal, el riesgo aumenta a mayor estancia hospitalaria. Los pacientes infectados tienen 4 veces más el riesgo de muerte. ",26960046,Incidencia y factores de riesgo asociados a infección nosocomial en cardiocirugía pediátrica.
8,,26633604,Evolución de la saturación regional cerebral de oxígeno en el perioperatorio de cirugía torácica y su relación con la saturación venosa central.
9,"Introducción: la procalcitonina (PCT) sirve para discriminar entre infección y complicaciones no infecciosas en cirugías cardiacas. Se busca describir el riesgo de neumonía nosocomial y la utilidad de la PCT en el diagnóstico de pacientes pediátricos sometidos a cirugía cardiovascular. Métodos: estudio de casos y controles anidados en una cohorte. Durante un año a todos los pacientes sometidos a cirugía cardiovascular se les hizo seguimiento diario de sus condiciones clínicas y determinación de PCT a las 48 horas de haber sido intervenidos quirúrgicamente. Se tomaron exclusivamente los pacientes sometidos a circulación extracorpórea: los casos desarrollaron neumonía según los criterios del CDC; los controles, no. Resultados: se intervinieron 188 pacientes. Desarrolló neumonía el 15 %. Fueron sometidos a circulación extracorpórea 97 pacientes, quedando 24 casos y 73 controles. El 78 % de los casos desarrolló proceso neumónico entre el segundo y el quinto día postquirúrgico. La media del tiempo quirúrgico (TQ), circulación extracorpórea (TCE), pinzamiento aórtico (TPA) y ventilación mecánica fueron mayores en los casos (p < 0.001). La frecuencia de esternotomía abierta, reintubación e infección de herida quirúrgica fue más alta en el grupo de casos (p < 0.001). Conclusiones: algunos eventos del proceso quirúrgico cardiovascular y su posterior manejo están significativamente asociados al desarrollo de neumonía nosocomial en niños. ",26509308,Factores de riesgo para el desarrollo de neumonía nosocomial en pacientes pediátricos sometidos a cirugía cardiovascular.
10,,27422096,Aislamiento pulmonar en pacientes con resecciones pulmonares previas: bloqueo lobular selectivo secuencial con bloqueador bronquial Fuji Uniblocker
11,,27389767,Recomendaciones SEPAR de diagnóstico y tratamiento del cáncer de pulmón de células no pequeñas.
12,,25716679,Colesterol HDL y troponina T ultrasensible como biomarcadores predictivos de fibrilación auricular postoperatoria.
13,,24882756,Análisis comparativo del abordaje para el tratamiento del timoma estadio i-ii: VATS versus abordaje convencional.
14,,30848742,Cirugía coronaria: resultados inmediatos y alejados de la cirugía de revascularización miocárdica en enfermedad coronaria.
15,,17315609,Medio siglo de cirugía a corazón abierto en México.
16,,29203305,Complicaciones infecciosas en niños tratados con oxigenación por membrana extracorpórea.
17,"Describir las características histopatológicas de los explantes cardiacos y las biopsias endomiocárdicas postrasplante realizadas en un centro de referencia nacional del Perú. Estudio de una serie de casos de pacientes sometidos a trasplante cardiaco entre marzo de 2010 y febrero de 2018. Los 61 pacientes trasplantados, tuvieron un promedio de edad de 40,1 (rango: 9-66 años). Cinco casos (8,2%) diagnosticados inicialmente como miocardiopatía dilatada fueron reclasificados después del estudio histopatológico. Las tres primeras causas de enfermedad primaria previa al trasplante fueron: miocardiopatía dilatada idiopática (50,8%), cardiopatía isquémica (16,4%), y cardiopatía valvular (6,6%). El seguimiento promedio fue de 2,8 años. La tasa de supervivencia después del trasplante fue del 85,1% al año y del 82,8% a los cinco años. El rechazo celular agudo moderado/severo ocurrió en 12 pacientes (21,1%) y el rechazo mediado por anticuerpos ocurrió en tres pacientes (5,3%). La evaluación histopatológica rutinaria del explante cardiaco es esencial para confirmar la etiología de la insuficiencia cardíaca, especialmente en los casos diagnosticados clínicamente como miocardiopatía dilatada. Asimismo, el seguimiento rutinario mediante biopsias endomiocárdicas muestra que el rechazo celular agudo continúa siendo una complicación frecuente durante el primer año de trasplante, y que el rechazo mediado por anticuerpos tiene una baja frecuencia en nuestra población. ",30183903,Patología del trasplante cardiaco en el Perú: Experiencia con 61 casos en un centro de referencia nacional.
18,,29373189,Programa de ahorro de sangre en cirugía cardiaca: resultados.
19,,28736085,"Síndrome de bajo gasto cardiaco en el postoperatorio de cirugía cardiaca. Perfil, diferencias en evolución clínica y pronóstico. Estudio ESBAGA."
20,,29223684,Tromboelastometría como guía de administración de hemoderivados en cirugía cardiaca.
21,,29129323,Alteraciones hematológicas en el paciente cardíaco tras uso de un sistema de autotransfusión.
22,,29664507,Evaluación ecocardiográfica de pacientes pediátricos post-trasplante cardiaco en Chile: Aplicación inicial de un protocolo funcional con Strain longitudinal global.
23,,28754509,Valoración geriátrica antes de la implantación valvular aórtica a través de catéter en pacientes ancianos.
24,,28291723,Cirugía cardiaca en pacientes con lupus eritematoso sistémico: características clínicas y desenlaces.
25,,29032806,Evaluación de los pacientes candidatos a implante transcatéter de válvula aórtica mediante tomografía computarizada multidetector.
26,,28063673,Cirugía de revascularización de miocardio usando arteria mamaria interna bilateral. Resultados a corto plazo.
27,,27554363,Intervención coronaria percutánea del tronco no protegido de la coronaria izquierda comparada con cirugía de revascularización coronaria; experiencia de 3 años en el Instituto Nacional de Cardiología.
28,,28259366,Soporte mecánico con membrana de oxigenación extracorpórea veno-arterial (ECMO-VA): evolución a corto y a largo plazo tras la retirada de la asistencia.
29,,27493083,"Endocarditis infecciosa sobre válvula aórtica bicúspide: características clínicas, complicaciones y pronóstico."
30,,28400132,Utilidad de un dispositivo luminoso simple para mejorar el aprendizaje del masaje cardiaco.
31,"Diseñar y validar un instrumento para evaluar la pertinencia de programas educativos en padres de niños con cardiopatías congénitas (CC) sometidos a cirugía cardíaca. En octubre de 2011, se diseñó un instrumento basado en el modelo de Kaufman y en la literatura se obtuvo una encuesta tipo checklist de 32 preguntas cerradas sobre educación recibida y educación deseada, categorizadas en 5 ítems: educador, momento, lugar, medios y contenidos. La encuesta fue revisada por 4 académicos y 9 expertos en áreas de atención al niño con CC y aumentaron a 42 preguntas cerradas y 5 abiertas. El instrumento fue aplicado el día previo al alta en los padres de niños con CC sometidos a cirugía cardíaca en el Servicio de Pediatría entre febrero y agosto de 2013. La encuesta fue autoaplicada en los primeros participantes y aplicada por el investigador en el resto. Cincuenta y cinco niños cumplieron con los criterios de inclusión; participaron, en total, 60 padres. Se observó concordancia entre la educación recibida y la educación deseada, estadísticamente significativa solo en la educación otorgada por parte del cardiólogo (p= 0,000; K= 0,659) y en el pasillo (p= 0,000; K= 0,655). Se encontraron diferencias estadísticamente significativas entre las 19 encuestas autoaplicadas y las 41 aplicadas por el investigador. Estas últimas fueron más completas en todos los ítems. Se obtuvo un instrumento validado que permitió evaluar la pertinencia de programas educativos para padres de niños con CC sometidos a cirugía cardíaca. Esta encuesta debe ser aplicada por un profesional para una mejor comprensión de la información. ",28895690,Instrumento para evaluar programas educativos para padres de niños con cardiopatíascongénitas sometidos a cirugía cardíaca.
32,,28987399,Revisión del manejo de la vía aérea díficil en cirugía torácica.
33,,28737196,Resultados de un programa nacional de trasplante cardiaco pediátrico: fortalezas y debilidades.
34,,29336785,Bloqueo del plano del músculo erector de la columna en 4 casos de cirugía torácica videoasistida.
