,abstract,id,title
0,,17542247,Sindrome anticolinérgico periférico.
1,"Antecedentes: La inmunodeficiencia común variable es la inmunodeficiencia primaria más diagnosticada en los adultos; se caracteriza por infecciones sinopulmonares y gastrointestinales de repetición y mayor incidencia de procesos autoinmunes y malignidad. Numerosos pacientes inician con las manifestaciones clínicas durante la edad reproductiva. Caso clínico: Mujer de 34 años de edad con 12 semanas de gestación, en quien se diagnosticó inmunodeficiencia común variable después de cuadros recurrentes de rinosinusitis, faringoadmidalitis y neumonías. Durante el segundo trimestre se prescribió 0.6 g/kg de inmunoglobulina intravenosa cada 21 días; la paciente solo presentó un episodio de faringoamigdalitis, con adecuada respuesta al tratamiento con antibióticos. Durante el tercer trimestre se ajustó la dosis a cada 14 días. La paciente concluyó el embarazo a término sin complicaciones, con producto sin malformaciones y con peso y talla adecuados. Conclusiones: La administración de inmunoglobulina es el principal tratamiento para controlar la inmunodeficiencia común variable. Si bien la dosis inicial recomendada es de 400-800 mg/kg en forma intravenosa cada 3 a 4 semanas, no existe un consenso sobre la dosis que debe emplearse en la mujer que cursa con embarazo. La recomendación es realizar controles de niveles séricos antes de la infusión para determinarla y ajustarla. ",27560919,Uso de inmunoglobulina intravenosa en el embarazo. Reporte de una paciente con inmunodeficiencia común variable.
2,,26616568,"Reactivación de infección por Mycobacterium bovis, e inhibidores del factor de necrosis tumoral. El caso de México."
3,,26857205,Informe de casos de acidosis tubular renal y errores de diagnóstico.
4,"Antecedentes: la prevalencia de enfermedad respiratoria exacerbada por aspirina es de 7% en pacientes asmáticos y se incrementa, incluso, a 14% en pacientes con asma de difícil control. El tratamiento incluye la prescripción de inhibidores de los receptores de leucotrienos, esteroides intranasales, polipectomías, tratamiento del asma según su severidad y evitar los antiinflamatorios no esteroides. En algunos pacientes es necesario realizar el protocolo de desensibilización a la aspirina. Casos clínicos: se describen 2 mujeres con diagnóstico de enfermedad respiratoria exacerbada por la administración de aspirina, con escaso control de los cuadros de asma y a quienes fue necesario realizar múltiples polipectomías, a pesar del manejo farmacológico óptimo. Se llevó a cabo protocolo de desensibilización a aspirina (AAS); la respuesta fue positiva. Después de cuatro años, las pacientes presentan adecuado control del asma, con una dosis de mantenimiento de AAS de 150 mg/ día y no han requerido polipectomías. ",27174764,Eficacia a largo plazo de la desensibilización a aspirina en enfermedad respiratoria exacerbada por aspirina. Revisión de 2 casos clínicos.
5,"El síndrome hemofagocítico se distingue por la proliferación y activación de células presentadoras de antígeno en la médula ósea y otros órganos del sistema retículo endotelial, así como de linfocitos T CD8+ que ponen en peligro la vida de los pacientes. Las manifestaciones clínicas predominantes, como fiebre, citopenias, hepatitis, coagulopatía, síntomas neurológicos e insuficiencia orgánica múltiple están relacionadas con inflamación sistémica. Comunicamos el caso de un lactante que inició su padecimiento con ictericia, dolor abdominal, vómito, ataque al estado general, hepatomegalia, esplenomegalia y características bioquímicas sugerentes de inflamación hepatocelular y colestasis progresiva con mala evolución clínica; al cuadro se agregó fiebre persistente, crisis convulsivas, anemia, trombocitopenia, leucopenia, ferritina y triglicéridos elevados, que integraron síndrome hemofagocítico con desenlace fatal a pesar de recibir tratamiento inmunosupresor. ",26943833,Síndrome hemofagocítico asociado con hepatitis.
6,,26502469,Rituximab e hipogammaglobulinemia.
7,"La aspergilosis broncopulmonar alérgica es una enfermedad de progresión lenta, producida por la hipersensibilidad al hongo Aspergillus fumigatus cuando invade la vía aérea. Por lo general afecta a pacientes asmáticos y con fibrosis quística. Comunicamos el caso de un paciente de 20 años de edad, estudiante, ganadero y agricultor, con un cuadro respiratorio crónico. Luego del análisis de sus síntomas y de estudios complementarios, llegamos al diagnóstico de aspergilosis broncopulmonar alérgica. ",24915624,Aspergilosis broncopulmonar alérgica.
8,"La hipersensibilidad a corticoesteroides es un fenómeno complejo en el que interactúan múltiples factores como idiosincrasia, intolerancia o alergia. La prevalencia de las reacciones de hipersensibilidad inmediata a corticoesteroides es de 0.2 a 0.5%. Debido a la relevancia terapéutica de los esteroides, es importante confirmar el diagnóstico de hipersensibilidad con pruebas in vivo, in vitro, o ambas, el patrón de referencia es la prueba de reto con el fármaco implicado. Una vez realizado el diagnóstico y en caso de que se requiera continuar con el tratamiento con esteroides, deberá considerarse la reactividad cruzada entre los diferentes grupos propuestos en la clasificación de Coopman, en la que los corticoesteroides pertenecientes a los grupos A, B y D2 tienen una elevada reactividad cruzada entre sí; sin embargo, hacen falta más estudios para determinar el grado de reactividad cruzada entre estos fármacos. Comunicamos el caso de una paciente en la que se confirmó el diagnóstico de hipersensibilidad a succinato de hidrocortisona con la prueba de reto. ",24913000,Utilidad de la prueba de reto en hipersensibilidad inmediata a succinato sódico de hidrocortisona.
9,"INTRODUCCIÓN: la inmunodeficiencia común variable es la inmunodeficiencia primaria más sintomática, 70 a 80 % de los pacientes presentan neoplasias. Existen escasos informes de pacientes portadores de leucemia mieloide crónica e inmunodeficiencia común variable. CASO CLÍNICO: mujer de 36 años, quien inició su padecimiento con dolor en hipocondrio izquierdo, pérdida de peso de 8 kg en tres meses y esplenomegalia. Los resultados de la biometría hemática indicaron cuenta leucocitaria de 206 000/mL, 8 % de blastos, cuenta plaquetaria de 530 000/mL y hemoglobina de 8 g/dL. Con la ultrasonografía abdominal se identificó esplenomegalia de 19 ´ 12 cm. El cariotipo mostró el gen BCR/ABL 64.20 % IS y cromosoma Filadelfia 100 %. Se diagnosticó leucemia mieloide crónica. Por infecciones gastrointestinales y respiratorias frecuentes, así como por concentraciones reducidas de IgG, IgM e IgA, la paciente fue valorada por el servicio de alergia e inmunología clínica, donde se diagnosticó inmunodeficiencia común variable. la relación de la leucemia mieloide crónica con la inmunodeficiencia común variable es poco frecuente. Es importante que los pacientes portadores de leucemia mieloide crónica que cursen con infecciones de repetición, se realicen cuantificación de inmunoglobulinas séricas y, en caso de disminución de las mismas, sean referidos para su valoración y tratamiento. ",24625491,Leucemia mieloide crónica en un adulto con inmunodeficiencia común variable.
