,abstract,id,title
0,,22760760,Síndrome de Phelan McDermid: descripción de cinco pacientes e informe del primer caso descripto en gemelas siamesas.
1,,23672117,Gestación gemelar con un feto con síndrome de Patau (trisomía 13): tres casos clínicos.
2,,26916329,Ataxia espinocerebelosa 27: descripción del fenotipo clínico de dos hermanas gemelas con una deleción en el gen FGF14.
3,"El síndrome de la trisomía 18 es un trastorno clínico y genético, el cual presenta un cromosoma 18 extra completo en cada célula, variante que se denomina trisomía libre. Además, puede ocurrir en la forma parcial y mosaico. Clínicamente, se caracteriza por retardo del crecimiento intrauterino, del desarrollo psicomotor y mental, hallazgos craneofaciales característicos, cardiopatía congénita, pelvis hipoplásica, manos empuñadas y pies en mecedora, entre otros. La trisomía 18 en mosaico se presenta cuando células con trisomía del cromosoma 18 y líneas celulares normales existen en un mismo individuo, y corresponde al 5% de los casos. Los hallazgos fenotípicos son muy variables y no se evidencia una correlación entre el porcentaje de células trisómicas y los hallazgos encontrados. El objetivo de este informe es presentar una serie de cinco casos de trisomía 18 en mosaico. Se hace énfasis en los aspectos clínicos con la finalidad de orientar una adecuada atención médica interdisciplinaria y brindar un oportuno asesoramiento genético. ",28504507,Trisomía 18 en mosaico. Serie de casos.
4,,26077278,Falso negativo en el primer cribado neonatal de hipotiroidismo congénito en recién nacido gemelo.
5,"Variabilidad en la presentacion clinica en la enfermedad de Pompe: evolucion tras terapia de reemplazo enzimatico. Introduccion. La enfermedad de Pompe es un trastorno generalizado progresivo producido por el deficit de la enzima alfa-glucosidasa acida (AGA) de los lisosomas. Se presentan tres casos manifestados de forma muy diferente y tratados con terapia enzimatica sustitutiva (TES), con evolucion favorable. Casos clinicos. Caso 1: varon de 3 meses, con debilidad y rechazo de la alimentacion, hepatomegalia leve, ligera macroglosia e hipotonia, y aumento de las enzimas musculares. Caso 2: varon de 5 meses, con retraso del desarrollo motor, sordera neurosensorial grave, trastornos respiratorios de repeticion de evolucion torpida, hipotonia y leve elevacion de la creatincinasa. Caso 3: varon de 22 años con disnea progresiva, con antecedentes de elevacion de la creatincinasa y las transaminasas, e hipercolesterolemia. Sufrio insuficiencia respiratoria grave que preciso intubacion endotraqueal. La biopsia muscular presento depositos de glucogeno sugestivos de la enfermedad. En los tres casos, el estudio electromiografico dio un patron caracteristico, con descargas pseudomiotonicas, y se confirmo el deficit de AGA en los linfocitos. Se encontro una mutacion en un caso y dos mutaciones en los otros dos. Todos recibieron TES con evolucion favorable: desaparicion de las alteraciones cardiacas en el caso 1, mejoria en los hitos motores en los dos casos infantiles y retirada del respirador en el caso 3. Conclusion. La enfermedad de Pompe tiene una amplia variabilidad en la expresion clinica. La TES consigue una buena respuesta, especialmente en las formas infantiles. La supervivencia a largo plazo de las formas infantiles tratadas permitira conocer mas aspectos del curso de la enfermedad. ",26503317,Variabilidad en la presentación clínica en la enfermedad de Pompe: evolución tras terapia de reemplazo enzimático.
6,,25697321,Variabilidad fenotípica de la fibrosis quística: reporte de 2 gemelos con la mutación F508/F508.
7,,23218994,Estenosis de canal a nivel del atlas en un niño con síndrome de Down. Presentación de un caso y revisión de la literatura.
8,,23428761,Bronquiolitis obliterante posinfecciosa en niños con deficiencia de α1-antitripsina.
9,,23684171,Trisomía 13 en mosaico.
10,,29037952,Variabilidad fenotípica en 13 casos de deleción 16p11.2.
11,"La existencia de una doble aneuploidía en un mismo individuo es una anomalía cromosómica poco frecuente que involucra, mayoritariamente, al par sexual y al cromosoma 21. En el presente artículo, se expone el caso clínico de un niño con la doble aneuploidía 48,XXY,+18. El fenotipo del paciente era coincidente con el síndrome de Edwards. El diagnóstico se efectuó mediante la realización del estudio citogenético de linfocitos de sangre periférica. En la bibliografía revisada, solo se han encontrado 15 casos reportados de pacientes con síndromes de Klinefelter y Edwards. ",28895703,"Doble aneuploidía: síndromes de Klinefelter y Edwards (48,XXY,+18). Reporte de caso."
12,,21377639,Nevo psilolíparo en un niño con lipomatosis encefalocraneocutánea.
13,,28440776,Mosaicismo XYY/X0.
14,,26294167,Aqueiropodia: primer reporte de caso en Argentina.
15,"El síndrome por deleción del brazo corto del cromosoma 18 es poco frecuente. Se caracteriza por retardo mental, retardo en el crecimiento, malformaciones craneofaciales, que incluyen orejas largas, macrocefalia y cuello corto. La variabilidad fenotípica va desde anomalías congénitas menores a holoprosencefalia. Se presenta un caso de una niña de 10 años con deleción del brazo corto del cromosoma 18 (18p11.32-p11.21), caracterizado por citiogenética convencional e hibridación genómica comparada. ",27869431,Síndrome por deleción 18p diagnosticado por hibridación genómica comparada : presentación de un caso con fenotipo leve.
16,"La reciente introducción de las pruebas prenatales no invasivas (NIPT, por sus siglas en inglés) basadas en el ADN libre ofrece un método más preciso que los métodos tradicionales de detección en el suero materno para identificar aneuploidías fetales. La eficacia de las pruebas NIPT para detectar los síndromes de Down, Edwards y Patau se ha demostrado en ensayos clínicos. Sin embargo, los enfoques de las pruebas NIPT que aprovechan la información sobre el polimorfismo de un solo nucleótido (SNP, por sus siglas en inglés) tienen el potencial de identificar triploidías, síndromes de microdeleción cromosómica y otras variantes genéticas no habituales. Para destacar este enfoque de las pruebas NIPT, se presenta un caso poco frecuente de monosomía del cromosoma X debido a mosaicismo confinado a la placenta, del que había una sospecha prenatal por el resultado de una prueba prenatal no invasiva basada en el polimorfismo de un solo nucleótido. Los resultados de las pruebas invasivas (amniocentesis) mostraron una pequeña proporción de mosaicismo del cromosoma X (45, X[5]/46, XX[95]). Después del nacimiento, el cariotipo de la niña no reveló anomalías (46 XX), lo que confirmó que el mosaicismo se limitaba a la placenta. Estos resultados ponen de manifiesto la necesidad del consentimiento informado de la paciente, y del minucioso asesoramiento anterior y posterior a las pruebas, para garantizar que comprenda las limitaciones y las ventajas de dichas pruebas, y las repercusiones de los resultados. ",27606664,Recién nacida normal con sospecha prenatal de monosomía del cromosoma X debido a mosaicismo confinado a la placenta.
17,,26692474,Síndrome de Sotos diagnosticado por hibridación genómica comparativa.
18,,26460083,Síndrome de trisomía 18. Reporte de un caso clínico.
19,"El síndrome de duplicación 7q11.23 es una patología causada por la duplicación de una región del cromosoma 7 que comprende 26 genes. El primer caso descrito en la literatura fue reportado por Somerville et al., en el año 2005, quienes describieron un paciente con dolicocefalia, frente alta y estrecha, pestanas largas, nariz alta y ancha, filtrum corto, paladar ojival, maloclusión dental, retrognatia y retardo grave en el lenguaje. Presentamos una paciente colombiana con hallazgo de duplicación 7q11.23 mediante técnicas de hibridación genómica comparativa y hallazgos clínicos clásicos. Este es el primer caso comunicado en Colombia y en América Latina. ",26914082,Síndrome de duplicación 7q11.23. Primer caso descrito en América Latina.
20,,26294165,"Polidactilia, holoprosencefalia, labio y paladar hendido: no siempre es lo que parece."
21,,26353463,Obstrucción gastrointestinal en la trisomía X en mosaico.
22,,25622172,Isocromosoma Xq en mosaico y microduplicación 17pl3.3pl3.2 en una paciente con síndrome de Turner y catarata congénita.
23,,25475905,Isocromosomas X: diagnóstico tardío de síndrome de Turner.
24,,25030075,Importancia de la genética molecular en la epilepsia refractaria del lactante con fenotipo normal.
