,abstract,id,title
0,,24871126,Lesiones esplénicas en medicina interna.
1,,22652296,La enfermedad de Von Hippel-Lindau y el papel del internista en las enfermedades raras.
2,,27131948,Infección masiva por Ancylostoma duodenale como causa de hemorragia intestinal y anemia severa.
3,,20434145,Atención urgente a un paciente alcohólico.
4,,9197031,Consulta del internista en el 2000.
5,,20144794,"Conducta terapéutica en la diabetes tipo 2. Cuanto más breve, mejor."
6,,31081502,OnabotulinumtoxinA en el tratamiento de la odontalgia atípica: descripción de un caso clínico.
7,,27776963,Paresia idiopática del nervio hipogloso.
8,"Introducción: la enfermedad celiaca es una enfermedad autoinmune con síntomas que involucran a múltiples órganos. Las formas de presentación varían de modo notable lo que dificulta su diagnóstico. El objetivo es presentar un caso atípico de enfermedad celiaca. estudio descriptivo, retrospectivo, de corte transversal de un caso de mujer adulta que se presentó con tetania investigando el caso se llegó al diagnóstico de tetania secundaria a un síndrome de malabsorción intestinal debida a enfermedad celiaca, confirmada por histología. la enfermedad celiaca puede presentarse atípicamente como una tetania. ",30882343,Tetania como forma de presentación de enfermedad celiaca en el adulto.
9,,30503027,Fitobezoar gástrico gigante secundario a estenosis pilórica tratado con Coca-Cola
10,,30848774,Síndrome de DRESS con compromiso pulmonar extenso. Una presentación inhabitual.
11,,30694190,Ceguera cortical como manifestación inicial de endocarditis trombótica no bacteriana.
12,,30378394,Aislamiento de Moraxella atlantae en la válvula nativa de un paciente con endocarditis infecciosa.
13,"El feocromocitoma constituye una neoplasia productora de catecolaminas que se presenta de forma esporádica o asociada a enfermedades de transmisión hereditaria, como la neoplasia endocrina múltiple. Los síntomas clásicos como la cefalea, sudoración y palpitaciones son atribuidos a la actividad del sistema nervioso simpático y suelen presentarse en forma de paroxismos. La tuberculosis pulmonar es una enfermedad infecciosa que constituye un problema de salud pública en muchos países, cuya incidencia depende de algunos factores incluyendo la inmunosupresión que generan las enfermedades endocrino-tumorales como la antes descrita. Presentamos el caso de un paciente masculino de 38 años que acude a emergencia por presentar un paroxismo de hipertensión arterial y dolor abdominal, como manifestaciones iniciales de un feocromocitoma en el contexto de una neoplasia endocrina múltiple de tipo IIA. El paciente desarrolló de forma concomitante tuberculosis pulmonar; no obstante, se logró tratar ambas entidades consiguiendo una evolución clínica favorable. ",30451214,Feocromocitoma en neoplasia endocrina múltiple IIA asociado a tuberculosis pulmonar presentada como abdomen agudo: reporte de caso y revisión de la literatura.
14,,29269099,Mediastinitis aguda como complicación atípica de una mononucleosis infecciosa.
15,,27461183,Distrofia muscular de Emery-Dreifuss tipo 2: nueva mutación de novo en el gen la lamina A/C.
16,,30198854,"Síndrome de la orina morada en bolsa, un compañero de viaje."
17,"El carcinoma de las glándulas paratiroides (CP) descrito por De Quervain en 1909 representa la neoplasia menos frecuente, siendo su incidencia de 1.25/10,000,000 personas. Se han reportado aproximadamente 1,000 casos de carcinoma paratiroideo en la literatura mundial. En México existen dos series, una de ocho pacientes y otra de cuatro, además de tres reportes de casos aislados. Dado que el CP es funcionalmente activo el comportamiento clínico inicial es similar a las neoplasias paratiroideas benignas. Femenino de 66 años de edad con dolor óseo en muslo y fractura espontánea de fémur, en la que se detectaron lesiones osteolíticas, hipercalcemia, niveles elevados de fosfatasa alcalina y de paratohormona; con gammagrama que mostró un tumor funcionante localizado en mediastino superior, fue sometida a extirpación en bloque con hemitiroidectomía derecha con tumor de la glándula paratiroides. El estudio histopatológico reportó CP. El CP representa la neoplasia menos común; en pacientes con niveles de paratohormona mayores de 1,000 pg/ml e hipercalcemia mayor de 14 mg/dl debe sospecharse dicha patología. ",30549507,Carcinoma de paratiroides: diagnóstico por fractura de fémur.
18,,30540735,Carcinoma neuroendocrino de esófago: reporte de caso.
19,"Las infecciones por protozoos son prevalentes a nivel mundial, en particular en pacientes inmunosuprimidos. Comunicamos el caso de una paciente procedente de la ciudad de Viña del Mar, Chile, portadora de leucemia mieloide aguda en quiense confirmó una infección por Lophomonas sp. en lavado bronquioalveolar. Se manejó con antibióticos, pero falleció decomplicaciones de su enfermedad de base. Existe poca literatura disponible respecto a este microorganismo. Concluimos que debe considerarse a Lophomonas sp. como posibilidad diagnóstica si se encuentran protozoos en lavados bronquioalveolares de pacientes inmunosuprimidos. ",30517513,Infección pulmonar por Lophomonas sp en una paciente con leucemia mieloide aguda.
20,,30148915,Taponamiento cardiaco de origen inflamatorio como primera manifestación de timoma.
21,,27161424,Accidente isquémico transitorio medular como presentación de aneurisma disecante de aorta. Descripción de caso y revisión de la literatura.
22,,17491616,Calcinosis cutis: a propósito de un caso.
23,,30148932,Mieloma múltiple en pacientes con lupus eritematoso sistémico: presentación de dos casos.
24,,28993067,Uso de cotrimoxazol en sellado de catéter. A propósito de un caso en una situación difícil.
25,,30118469,"Hemangioma cavernomatoso hepático gigante, presentación infrecuente de una lesión común."
26,,29999129,Necrolisis epidérmica tóxica en el curso de un síndrome hemofagocítico secundario a linfoma de Hodgkin. Caso clínico.
27,,28683899,Virus Zika: manifestaciones cutáneas en 3 pacientes.
28,,27126565,Linfomatosis meníngea tardía en linfoma del manto controlada con quimioterapia.
29,,29999130,Hemoptisis como manifestación inicial de la enfermedad de Behçet. Casos clínicos.
30,,29799892,Síndrome antifosfolípido catastrófico “seronegativo” en pediatría: Caso clínico.
31,,28851565,Asociación de absceso cerebral y malformación arteriovenosa pulmonar.
32,,28645695,"Neumomediastino, cuando la crisis asmática no mejora."
33,,28057353,Nódulo indoloro localizado en la mano.
34,,27979434,Masa indolora en muslo de crecimiento lento.
35,"El primer caso de infección por virus chikunguña (CHIKV) en México ocurrió en Jalisco, en mayo de 2014 y se ha ido diseminando a lo largo del país, por lo que hoy en día se considera una infección emergente transmitida por vectores. Se caracteriza por fiebre de inicio abrupto, astenia intensa, artralgias múltiples, simétricas, bilaterales y debilitantes, de predominio en brazos y piernas, mialgias, cefalea y rash maculopapular. En el caso expuesto describimos a una mujer originaria del estado de Guerrero, la cual presentó sintomatología pulmonar asociada a infección por CHIKV, lo que representa una manifestación atípica de esta enfermedad, ya que solo ha sido reportada en cerca de 100 casos a nivel mundial. En el contexto epidemiológico se sabe que la única herramienta que se tiene disponible en estos momentos es la erradicación de los vectores que promueven su transmisión, ya que carecemos de inmunidad poblacional, por lo que es de vital importancia evitar el estancamiento de agua y alentar el uso de ropa de protección. Por último, se debe hacer énfasis en la forma en la que se actúa en México, por medio de la difusión de información, para evitar, en primer lugar, la infección aguda que puede llevar a la muerte en casos extremos, y en segundo término, salvar las complicaciones crónicas. ",29906040,Presentación clínica atípica de infección por flavivirus. Reporte de caso
36,,29523499,Síndrome del torniquete por pelo en nevo melanocítico.
37,,29162227,Dermatomiositis anti-MDA-5 positivas. Descripción de clínica cutánea y sistémica a propósito de dos casos.
38,,29033067,Leiomiomatosis multinodular esofágica: una causa infrecuente de masa mediastínica.
39,,29664513,Enfermedad injerto contra huésped cutánea crónica tipo vitiligo. Caso clínico.
40,,29390604,Efecto antipseudomónico de los macrólidos. Experiencia en un caso de neumonía nosocomial por Pseudomonas aeruginosa multirresistente sin respuesta a antibioterapia.
41,,28757282,Infiltrado pulmonar unilateral: una forma rara de presentación de un linfoma pulmonar primario.
42,,30285928,Fiebre manchada de evolución fatal en la provincia de Salta.
43,,30125257,Polineuropatía desmielinizante inflamatoria crónica en paciente diabética con sífilis.
44,,29940548,Diagnóstico oportuno de paracoccidioidomicosis diseminada en un adulto inmunocompetente.
45,,29778558,"Trasplante renal exitoso con protocolo de eculizumab, timoglobulina y belatacept en paciente altamente sensibilizada con síndrome hemolítico urémico atípico por mutación del factor H."
46,,29685553,Uso de un nuevo dispositivo para la prevención de embolias pulmonares previo a una trombectomía farmacomecánica.
47,,29463427,Diarrea crónica: un caso de macroglobulinemia de Waldenström.
48,,29290321,Enfermedad de Kikuchi-Fujimoto: evolución en brotes con respuesta a antipalúdicos.
49,,29274669,Dolor abdominal recurrente. Síndrome de atrapamiento del nervio cutáneo abdominal a propósito de tres casos.
50,,29221634,La ecografía en el punto de atención al paciente en la sospecha de hipertensión arterial secundaria.
51,,29169780,Diverticulosis yeyunal masiva: causa infrecuente de malabsorción intestinal.
52,,28864238,"Necrosis grasa por Sintrom, una complicación poco conocida."
53,,28844625,Nefritis lúpica asociada con c-ANCA.
54,,28641902,Linfoma de Hodgkin como causa de fiebre de origen desconocido en el anciano.
55,,28610986,Estenosis bronquiales web-like secundarias a granulomatosis con poliangitis.
56,,28578879,Parálisis diafragmática en granulomatosis eosinofílica con poliangitis.
57,,28473223,Enfisema subcutáneo de la extremidad inferior.
58,,28283311,Artritis séptica de rodilla nativa por Corynebacterium striatum.
59,,28256443,Enfermedad por arañazo de gato en paciente con artritis reumatoidea tratado con etanercept.
60,,28089360,Aspergilosis renal posterior a trasplante hepático: informe de un caso infrecuente.
61,,28063779,"Síndrome antisintetasa e influenza B, afectación pulmonar característica."
62,,27989497,Dacrioadenitis por enfermedad relacionada con IgG4 en una adolescente afrodescendiente de Colombia.
63,,30504114,Síndrome de Horner como presentación de tuberculosis pulmonar.
64,,30285931,Síndrome del dedo azul como manifestación de feocromocitoma.
65,,29940551,Taponamiento cardíaco como forma de presentación de timoma mediastinal.
66,,29571917,Macroglobulinemia de Waldenström presentándose como glomerulonefritis membranoproliferativa crioglobulinémica tipo II.
67,,29496301,"A propósito de un caso, linfoma cerebral primario diagnosticado durante estudio de demencias en una paciente inmunocompetente."
68,,29306316,Linfoma cutáneo asociado a metotrexato en un paciente con artritis reumatoide.
69,,29291915,¿Seguimos siendo guardianes de nuestros pacientes?: la contribución de James Drane a la ética clínica actual.
70,,29183801,Peritonitis por Cryptococcus neoformans en el paciente cirrótico.
71,,29132942,Tratamiento con dalbavancina en paciente con tromboflebitis séptica yugular por Staphylococcus aureus tras la inserción de un desfribilador automático implantable.
72,,28874309,"Cor triatriatum, una causa inusual de evento cerebrovascular cardioembólico en adultos. A propósito de un caso."
73,,28864094,Crisis paratiroidea: hipercalcemia como urgencia médica.
74,,28684031,Obstrucción intestinal por cápsula endoscópica en un paciente con síndrome de Peutz-Jeghers.
75,,28552686,Paniculitis eosinofílica asociada a hipocomplementemia y paraproteinemia.
76,,28291561,Enteropatía sprue-like asociada a olmesartán: causa emergente de diarrea crónica asociada a fármacos.
77,,28242213,¿Otro tofo gotoso? Las múltiples caras del encondroma.
78,,28209397,Idoneidad de la punción guiada por ecografía de alta resolución en el diagnóstico de una tumoración de partes blandas infectada por Mycobacterium tuberculosis.
79,,27919708,Enfermedad pulmonar intersticial temprana en poliangitis microscópica: reporte de un caso y revisión de la literatura.
