,abstract,id,title
0,,27112974,Corioamnionitis y sepsis neonatal causada por Eikenella corrodens.
1,,24246963,Acceso venoso triple durante la reanimación en el paritorio de un neonato con dificultad respiratoria por líquido amniótico meconial.
2,,24794914,Realidad de la circulación de membrana extracorpórea neonatal en Colombia: descripción de los primeros casos.
3,,24652245,Dengue perinatal.
4,,26678167,Encefalitis por virus herpes simple durante la gestación: evolución materna y neonatal.
5,,20514114,Gestación en enfermedad renal crónica avanzada.
6,,20053607,Un caso de grupo sanguíneo raro: fenotipo p.
7,,29372635,Parto prematuro y colonización por Ureaplasma parvum.
8,Anemia fetal grave y encefalopatia epileptica neonatal causada por una nueva mutacion en el gen PNPO. ,28929476,Anemia fetal grave y encefalopatia epileptica neonatal causada por una nueva mutacion en el gen PNPO.
9,,22245369,Manejo del embarazo en pacientes con lupus eritematoso sistémico.
10,,17436666,Masa cervical gigante en recién nacida pretérmino.
11,,26059803,Múltiples malformaciones vasculares en un paciente con enanismo primordial osteodisplásico microcefálico tipo ii.
12,,17133335,Embriopatia por fenilcetonuria materna: una causa de retraso mental.
13,,26318495,Fetus in fetu versus teratoma fetiforme.
14,,27290837,Diagnóstico prenatal de síndrome de Meckel-Gruber. Reporte de un caso y revisión de la bibliografía.
15,,27262749,Un caso de deleción parcial 1p36.1 y trisomía parcial 6p diagnosticadas por cariotipo.
16,,17539319,Restricción del crecimiento intrauterino grave de inicio temprano: una alternativa terapéutica.
17,,26294165,"Polidactilia, holoprosencefalia, labio y paladar hendido: no siempre es lo que parece."
18,,25836648,Revisión de casos publicados de coristoma hepático. Diagnóstico diferencial de masas de cordón umbilical.
19,"La acondrogénesis es una displasia esquelética que se caracteriza principalmente por talla baja, micromelia grave, tórax corto y estrecho, prematurez, polihidramnios, hidropesía fetal y muerte fetal in utero o neonatal. Según los hallazgos radiológicos e histopatológicos existen tres tipos de acondrogénesis: tipo 1A (Houston-Harris), tipo 1B (Fraccaro) y tipo 2 (Langer-Saldino). Se sometió a estudio a un producto femenino prematuro cuyas características clínicas, radiológicas e histopatológicas fueron compatibles con acondrogénesis tipo 1A. La información familiar permitió concluir que los cuatro productos de los seis embarazos previos se encontraban afectados. El análisis estadístico en por lo menos cuatro familias previamente descritas, incluyendo este caso familiar, mostró diferencias significativas entre el número de miembros esperado y el observado, siendo incongruente con el modo de herencia autosómico recesivo previamente reportado. Podría considerarse un nuevo subtipo de acondrogénesis tipo 1A debida a la presencia de una mutación germinal preferencial. ",29681641,Nuevo subtipo de acondrogénesis familiar tipo IA (Houston-Harris)
20,,29546926,Dengue perinatal: Reporte de caso.
