,abstract,id,title
0,,26602360,Fenómeno de Raynaud en pediatría.
1,,26223398,Síndrome de Sjögren. Caso clínico.
2,,24315421,Trombocitosis extrema reactiva en un niño sano de 6 años.
3,,23792123,Paracoccidioidomicosis en pediatría: descripción de 4 casos.
4,"Las uveítis son un grupo heterogéneo de entidades clínicas, de diversas causas, que tienen en común la inflamación ocular. El amplio abanico de causas de uveítis hace, en ocasiones, difícil el diagnóstico y la contención de la familia, y coloca al pediatra en un lugar determinante a la hora de abordar una estrategia diagnóstica coherente y oportuna. El pediatra orientará el diagnóstico con los datos del examen oftalmológico y los hallazgos extraoculares. El objetivo del trabajo es presentar a una paciente de 16 años que consultó al oftalmólogo por ojo rojo asociado a lagrimeo, fotofobia y dolor. Una vez realizado el diagnóstico de uveítis anterior aguda, el especialista sugirió la evaluación por parte del pediatra de cabecera para descartar una enfermedad sistémica. Las uveítis son un grupo heterogéneo de entidades clínicas, de diversas causas, que tienen en común la inflamación ocular. El amplio abanico de causas de uveítis hace, en ocasiones, difícil el diagnóstico y la contención de la familia, y coloca al pediatra en un lugar determinante a la hora de abordar una estrategia diagnóstica coherente y oportuna. El pediatra orientará el diagnóstico con los datos del examen oftalmológico y los hallazgos extraoculares. El objetivo del trabajo es presentar a una paciente de 16 años que consultó al oftalmólogo por ojo rojo asociado a lagrimeo, fotofobia y dolor. Una vez realizado el diagnóstico de uveítis anterior aguda, el especialista sugirió la evaluación por parte del pediatra de cabecera para descartar una enfermedad sistémica. ",27164341,Uveftis: cuando la interconsulta es al pediatra.
5,,28131639,Continuidad asistencial desde atención primaria en un plan de cuidados interniveles para un caso de trasplante hepático pediátrico.
6,,27297175,Aplicación de la terapia de presión negativa en heridas complejas en pediatría.
7,,22818897,Hibernoma mediastínico con apariencia singular en tomografía computarizada.
8,,22112591,Amígdala rectal o hiperplasia folicular linfoide del recto.
9,,24022027,Neumonía por Legionella pneumophila asociada al uso de un humidificador doméstico en una niña inmunocompetente.
10,,21958726,Manifestaciones radiológicas del síndrome de Baastrup en la edad pediátrica.
11,,28041610,Farmacobezoar pediátrico tras sobreingesta de comprimidos vitamínicos.
12,,26847965,Angiomas venosos y cefalea en pediatría: un caso clínico.
13,,19815471,Tratamiento del cuerpo extraño intrabronquial. Broncoscopia combinada en Neumología Infantil.
14,,27623226,Incremento de lipoproteína(a) en paciente pediátrico asociado a síndrome nefrótico.
15,,5842689,Coartación de la aorta abdominal con estenosis de ambas arterias renales de etiología desconocida.
16,,21398195,Síndrome de aorta media.
17,,29866377,Membrana neovascular asociada a drusas del nervio óptico en edad pediátrica: a propósito de un caso.
18,"El incremento del amonio en sangre, hiperamoniemia, es pasible de provocar compromiso neurológico al atravesar la barrera hematoencefálica. La causa más frecuente y conocida de hiperamoniemia es la alteración en la función hepática. Sin embargo, se deben considerar otras patologías, de menor frecuencia y poco conocidas. La infección del tracto urinario por gérmenes productores de ureasa debe ser contemplada a pesar de ser infrecuente en pediatría. Se reporta el caso de un niño con encefalopatía aguda grave, con niveles elevados de amonio en sangre, en quien, luego de descartar otros diagnósticos diferenciales, se asumió el cuadro como hiperamoniemia secundaria a infección del tracto urinario por Corynebacterium riegelii, un germen productor de ureasa. Se implementaron medidas generales de tratamiento para la encefalopatía hiperamoniémica y tratamiento antibiótico específico, con buena evolución el paciente. ",29087134,Encefalopatía hiperamoniémica secundaria a infección urinaria por germen productor de ureasa. Caso clínico pediátrico.
19,"Las úlceras genitales son una patología poco frecuente en las consultas de pediatría, pero que generan gran ansiedad familiar. Las úlceras de Lipschütz son úlceras vulvares agudas, dolorosas y autolimitadas de causa desconocida. Aparecen en mujeres jóvenes que no han tenido relaciones sexuales previas o tras un período de abstinencia. Paciente de 10 años con úlceras vulvares dolorosas que, tres días antes de la aparición de las lesiones, había presentado un cuadro de deposiciones diarreicas y fiebre. Se realizó una anamnesis y exploración física detallada y se llevaron a cabo diferentes pruebas complementarias para descartar enfermedades infecciosas de origen venéreo y no venéreo, todas ellas negativas. Se indicó tratamiento sintomático, y se observó, al mes, una completa resolución del cuadro, por lo que se confirmó el diagnóstico de úlceras de Lipschütz. ",29087130,Úlceras genitales de Lipschütz: reporte de un caso pediátrico.
