,abstract,id,title
0,,21975241,"Cardiología ""basada en la evidencia"": Aplicaciones prácticas de la epidemiología. III. Capacidad diagnóstica de una prueba clínica."
1,,21592891,"Cardiología ""basada en la evidencia"": aplicaciones prácticas de la epidemiología I. La valoración de medicamentos o terapias novedosas."
2,,23972822,Hepatitis C genotipo viral 5 en México: reporte de caso con tratamiento exitoso y revisión de la literatura.
3,"Tucumán es una de las provincias con mayor incidencia de casos de escorpionismo. El objetivo es describir las características clínicas y epidemiológicas de los casos de escorpionismo atendidos en el Servicio de Pediatría del Hospital Eva Perón, Banda del Río Salí, Tucumán, entre julio de 2013 y marzo de 2015. El total de pacientes fue cuarenta (n= 40), 21 varones y 19 mujeres. La edad promedio fue 6,89 años. Del total de casos, 34 (85%) fueronleves; 3 (7,5%), moderados; y 3 (7,5%), moderados-graves. La picadura se localizó más frecuentemente en las manos (en 9, 22,6%) y los pies (en 8, 20%). La identificación del alacrán solo se realizó en 3 oportunidades. A 6 pacientes se les administró el antídoto (correspondían a casos moderados y moderados-graves), con respuesta variable. La mayoría de los casos resultaron leves, pero es una entidad con potencial gravedad en su evolución. La prevención es clave, actividad que lleva a cabo este nosocomio. ",27869422,Escorpionismo en pediatría en Tucumán: análisis descriptivo de casos en un hospital de segundo nivel de complejidad.
4,"La fiebre tifoidea continúa siendo un importante problema de salud a nivel mundial, en contraste con Chile donde esta patología es un hallazgo aislado. Las formas clínicas son variadas, se presenta principalmente con fiebre, compromiso del estado general, manifestaciones abdominales y síntomas inespecíficos, confundiéndose con otras causas de síndrome febril. Se presenta el caso clínico de un varón de seis años con fiebre de dos semanas de evolución, asociado a síntomas digestivos, compromiso del estado general, hepatomegalia y aumento de enzimas hepáticas. Para el diagnóstico diferencial, se solicitaron: una reacción de Widal y dos hemocultivos. Ambos con resultados positivos, confirmando el diagnóstico de fiebre tifoidea por Salmonella typhi. Previo a esto el paciente fue tratado empíricamente con ceftriaxona y metronidazol, con respuesta parcial; luego se ajustó el manejo, según antibiograma, a ciprofloxacino y la evolución fue satisfactoria. Se discuten métodos, diagnóstico y tratamiento de fiebre entérica con especial énfasis en fiebre tifoidea. ",27392073,Fiebre tifoidea: reporte de caso y revisión de la literatura.
5,,25604181,Fiebre chikungunya en México: caso confirmado y apuntes para la respuesta epidemiológica.
6,"Antecedentes: los paragangliomas de cabeza y cuello son tumores neuroendocrinos de baja incidencia (0.6%), en su mayor parte benignos, en cuyo origen se han involucrado múltiples factores. Los seres humanos y otras especies que viven a grandes alturas (por arriba de 2000 metros sobre el nivel del mar) son propensos a sufrir hipoxia crónica relativa, hiperplasia del cuerpo carotídeo y, eventualmente, paragangliomas. Este padecimiento aparece en la quinta década de la vida y en la tercera, en caso de presentación familiar. Caso clínico: se comunica el caso de una adolescente de 16 años de edad que un año antes tuvo faringitis aguda con tumor localizado en la cara lateral izquierda del cuello, de crecimiento gradual, sin ningún síntoma. El ultrasonido Doppler dúplex de cuello mostró una lesión nodular sólida sobre el trayecto de la bifurcación carotídea izquierda. Fue intervenida quirúrgicamente mediante cervicotomía lateral izquierda, en la cual se encontró una tumoración de aproximadamente 4 × 3 × 3 cm, sumamente vascularizada, que afectaba la carótida común desde su tercio medio, la carótida interna hasta la base del cráneo y la carótida externa hasta el tercio superior, con íntima relación con la tráquea, el esófago y la columna cervical. La tumoración se resecó en su totalidad, el estudio histopatológico corroboró los paragangliomas. Conclusiones: la edad de presentación es poco común, por lo que se considera relevante y de interés clínico comunicar este caso, toda vez que debe considerarse como posibilidad diagnóstica. ",25238474,Paraganglioma del cuerpo carotídeo en adolescente. Reporte de caso.
7,,23792123,Paracoccidioidomicosis en pediatría: descripción de 4 casos.
8,,3368721,Formación continuada. 24. Area: salud pública. Tema: epidemiología.
9,,24718532,"Rabia en Potos flavus identificados en el departamento de Madre de Dios, Perú"
10,,28196678,Co-infección por linfogranuloma venéreo y Haemophilus parainfluenzae durante un episodio de proctitis.
11,,29778558,"Trasplante renal exitoso con protocolo de eculizumab, timoglobulina y belatacept en paciente altamente sensibilizada con síndrome hemolítico urémico atípico por mutación del factor H."
12,,22284133,Brote nosocomial por Listeria monocytogenes en una Unidad de Neonatos.
13,,21334939,Transmisión de Salmonella entre tortugas y niños: experiencia de la enfermería de salud pública a propósito de un caso.
14,"El virus de chikunguña es un arbovirus descrito en 1952 durante un brote de enfermedad febril exantemática en Tangañica. Es un virus del genero alfavirus, de la familia Togaviridae, transmitido a los humanos por los mosquitos Aedes. Típicamente la enfermedad se caracteriza por fiebre de inicio súbito y artralgias. Este estudio describe las características clínicas del primer caso importado con fiebre chikunguña (CHIK) en Hermosillo, Sonora, México. Se presenta el caso de un paciente de 30 años de edad, atendido en el servicio de Urgencias por fiebre, poliartralgias, cefalea y exantema. El paciente había visitado la ciudad de Tapachula, Chiapas por un período de 45 días antes del inicio de sus síntomas. La CHIK fue confirmada mediante RT-PCR, por lo que fue tratado con paracetamol; su evolución clínica fue satisfactoria y autolimitada. Con el incremento del hábitat del vector debido al calentamiento global y a la mayor frecuencia de viajes, se ha registrado una reemergencia global de la CHIK. Este padecimiento debe sospecharse en pacientes con características clínicas sugestivas que regresan de áreas epidémicas/endémicas. El diagnóstico de CHIK requiere el sustento de los datos clínico-epidemiológicos y del criterio por laboratorio. ",28092259,"Primer caso de fiebre chikunguña en Hermosillo, Sonora, México."
15,,28189479,Miositis por cuerpos de inclusión: a propósito de un caso.
16,,26769523,Perfusión portal con flujo de la vena gastroepiploica derecha en trasplante hepático.
17,,2652216,Agenesia de la vesícula biliar. Revisión estadística de la literatura española y aportación de una nueva observación.
18,,27723622,Fiebre manchada grave por Rickettsia rickettsii en turista en el noroeste argentino.
19,,27576284,Mielitis transversa aguda en un viajero.
20,,26627113,"Aislamiento de Escherichia coli enteropatógeno O157:H16 de un caso de diarrea infantil y sus contactos familiares en La Pampa, Argentina."
21,,26159365,Diagnóstico de adenocarcinoma mucinoso (coloide) pulmonar por cirugía torácica asistida por video. Reporte de caso.
22,,26118781,Nesidioblastosis en el adulto: reporte de un caso.
23,,25962335,Neuropatía axonal sensitivo motora aguda de causa infecciosa en una octogenaria. Reporte de un caso.
24,,26055284,Lipoma gástrico pediculado. Reporte de caso.
25,,26055282,Perforación gástrica por linfoma MALT. Reporte de caso.
26,,25443210,Linfoma no-Hodgkin primario del sistema nervioso central asociado a sida en un paciente con panuveítis por virus Epstein-Barr. Reporte clínico-patológico.
27,,26578335,Síndromes afectivos en receptores de trasplante hepático: ¿neurotoxicidad mediada por inmunosupresores?
28,,26148029,Infección invasiva por Streptococcus pneumoniae: reporte de caso de un paciente con síndrome de Austrian.
29,,25504241,Pericarditis tuberculosa.
30,,24996966,Síndrome poliglandular autoinmune tipo IIIC: reporte de un caso.
31,,25098220,Trasplante renal en asistolia Maastrich II. Reporte del primer caso en México.
32,"Antecedentes: el linfoma de Burkitt es una forma agresiva de los linfomas no Hodgkin de células B que ocurre con mayor frecuencia en niños y adultos jóvenes; el linfoma de ovario puede aparecer como lesión primaria o, más comúnmente, como una metástasis. Las lesiones primarias de ovario son manifestaciones raras que corresponden a 0.5% de los linfomas no Hodgkin y 1.5% de los tumores de ovario. Caso clínico: paciente femenina de 31 años de edad, con debilidad generalizada, incapacidad para la marcha, disnea, hiporexia, fiebre, diaforesis, pérdida de 20 kg de peso, abdomen plano, con dolor abdominal; Ca125 610 U/mL. La tomografía computada abdominal mostró un gran tumor de aspecto sólido que afectaba a la cavidad pélvica derecha. Se extirparon los tumores ováricos bilaterales. Desde el punto de vista microscópico ambas lesiones muestran una imagen en ""cielo estrellado"" compuesta por un patrón de infiltrado monótono de linfocitos mezclada con macrófagos de citoplasma amplio y claro, abundantes mitosis atípicas, zonas de necrosis y hemorragia. La inmunohistoquímica reveló positividad para CDI0 y CD20, negativo con CD3, índice de proliferación Ki67 alto. Se diagnosticó linfoma tipo Burkitt bilateral de ovario. Conclusiones: el linfoma de Burkitt de ovario bilateral es poco frecuente, con variabilidad de presentación; el dolor abdominal y los tumores abdominales son lo más frecuente. El pronóstico a corto plazo de las pacientes es malo, por lo que es necesario conocer esta afección para poder establecer el diagnóstico temprano. ",25312323,Linfoma tipo Burkitt bilateral de ovario. Presentación de un caso.
33,"Antecedentes: el síndrome de asa aferente se caracteriza por la obstrucción mecánica del asa aferente luego de la reconstrucción tipo Billroth II o en Y de Roux, en la mayoría de los casos secundaria a gastrectomía distal o subtotal. Caso clínico: paciente masculino de 76 años de edad, con antecedentes de: colecistectomía, adenocarcinoma gástrico seis años previos, gastrectomía subtotal y reconstrucción en Y de Roux. Inició con dolor abdominal, náusea y vómito; abdomen distendido, sin datos de irritación peritoneal. Amilasa 1246 U/L, lipasa 3381 U/L. La tomografía computada abdominal mostró dilatación y engrosamiento de la pared del asa aferente y el páncreas con incremento de tamaño. Se le diagnosticó pancreatitis aguda, originada por síndrome de asa aferente. Conclusiones: el síndrome de asa aferente aparece en 0.3 a 1% de los casos de pacientes con reconstrucción Billroth II, a consecuencia de la obstrucción mecánica del asa aferente, con mortalidad incluso de 57%. La obstrucción del intestino aferente por acumulación de secreción biliar, pancreática e intestinal incrementa la presión, que resulta en dilatación del asa aferente de la vía biliar y del conducto de Wirsung, lo que desencadena una respuesta inflamatoria que finaliza en un cuadro de pancreatitis. Su manifestación severa se relaciona con el grado y duración de la obstrucción. ",25125063,Pancreatitis aguda y síndrome de asa aferente. Reporte de caso.
34,,22425146,Aspectos básicos en la práctica actual de la medicina clínica en el trópico (II). Enfermedades bacterianas y virales. Malnutrición.
