,abstract,id,title
0,,27825539,"Valoración, atención al parto y cuidados periparto en un caso de rotura uterina en trabajo de parto tras cesárea anterior."
1,,28347550,Hemorragia obstétrica de causa inesperada. Tumor de Krukenberg.
2,"El embarazo ectópico abdominal secundario tiene una baja frecuencia de presentación en la práctica clínica, pero puede llevar al incremento de la mortalidad materna. Se presenta el caso de una paciente con embarazo abdominal secundario a una perforación uterina, causada por una interrupción voluntaria del embarazo. Este evolucionó durante nueve semanas con dolor abdominal y sangramiento vaginal escaso. A la paciente se le realizaron diagnósticos como enfermedad inflamatoria pélvica aguda, infección del tracto urinario, restos ovulares post aborto y definitivamente se concluyó como embarazo ectópico abdominal mediante ecografía abdominal. Se le realizó laparotomía exploradora y se extrajo el feto y la placenta sin dificultades con una evolución postoperatoria favorable hacia la curación. Se concluyó que la perforación uterina durante el curetaje de la cavidad pudo pasar inadvertida, llevando a implantación abdominal secundaria del embarazo con un cuadro clínico variable. En dicho cuadro, el ultrasonido juega un papel fundamental para su diagnóstico, siendo el manejo laparotómico el más apropiado en estos casos. ",28753590,Embarazo ectópico abdominal secundario a perforación uterina por interrupción voluntaria del embarazo: presentación de caso.
3,,26832818,Percretismo placentario con invasión de vejiga y recto.
4,,26826990,Tratamiento exitoso de un embarazo heterotópico cervical luego de un procedimiento de fecundación in vitro.
5,,25698610,Trombosis arterial cerebral en gestante.
6,,22812178,Isoinmunización grave anti-D en una gestación gemelar. Caso clínico.
7,,24246963,Acceso venoso triple durante la reanimación en el paritorio de un neonato con dificultad respiratoria por líquido amniótico meconial.
8,,23971389,Tratamiento conservador del hematoma hepático subcapsular en pacientes con preeclampsia y síndrome de HELLP coexistentes: reporte de caso y revisión bibliográfica.
9,,28363328,Fístula cutánea de líquido cefalorraquídeo posterior a analgesia epidural obstétrica. A propósito de un caso.
10,,28763083,Carcinoma escamocelular in situ del cérvix y nódulo del sitio placentario: reporte de caso.
11,,28542664,Reporte de caso de transmisión vertical de la infección por virus chikungunya.
12,,22808860,Embarazo ectópico en cicatriz de cesárea previa.
13,,26738654,Cirugía laparoscópica de urgencia en el tercer trimestre de gestación y su manejo anestésico. Experiencia de un hospital general.
