,abstract,id,title
0,,24813623,Luxación radiocarpiana tras traumatismo banal.
1,,29525244,Un caso inusual de luxación posterior del codo con translocación radiocubital proximal.
2,"El carcinoma de las glándulas paratiroides (CP) descrito por De Quervain en 1909 representa la neoplasia menos frecuente, siendo su incidencia de 1.25/10,000,000 personas. Se han reportado aproximadamente 1,000 casos de carcinoma paratiroideo en la literatura mundial. En México existen dos series, una de ocho pacientes y otra de cuatro, además de tres reportes de casos aislados. Dado que el CP es funcionalmente activo el comportamiento clínico inicial es similar a las neoplasias paratiroideas benignas. Femenino de 66 años de edad con dolor óseo en muslo y fractura espontánea de fémur, en la que se detectaron lesiones osteolíticas, hipercalcemia, niveles elevados de fosfatasa alcalina y de paratohormona; con gammagrama que mostró un tumor funcionante localizado en mediastino superior, fue sometida a extirpación en bloque con hemitiroidectomía derecha con tumor de la glándula paratiroides. El estudio histopatológico reportó CP. El CP representa la neoplasia menos común; en pacientes con niveles de paratohormona mayores de 1,000 pg/ml e hipercalcemia mayor de 14 mg/dl debe sospecharse dicha patología. ",30549507,Carcinoma de paratiroides: diagnóstico por fractura de fémur.
3,,29687684,Fístula arteriovenosa temporal de origen traumático.
4,"Presentamos el caso de una mujer de 81 años de edad, en seguimiento por el Servicio de Reumatología por osteoporosis y tratada con bifosfonatos durante más de cinco años. Refirió una fractura del tercio distal del fémur contralateral por mecanismo de baja energía, tratada con enclavado intramedular retrógrado el año anterior. Presentó una clínica de cruralgia y gonalgia izquierda, sin traumatismo previo. Se le realizó una gammagrafía y radiografías que apoyaron el diagnóstico de fractura de estrés del tercio distal del fémur izquierdo y osteonecrosis del cóndilo femoral interno izquierdo. Pensando en las posibles complicaciones de llevar a cabo dos intervenciones en una paciente de avanzada edad, se decidió efectuar el tratamiento en un tiempo y por el mismo abordaje quirúrgico, tratando de resolver la osteonecrosis y la fractura a la vez, con el objetivo de una rehabilitación precoz y menor morbilidad. Se realizó un enclavado profiláctico retrógrado femoral para estabilizar la fractura de estrés y se implantó una prótesis de rodilla primaria retentiva para el ligamento cruzado posterior por el mismo abordaje quirúrgico. No hubo incidencias en el postoperatorio inmediato; se inició deambulación con ayuda a las 48 horas de la intervención. La fractura consolidó y la paciente presentó un buen resultado funcional de la rodilla, tanto en el postoperatorio inmediato como a los tres años de seguimiento. ",30521708,Enclavado femoral y artroplastía total de rodilla en un tiempo en una paciente con fractura diafisaria femoral por estrés.
5,"La analgesia congénita es un padecimiento poco frecuente, en la literatura internacional se ha reportado en contados casos desde 1932, año en el que fue descrita por primera vez. Su causa ha sido motivo del desarrollo de múltiples teorías y numerosos estudios a través de los años. Actualmente diversos estudios y experimentos apuntan como origen la mutación en el gen SCN9A que codifica para los canales de sodio, los cuales tienen un papel muy importante en la transmisión de señales nociceptivas en el cuerpo humano. El motivo del presente estudio es dar a conocer dos casos que fueron valorados en el servicio de ortopedia pediátrica de la UMAE HTYOLV, pacientes en quienes la falta de sensibilidad al dolor ha producido lesiones importantes que fueron en su momento motivo de valoración por parte del hospital. ",30182557,Analgesia congénita: reporte de dos casos.
6,,29162366,Artroplastia de resuperficialización como alternativa a las secuelas postraumáticas de la columna externa del húmero en el adulto joven.
7,,28693963,Complicación intracraneal tras cirugía de raquis lumbar.
8,,28038736,Implante de cemento óseo como alternativa para la reconstrucción de piso orbitario: reporte de caso.
9,Presentamos el caso de una paciente que tras una reconstrucción del ligamento cruzado anterior (LCA) con injerto hueso-tendón-hueso (HTH) presentó una protrusión intraarticular del bloque óseo tibial en la radiografía postoperatoria de control. Se postuló la divergencia entre el túnel óseo tibial y el tornillo de interferencia como causa fundamental de la migración del injerto. Varios trabajos en modelos animales asocian dicho supuesto a una menor resistencia a la tracción. No se ha encontrado en la bibliografía médica publicada hasta la fecha ningún reporte clínico que describa esta complicación. ,29641858,Migración intraarticular del bloqueo óseo tibial tras la reconstrucción del ligamento cruzado anterior con injerto hueso-tendón-hueso.
10,"Las roturas del tendón tibial anterior son lesiones infrecuentes, con diversas etiologías, que pueden causar déficits significativos en la funcionalidad del tobillo, lesiones a veces diagnosticadas tardíamente, siendo muchas veces la alteración de la marcha el síntoma que hace acudir al paciente a consulta médica. Seis semanas van a marcar el límite entre la lesión aguda y la crónica, precisando distintos enfoques terapéuticos, junto con otros parámetros como la edad, demanda funcional o patologías concomitantes. Objetivo: Presentar dos casos de rotura aguda, con distinta etiología, la técnica quirúrgica empleada y los resultados finales. Material y métodos: presentamos dos casos de rotura aguda del tendón tibial anterior en su zona crítica hipovascular, un varón y una mujer, con etiología postraumática y espontánea respectivamente, en las cuales se realizó reinserción tendinosa en el escafoides tarsiano con un tornillo de biotenodesis, seguido de una inmovilización con autorización de marcha a las tres semanas y posterior fisioterapia. Resultados: En ambos casos se obtuvo un resultado funcional satisfactorio, con una mejoría importante en la puntuación AOFAS, reincorporándose a sus actividades laborales y deportivas a los 3 y 4 meses de la cirugía, respectivamente, con un seguimiento de 7.5 años y 10 meses. Discusión: Esta técnica, dentro de la variedad descrita en la literatura, nos ha proporcionado excelentes resultados, restaurando la funcionalidad del tendón tibial anterior y mostrándose reproducible por su sencillez, proporcionando un alto grado de seguridad a la hora de realizar una fisioterapia precoz. ",29518301,Rotura aguda del tendón tibial anterior.
11,"La luxación glenohumeral (LGH) es frecuente, pero la luxación glenohumeral posterior traumática (LGHPT) es rara. Su diagnóstico es un reto, puede omitirse o pasar inadvertida; en ello influye un sinnúmero de factores, como una evaluación radiológica inadecuada y ausencia de signos-síntomas característicos. Se reporta una omisión diagnóstica de 60-79% y confirmación diagnóstica con una demora desde 24 horas hasta un año. Transmitir experiencia previa para proporcionar herramientas que ayuden a evitar omisión diagnóstica en la LGHPT. Caso 1. Masculino, 34 años. Diagnóstico tardío de LGHPT izquierda en la cuarta semana. Hill-Sachs inversa < 25%. Reducción cerrada (DePalma), inmovilización por cuatro semanas. Seguimiento a la semana 20. Recuperación funcional buena (UCLA = 32). Caso 2. Masculino, 32 años. Diagnóstico tardío de LGHPT izquierda en el octavo mes. Hill-Sachs inversa de 25%. Reducción abierta (McLaughlin-Neer), inmovilización por cuatro semanas. Seguimiento postquirúrgico a ocho meses. Recuperación funcional buena (UCLA = 29). El diagnóstico de LGHPT es difícil por su poca frecuencia. Para evitar retraso en el diagnóstico e inadecuada atención, debe considerarse siempre una evaluación inicial que tome en cuenta la posición del brazo, el mecanismo de lesión; en la exploración física, el brazo en rotacion interna y poco dolor, déficit funcional para la rotación externa, flexión y abducción. ",29216696,Luxación glenohumeral posterior traumática no detectada.
