,abstract,id,title
0,"A pesar de que no existe una terapia estándar establecida para la cistitis eosinofílica (CE), la serie de casos nos guía en el tratamiento de los pacientes. Presentamos nuestra experiencia terapéutica con hidrodistensión y métodos complementarios. Con el fin de establecer un tratamiento estándar en pacientes con CE.MÉTODOS: Revisión retrospectiva de la historia clínica de un paciente con diagnóstico de cistitis eosinofílica. Una mujer de 66 años presentó síndrome uretral femenino hace un año y fue tratada inicialmente como una cistitis crónica. Después de más investigaciones incluyendo una cistoscopia y una biopsia de la vejiga, se le diagnosticó CE. Se evidenció sangrado de la mucosa urotelial y se realizaron cauterización e hidrodistensión. Después del tratamiento quirúrgico, se iniciaron corticosteroides y antibióticos. El tratamiento de mantenimiento se continuó con Vitamina C, Maurita flexuosa y Peumus boldus. La condición del paciente ha mejorado y sigue estando asintomática un año después.CONCLUSIÓN: La eficacia del tratamiento con hidrodistención, corticosteroides y antibióticos mostró resultados positivos a corto y largo plazo en este paciente. La vitamina C, Maurita flexuosa y Peumus boldus mostraron resultados favorables en el tratamiento de mantenimiento de CE. ",30560799,Cistitis eosinofílica tratada con hidrodistensión y métodos complementarios: comunicación de un caso.
1,,27609350,La combinación de litotricia extracorpórea y ureterorrenoscopia flexible optimiza el tratamiento de litiasis renales.
2,,28422037,Meatotomía ureteral como opción para gestión del megauréter obstructivo primario en neonatos y lactantes.
3,"Los tumores vesicales en la infancia son excepcionales, existen casos clínicos aislados, por lo que no hay protocolos de tratamiento y seguimiento. Además, los criterios histológicos utilizados, hasta la actualidad, son los de la guía de la WHO del año 2004. Varón, 11 años, con dolor abdominal inespecífico. En la ecografía abdominal practicada se observa una tumoración próxima al meato ureteral izquierdo; mediante cistoscopia se procede a una vaporización con láser de Tulio, siendo el diagnóstico histopatológico de papiloma urotelial vesical. Se discuten los diferentes métodos diagnósticos y terapéuticos, haciendo especial énfasis en la importancia de un correcto diagnóstico, ya que pueden confundirse con carcinomas. A pesar de ser tumores benignos, pueden recidivar y malignizarse, por lo que aconsejamos seguir controles clínicos y ecográficos periódicos, realizando únicamente una cistoscopia en caso de que las ecografías sean sospechosas. ",28393510,Papiloma urotelial vesical.
4,,26857206,Anuria tras biopsia del injerto renal: intervención multidisciplinar.
5,,26738645,Retención aguda de orina secundaria a prolapso de ureterocele gigante en una mujer adulta joven. Informe de un caso.
6,,26708386,Técnica quirúrgica de la resección transuretral de tumor vesical en bloque con Hybrid Knife(®).
7,,23374386,Nefrectomía parcial laparoscópica: tratamiento de hidrocalicosis por estenosis infundibular.
8,,23985463,Endosalpingiosis vesical. Presentación de un caso.
9,,25774825,"Adenocarcinoma de uraco, nuestra experiencia en 20 años."
10,,27293025,Paciente trasplantado renal con disminución del nivel de conciencia de etiología poco frecuente: a propósito de un caso.
