,abstract,id,title
0,,30630307,Absceso intrafascial por Bacillus cereus.
1,"Las roturas del tendón tibial anterior son lesiones infrecuentes, con diversas etiologías, que pueden causar déficits significativos en la funcionalidad del tobillo, lesiones a veces diagnosticadas tardíamente, siendo muchas veces la alteración de la marcha el síntoma que hace acudir al paciente a consulta médica. Seis semanas van a marcar el límite entre la lesión aguda y la crónica, precisando distintos enfoques terapéuticos, junto con otros parámetros como la edad, demanda funcional o patologías concomitantes. Objetivo: Presentar dos casos de rotura aguda, con distinta etiología, la técnica quirúrgica empleada y los resultados finales. Material y métodos: presentamos dos casos de rotura aguda del tendón tibial anterior en su zona crítica hipovascular, un varón y una mujer, con etiología postraumática y espontánea respectivamente, en las cuales se realizó reinserción tendinosa en el escafoides tarsiano con un tornillo de biotenodesis, seguido de una inmovilización con autorización de marcha a las tres semanas y posterior fisioterapia. Resultados: En ambos casos se obtuvo un resultado funcional satisfactorio, con una mejoría importante en la puntuación AOFAS, reincorporándose a sus actividades laborales y deportivas a los 3 y 4 meses de la cirugía, respectivamente, con un seguimiento de 7.5 años y 10 meses. Discusión: Esta técnica, dentro de la variedad descrita en la literatura, nos ha proporcionado excelentes resultados, restaurando la funcionalidad del tendón tibial anterior y mostrándose reproducible por su sencillez, proporcionando un alto grado de seguridad a la hora de realizar una fisioterapia precoz. ",29518301,Rotura aguda del tendón tibial anterior.
2,"La luxación irreductible de la articulación interfalángica del hallux es una patología poco frecuente y hay pocos casos descritos. Se presenta como una luxación dorsal con interposición del sesamoideo; éste puede ser radiológicamente indetectable. Reportamos el caso de un paciente de 29 años que tras un traumatismo deportivo presentó una luxación interfalángica del hallux que pasó desapercibida hasta el octavo día. Al igual que en varios casos descritos en la literatura, no se pudo realizar una reducción cerrada, por lo que se procedió a una reducción abierta por una incisión dorsal. Una revisión bibliográfica revela que existen varias opciones terapéuticas, al igual que múltiples tipos de abordajes, y que estas lesiones generalmente presentan un buen pronóstico. ",28741326,Luxación de la articulación interfalángica proximal del hallux con interposición de un hueso sesamoideo: una revisión bibliográfica.
3,,28625608,Uso del Totaltrack VLM en una vía aérea difícil imprevista en una cesárea urgente.
4,,24631330,Síndrome compartimental agudo.
5,,25804680,Ventilación mecánica no invasiva con interfase facial durante la sedación para una gastrostomía endoscópica percutánea en un paciente con esclerosis lateral amiotrófica.
6,,25769382,Deflagración espontánea tras uso de solución de base alcohólica en la higiene de manos.
7,"Fractura craneal evolutiva postraumatica recidivada. Introduccion. La fractura craneal evolutiva, tambien llamada absorcion osea postraumatica o quiste leptomeningeo, es una rara complicacion de los traumatismos craneoencefalicos y ocurre de forma casi exclusiva en ninos menores de 3 anos. Caso clinico. Nino de 6 meses que presentaba, dos meses despues de un traumatismo craneal aparentemente banal, persistencia de cefalohematoma temporooccipital izquierdo sin otros signos. El estudio de ecografia transfontanelar revelo un defecto oseo con herniacion cerebral, y la tomografia computarizada y la resonancia magnetica confirmaron, ademas, una fractura evolutiva. Se realizo reseccion del quiste encefalomeningeo, cierre dural y reparacion del defecto oseo con placas y material de lactato. Tres meses despues de la intervencion, presentaba persistencia de coleccion liquida y se confirmo recidiva de la fractura evolutiva. Tras la reintervencion, se coloco casco ortesico para evitar nuevas recidivas. Un ano despues del traumatismo, el paciente continua asintomatico. Conclusiones. Todo nino menor de 3 anos con cefalohematoma postraumatico deberia ser revisado de forma periodica hasta comprobar la resolucion de la coleccion, en particular si presenta fractura craneal. La presencia de un cefalohematoma persistente mas de dos semanas despues de un traumatismo craneoencefalico debe hacernos sospechar un proceso de fractura creciente, y son necesarias la reparacion de la duramadre y una craneoplastia para su tratamiento. La colocacion de material reabsorbible permite su remodelacion con el crecimiento craneal del paciente, pero su fragilidad conlleva riesgo de recidiva. La colocacion de un casco ortesico tras la intervencion podria prevenir complicaciones. ",25857859,Fractura craneal evolutiva postraumática recidivada.
8,,25561424,Extracción de cuerpo extraño mediante bloqueador bronquial Arndt(®).
9,,25074271,Herniación en mascarilla laríngea Supreme(®)(new cuff).
