,abstract,id,title
0,,30724988,Trasplante hepático exitoso en un paciente portador del Virus de la Inmunodeficiencia Humana (VIH).
1,,29428256,Utilidad de la técnica de Gram en exudados uretrales en la consulta de atención primaria.
2,,28893380,Placa facial y nódulos en cuero cabelludo.
3,,29616515,Infección emergente por Moraxella osloensis. A propósito de la infección genital.
4,,26968822,Síndrome extrapiramidal con corea generalizada como forma de presentación atípica de leucoencefalopatía multifocal progresiva.
5,"Sindrome del condilo occipital como primera manifestacion de un carcinoma hepatocelular metastasico. Presentacion de dos casos. Introduccion. El sindrome del condilo occipital consiste en la presencia de cefalea occipital unilateral que empeora con los movimientos cefalicos y se acompaña de paralisis del XII par ipsilateral. La infiltracion de la base del craneo por metastasis oseas se encuentra entre sus etiologias, especialmente las que afectan por infiltracion al nervio hipogloso en su paso a traves del canal oseo. Casos clinicos. Se presentan dos casos clinicos de sindrome del condilo occipital secundario a un hepatocarcinoma metastasico. El primero, un varon de 52 años con cirrosis hepatica secundaria a hepatopatia por virus de la hepatitis C, con sindrome del condilo occipital como sintoma inicial en un hepatocarcinoma diseminado; y el segundo, un varon de 56 años, tras recidiva de un hepatocarcinoma despues de un trasplante hepatico, a pesar de no cumplir los criterios de Milan. Conclusion. El sindrome del condilo occipital es un sintoma de alarma y requiere realizar un estudio completo mediante pruebas de imagen, puesto que puede ser la primera manifestacion de un hepatocarcinoma oculto. ",29480511,Sindrome del condilo occipital como primera manifestacion de un carcinoma hepatocelular metastasico. Presentacion de dos casos.
6,,28196678,Co-infección por linfogranuloma venéreo y Haemophilus parainfluenzae durante un episodio de proctitis.
7,,30226491,Fitz-Hugh-Curtis syndrome in elderly male patient. Case and literature review.
8,,30125257,Polineuropatía desmielinizante inflamatoria crónica en paciente diabética con sífilis.
9,,29940550,Polimorfismo clínico de linfogranuloma venéreo anorrectal en la ciudad de Buenos Aires.
10,,28705521,Acantomas epidermolíticos múltiples del escroto: lo que el prurito genital puede esconder.
11,"El sarcoma de Kaposi es un tumor linfoangioproliferativo descripto por primera vez en el año 1872 por Moritz Kaposi. Hay cuatro variantes clínicas, la forma clásica, la endémica, la iatrogénica asociada a trasplante o inmunosupresión y la epidémica asociada a SIDA, de la cual se hará referencia en esta publicación. Se describe un paciente varón de 31 años, al cual durante la misma internación se hace el diagnóstico de SIDA y de sarcoma de Kaposi. ",29902149,Sarcoma de Kaposi en paciente con diagnóstico tardío de VIH. Presentación de un caso y revisión.
12,,29488557,Eritrodermia psoriática en un hombre joven: sospechar infección por VIH.
13,,29171743,Bartolinitis por Streptococcus pneumoniae.
14,,28366615,Hepatitis aguda fulminante por virus B durante el tratamiento del virus de la hepatitis C con antivirales de acción directa en paciente infectado con VIH.
15,,27240445,Úlceras sobre placas psoriásicas en paciente con infección avanzada por el virus de la inmunodeficiencia humana.
16,,27956326,Coriorretinitis placoide posterior sifilítica como presentación inicial de neurosífilis temprana.
17,,28964002,Caso: Varón VIH-Positivo que no Sigue el Tratamiento Pautado pero Sí Acude a Revisiones en Consulta.
18,"La celulitis periorbitaria es una patología muy frecuente en la población pediátrica. Se define como la infección que compromete los tejidos blandos adyacentes a la órbita sin atravesar el septum orbitario. Después de la introducción de la vacuna contra Haemophilus influenzae, los patógenos involucrados, generalmente, son cocos Gram-positivos. A continuación, se presenta un caso de celulitis periorbitaria asociada a conjuntivitis purulenta por Neisseria gonorrhoeae en un niño de 2 años y 10 meses. Existen pocos casos descritos en la literatura en los que este microorganismo aparece como agente causal de celulitis periorbitaria. Con este caso, se quiere resaltar la importancia de la toma de cultivo en los pacientes que concomitantemente presenten conjuntivitis bacteriana y secreción purulenta, ya que esto facilitó el diagnóstico de esta patología por un agente etiológico poco frecuente. ",28737877,Neisseria gonorrhoeae: un agente causal infrecuente de celulitis periorbitaria en un niño.
19,,27823788,"Ampollas, úlceras y costras en paciente con infección VIH."
20,,29077283,Primer caso documentado de infección autóctona por virus Zika en España. Transmisión por vía sexual.
21,,27912903,Hipopigmentación genital similar a vitíligo tras tratamiento con imiquimod 5.
22,,27084670,Hipertensión portal idiopática no cirrótica y trombosis portal en paciente con infección por VIH.
23,"Los pacientes con VIH son susceptibles a la infección por micobacterias. En el caso de las micobacterias de crecimiento rápido, grupo al que pertenece el Mycobacterium fortuitum (M. fortuitum), se han descrito infecciones en la piel, pulmones, ganglios linfáticos y enfermedad diseminada. Presentamos el caso de un paciente varón de 43 años, con diagnóstico previo de VIH en tratamiento antirretroviral, que acude por fiebre, astenia, pérdida de peso y diarrea crónica. Se realiza tomografía abdominal y se evidencia hepatoesplenomegalia con lesiones nodulares en el bazo. El cultivo esplénico, finalmente, fue positivo para M. fortuitum, con PCR positivo a Mycobacterium tuberculosis. Los protocolos actuales de tratamiento para este tipo de infecciones se basan en la susceptibilidad mostrada en los cultivos realizados. En lo que respecta a coinfecciones entre M. fortuitum y Mycobacterium tuberculosis, en pacientes VIH positivos, la información es aun menor. ",29177396,Coinfección por Mycobacterium fortuitum y Mycobacterium tuberculosis en abscesos esplénicos en un paciente con VIH.
24,,28198172,Significación clínica de Cryptococcus neoformans en heces en paciente con SIDA.
25,,26304647,Neuropatía óptica retrobulbar unilateral como primera manifestación de la infección por el virus de la inmunodeficiencia humana.
26,"Existe poca información sobre la presencia del complejo Mycobacterium avium-intracellulare (MAC) en el Perú. Se describen cinco casos de infección por MAC en pacientes con VIH/SIDA del Hospital Nacional Dos de Mayo, Lima-Perú. Los pacientes presentaron, principalmente, fiebre persistente, diarrea crónica, síndrome consuntivo, pancitopenia y citofagocitosis. En todos ellos se identificó bacilos acido-alcohol resistentes en heces, por lo que recibieron tratamiento antituberculoso. El cultivo de heces fue negativo para Mycobacterium tuberculosis y, posteriormente, en todos se identificó a MAC mediante una prueba molecular (Genotype) en el cultivo de heces. Tres pacientes recibieron tratamiento para MAC luego de la identificación; sin embargo, todos fallecieron. Ante presentaciones similares a lo reportado, se sugiere el uso de métodos de mayor rendimiento (hemocultivo, mielocultivo, pruebas moleculares), así como asociar tempranamente drogas con actividad para MAC al esquema antituberculoso con la intención de mejorar el pronóstico de este grupo de pacientes. ",29177395,Infección por el complejo Mycobacterium avium-intracellulare en pacientes con VIH/SIDA en un hospital peruano: Una serie de casos.
27,,26993439,Peritonitis bacteriana espontánea por Streptococcus salivarius en paciente con coinfección por VIH-VHC en tratamiento con antivirales de acción directa.
28,,28236805,Toxicidad por warfarina al cambiar lopinavir/ ritonavir por dolutegravir: a propósito de un caso.
29,,28288232,Síndrome de Fanconi y raquitismo hipofosfatémico asociado al uso de tenofovir en una niña infectada con VIH.
30,,27601079,Imiquimod 5% tópico como terapia alternativa en carcinoma basocelular periocular en 2 pacientes con contraindicación quirúrgica.
31,,29223945,Trasplante cardíaco en paciente infectado con el virus de la inmunodeficiencia humana.
32,,27206927,Linfoma gástrico asociado a H. pylori: remisión completa con tratamiento de TARAA y erradicación de H. pylori en un paciente VIH-positivo.
33,,26826910,Artritis gonocócica en pacientes con infección por el virus de la inmunodeficiencia humana. Revisión de la literatura.
34,,26781841,Fracturas de fatiga de repetición en pies en un paciente tratado con antirretrovirales.
35,,28489843,Hipertensión portal no cirrótica por didanosina. Un caso infrecuente.
36,,27450641,Problemas clínicos en micología médica: problema número 50.
37,,25979601,Lesiones faciales y hepatitis aguda en paciente infectada por el virus de la inmunodeficiencia humana procedente de Paraguay.
38,,27701618,Coinfección por Mycobacterium africanum y Mycobacterium avium en una paciente con SIDA.
39,,27340116,Lesiones orales y coriorretinitis placoide posterior como forma de presentación de sífilis secundaria en un paciente inmunocompetente.
40,,26947207,Colecistitis retrohepática en paciente con virus de la inmunodeficiencia humana.
41,,27792721,Revisión histórica del sarcoma de Kaposi en la era pre-TARAA (terapia antirretroviral altamente activa): evolución con diferentes esquemas de quimioterapia y remisión con el uso de ganciclovir.
