Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('alergia', 'del', 'hospital')|3|2|7|450|0.2222222222222222|0.004424778761061947|0.22664700098328416|14.404919793108268|0.399260528146471|0.09049120131539977|
('de', 'sodio', 'en')|3|1|75|451|0.013157894736842105|0.0022123893805309734|0.015370284117373078|11.326917281106995|-0.5048766645565997|-0.0077600977784666|
('tiroidea', '.')|2|1|212|451|0.004694835680751174|0.0022123893805309734|0.006907225061282147|9.840135174324741|-0.9416063276890867|-0.00650388682447591|
('los', 'conocimientos')|2|1|123|451|0.008064516129032258|0.0022123893805309734|0.010276905509563231|10.620648484163706|-0.7123371474094536|-0.00732062155487877|
('y', 'lfa-1', ',')|3|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3303991743004226|1.3333425353055122|
incremento|1|1|355|451|0.0028089887640449437|0.0022123893805309734|0.005021378144575917|9.099111363584182|-1.1592758017576719|-0.005821162174481697|
('atópica', 'severa')|2|3|5|449|0.375|0.00663716814159292|0.38163716814159293|14.57484479455058|0.44917455946226276|0.1714217068744255|
('homotrasplantados', '.')|2|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.036657636021036|0.5206223083556972|
inmunización|1|2|469|450|0.004246284501061571|0.004424778761061947|0.008671063262123517|8.695261544937797|-1.2779032687207124|-0.011080780085951725|
('magistral', '.')|2|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7429160977416496|0.18737264412068153|
('modificar', 'el', 'esquema')|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.036657636021036|0.5206223083556972|
primary|1|1|12|451|0.07692307692307693|0.0022123893805309734|0.0791354663036079|13.874405076409488|0.2434263191835181|0.019263655279158597|
renales|1|1|1974|451|0.0005063291139240507|0.0022123893805309734|0.002718718494455024|6.627207856598752|-1.885376540377783|-0.005125808069336707|
('y', 'enfisema')|2|1|23|451|0.041666666666666664|0.0022123893805309734|0.043879056047197634|12.989882293829424|-0.016394763614713363|-0.0007193867515305642|
('niño', 'asmático', 'en')|3|1|8|451|0.1111111111111111|0.0022123893805309734|0.11332350049164208|14.404919793108268|0.399260528146471|0.045245600657699885|
('y', 'control', 'de')|3|1|342|451|0.0029154518950437317|0.0022123893805309734|0.005127841275574705|9.152780028377768|-1.143511085603803|-0.005863743343836421|
('mínimas', 'para')|2|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7429160977416496|0.18737264412068153|
('enfermedades', 'respiratorias', '.')|3|1|37|451|0.02631578947368421|0.0022123893805309734|0.028528178854215182|12.326917281106995|-0.21113512627721295|-0.006023300644843639|
('les', 'mécomptes', "d'un")|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.036657636021036|0.5206223083556972|
(',', 'inmunológicas', 'y')|3|1|14|451|0.06666666666666667|0.0022123893805309734|0.06887905604719764|13.667954198942061|0.1827831208571069|0.012589928825998367|
caso|1|3|4402|449|0.000681044267877412|0.00663716814159292|0.007318212409470332|5.4699184907428045|-2.225320498938685|-0.016285368090381794|
('inmunología', 'iaaci')|2|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3303991743004226|1.3333425353055122|
('atópica', 'posterior')|2|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7429160977416496|0.18737264412068153|
('a', 'polvo')|2|1|9|451|0.1|0.0022123893805309734|0.10221238938053098|14.252916699663219|0.3546109056546967|0.0362456279673606|
('inmunitaria', 'en')|2|1|27|451|0.03571428571428571|0.0022123893805309734|0.03792667509481669|12.767489872492977|-0.08172065555975903|-0.003099392751950406|
('el', 'campo')|2|1|135|451|0.007352941176470588|0.0022123893805309734|0.009565330557001562|10.487381953300241|-0.751483063186445|-0.007188183907366437|
('cutánea', 'para')|2|1|2|451|0.3333333333333333|0.0022123893805309734|0.3355457227138643|15.989882293829424|0.8648298512234471|0.2901899574532953|
('pacientes', 'con', 'inmunodeficiencia')|3|2|9|450|0.18181818181818182|0.004424778761061947|0.18624296057924378|14.115413175913282|0.3142204090695542|0.05852133925953483|
('antígenos', 'der', 'p2')|3|1|2|451|0.3333333333333333|0.0022123893805309734|0.3355457227138643|15.989882293829424|0.8648298512234471|0.2901899574532953|
('nueva', 'prueba', 'in')|3|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7429160977416496|0.18737264412068153|
('psicológicas', ',')|2|1|8|451|0.1111111111111111|0.0022123893805309734|0.11332350049164208|14.404919793108268|0.399260528146471|0.045245600657699885|
('haedo', 'de')|2|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3303991743004226|1.3333425353055122|
('saic', 'reunion')|2|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3303991743004226|1.3333425353055122|
clasificación|1|1|1345|451|0.0007429420505200594|0.0022123893805309734|0.002955331431051033|7.180382099940263|-1.7228862872021118|-0.0050916999966952176|
('asma', 'extrínseca', '.')|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.036657636021036|0.5206223083556972|
debemos|1|1|284|451|0.0035087719298245615|0.0022123893805309734|0.005721161310355535|9.420026685498476|-1.0650096414411425|-0.006093091955768686|
('por', 'inyección', 'de')|3|1|4|451|0.2|0.0022123893805309734|0.202212389380531|15.252916699663219|0.6483524439340835|0.13110489684861779|
('estudio', 'para', '.')|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.036657636021036|0.5206223083556972|
('interna', 'en')|2|1|220|451|0.004524886877828055|0.0022123893805309734|0.006737276258359028|9.786942235159149|-0.9572313034651897|-0.006449131734594089|
('síntomas', 'actuales')|2|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7429160977416496|0.18737264412068153|
('inmediata', 'al')|2|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7429160977416496|0.18737264412068153|
('y', 'vacunación')|2|1|31|451|0.03125|0.0022123893805309734|0.03346238938053098|12.57484479455058|-0.13830851709651087|-0.004628133453727272|
('a', 'ácaros', 'antes')|3|1|2|451|0.3333333333333333|0.0022123893805309734|0.3355457227138643|15.989882293829424|0.8648298512234471|0.2901899574532953|
('tratamiento', 'del', 'paciente')|3|1|104|451|0.009523809523809525|0.0022123893805309734|0.011736198904340498|10.860599276884457|-0.6418536324443017|-0.007532921897839782|
('esofagitis', 'crónica', 'en')|3|1|6|451|0.14285714285714285|0.0022123893805309734|0.14506953223767383|14.767489872492977|0.5057624209990146|0.0733707178377205|
('y', 'el', 'rotario')|3|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3303991743004226|1.3333425353055122|
('de', 'la', 'citología')|3|1|211|451|0.0047169811320754715|0.0022123893805309734|0.006929370512606445|9.846924339987382|-0.9396120677237091|-0.0065109201553738396|
('respuesta', 'inmunologica', 'en')|3|1|4|451|0.2|0.0022123893805309734|0.202212389380531|15.252916699663219|0.6483524439340835|0.13110489684861779|
('practicantes', 'sancionados')|2|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3303991743004226|1.3333425353055122|
('básicas', 'en', 'reumatología')|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.036657636021036|0.5206223083556972|
('de', 'nuevo', 'león')|3|1|48|451|0.02040816326530612|0.0022123893805309734|0.022620552645837094|11.960134950435371|-0.31887433230239454|-0.007213113621252467|
inducida|1|2|679|450|0.002936857562408223|0.004424778761061947|0.00736163632347017|8.163333806538509|-1.4341525408515945|-0.010557709438130135|
