Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('candidata', 'a', 'cirugía')|3|1|4|233|0.2|0.004273504273504274|0.2042735042735043|15.252916699663219|0.8931814725950228|0.18245330935915424|
("''", 'del', 'intestino')|3|1|1|233|0.5|0.004273504273504274|0.5042735042735043|16.57484479455058|1.2860862052315885|0.6485391975099463|
('mórbida', 'tras', 'tratamiento')|3|1|9|233|0.1|0.004273504273504274|0.10427350427350428|14.252916699663219|0.5959605162085525|0.062142891433712315|
('postoperatorio', '.')|2|2|196|232|0.010101010101010102|0.008547008547008548|0.018648018648018648|9.94548817447097|-0.6842975096154507|-0.012760792720101643|
simple|1|1|511|233|0.001953125|0.004273504273504274|0.006226629273504274|8.57484479455058|-1.091681445860173|-0.0067974956481344235|
('físico', 'y')|2|1|88|233|0.011235955056179775|0.004273504273504274|0.015509459329684049|11.099111363584182|-0.341416522037612|-0.0052951856630245216|
('importancia', 'del')|2|2|646|232|0.0030864197530864196|0.008547008547008548|0.011633428300094967|8.234994791665954|-1.192691988745486|-0.013875096735168286|
('bariátrica', ':', 'resultados')|3|1|1|233|0.5|0.004273504273504274|0.5042735042735043|16.57484479455058|1.2860862052315885|0.6485391975099463|
('hepática', 'y', 'renal')|3|1|18|233|0.05263157894736842|0.004273504273504274|0.05690508322087269|13.326917281106995|0.3207340834119564|0.018251399708327704|
edmonton|1|1|14|233|0.06666666666666667|0.004273504273504274|0.07094017094017094|13.667954198942061|0.4220974022939887|0.029943661872137657|
('anastomosis', 'en')|2|1|23|233|0.041666666666666664|0.004273504273504274|0.04594017094017094|12.989882293829424|0.22056022215761498|0.010132574308522909|
adolescencia|1|1|469|233|0.002127659574468085|0.004273504273504274|0.006401163847972359|8.698327847985581|-1.0549796946207004|-0.006753097881550946|
('de', 'una', 'encuesta')|3|1|377|233|0.0026455026455026454|0.004273504273504274|0.006919006919006919|9.012602370329507|-0.9615707205217378|-0.0066531144684043725|
('intervalado', 'con', 'sobrecarga')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1122230913170257|0.375494120572842|
endoscópico|1|2|796|232|0.002506265664160401|0.008547008547008548|0.011053274211168949|7.934599858328235|-1.2819756581257733|-0.014170028481307951|
('diagnósticas', 'y')|2|1|213|233|0.004672897196261682|0.004273504273504274|0.008946401469765955|9.833377808149434|-0.7176190599143751|-0.006420108212350029|
('autóloga', '.')|2|1|11|233|0.08333333333333333|0.004273504273504274|0.0876068376068376|13.989882293829424|0.5177811785440852|0.04536117162458866|
('mujer', 'pre')|2|1|5|233|0.16666666666666666|0.004273504273504274|0.17094017094017094|14.989882293829424|0.8150021349305555|0.13931660426163342|
('diagnóstico', 'morfológico')|2|1|12|233|0.07692307692307693|0.004273504273504274|0.0811965811965812|13.874405076409488|0.4834589295416833|0.039255212227743516|
('valoración', 'de')|2|3|2149|231|0.0013940520446096654|0.01282051282051282|0.014214564865122485|6.503382431993956|-1.70736347037783|-0.024269428798026297|
('de', 'riesgo', 'cardiovascular')|3|1|1443|233|0.0006925207756232687|0.004273504273504274|0.004966025049127543|7.078989767663409|-1.5362809075670871|-0.00762920946947455|
hacia|1|1|1085|233|0.0009208103130755065|0.004273504273504274|0.005194314586579781|7.490036406746219|-1.4141092323794502|-0.007345328212765715|
('del', 'segmento')|2|1|411|233|0.0024271844660194173|0.004273504273504274|0.006700688739523691|8.888344267367362|-0.998502832722915|-0.006690656687608944|
('parte', 'ii', '.')|3|1|152|233|0.006535947712418301|0.004273504273504274|0.010809451985922574|10.317456951857928|-0.5737405938545932|-0.006201821401645929|
(':', 'gastrectomía', 'vertical')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1122230913170257|0.375494120572842|
quirúrgica|1|1|2133|233|0.00046860356138706655|0.004273504273504274|0.004742107834891341|6.5155003337261554|-1.7037617760355885|-0.00807942206692675|
('por', 'tomografía')|2|1|165|233|0.006024096385542169|0.004273504273504274|0.010297600659046443|10.199805363203655|-0.6087091115548036|-0.00626824334831432|
('bariátrica', 'laparoscópica', ':')|3|1|3|233|0.25|0.004273504273504274|0.25427350427350426|15.57484479455058|0.9888652488451187|0.25144223207813915|
('de', 'la', 'alimentación')|3|2|119|232|0.01652892561983471|0.008547008547008548|0.02507593416684326|10.655981557275986|-0.4731239868718854|-0.011864025947553812|
('in', 'the', 'sexual')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1122230913170257|0.375494120572842|
('cirugía', 'laparoscópica', 'en')|3|1|85|233|0.011627906976744186|0.004273504273504274|0.015901411250248458|11.148580039848483|-0.3267133947671639|-0.005195204051157446|
('framingham', 'y', 'el')|3|1|8|233|0.1111111111111111|0.004273504273504274|0.11538461538461538|14.404919793108268|0.6411390210159922|0.07397757934799909|
('de', 'los', 'factores')|3|1|1210|233|0.0008257638315441783|0.004273504273504274|0.005099268105048452|7.332861644856251|-1.4608248654282021|-0.0074491376433397285|
('dos', 'años', 'de')|3|1|196|233|0.005076142131979695|0.004273504273504274|0.009349646405483969|9.952792975094203|-0.6821263697880009|-0.006377640361374211|
('tertiary', 'referral', 'hospital')|3|1|1|233|0.5|0.004273504273504274|0.5042735042735043|16.57484479455058|1.2860862052315885|0.6485391975099463|
('bariátrica', ':', 'beneficios')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1122230913170257|0.375494120572842|
('efectos', 'de', 'la')|3|1|652|233|0.0015313935681470138|0.004273504273504274|0.0058048978416512876|8.223905613004149|-1.1959879250328884|-0.006942587724664416|
bariátrica/metabólica|1|1|4|233|0.2|0.004273504273504274|0.2042735042735043|15.252916699663219|0.8931814725950228|0.18245330935915424|
('cardiovascular', 'antes', 'y')|3|1|9|233|0.1|0.004273504273504274|0.10427350427350428|14.252916699663219|0.5959605162085525|0.062142891433712315|
('paradigma', '?')|2|1|17|233|0.05555555555555555|0.004273504273504274|0.059829059829059825|13.404919793108268|0.3439180646295219|0.02057629446501413|
('morbimortalidad', 'tras', 'el')|3|1|3|233|0.25|0.004273504273504274|0.25427350427350426|15.57484479455058|0.9888652488451187|0.25144223207813915|
(':', 'cuando', 'la')|3|1|21|233|0.045454545454545456|0.004273504273504274|0.04972804972804973|13.115413175913282|0.25787063098661644|0.012823403561106023|
('antropométricas', 'de')|2|1|17|233|0.05555555555555555|0.004273504273504274|0.059829059829059825|13.404919793108268|0.3439180646295219|0.02057629446501413|
('la', 'densidad')|2|1|195|233|0.00510204081632653|0.004273504273504274|0.009375545089830805|9.960134950435371|-0.679944180855333|-0.006374847326177246|
('la', 'eficacia')|2|1|788|233|0.0012674271229404308|0.004273504273504274|0.005540931396444705|7.9509633045371215|-1.2771120989937894|-0.007076390526094086|
(',', 'diagnóstico')|2|1|550|233|0.0018148820326678765|0.004273504273504274|0.0060883863061721505|8.468936285979423|-1.1231596740671572|-0.006838229979235256|
('nutricional', ',', 'composición')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1122230913170257|0.375494120572842|
('anemia', ',', 'pre')|3|1|5|233|0.16666666666666666|0.004273504273504274|0.17094017094017094|14.989882293829424|0.8150021349305555|0.13931660426163342|
