Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('agresiones', 'al', 'personal')|3|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.2064104821698165|1.2097897832403202|
('atención', 'con', 'hiperactividad')|3|1|75|356|0.013157894736842105|0.0028011204481792717|0.015959015185021377|11.326917281106995|-0.50464721535247|-0.008053672572888823|
('intervención', 'médico-forense')|2|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.2064104821698165|1.2097897832403202|
perú|1|2|1471|355|0.0013577732518669382|0.0056022408963585435|0.006960014148225482|7.050303079514731|-1.6758409645152972|-0.011663876823202307|
('seguida', 'de', 'incineración')|3|1|2|356|0.3333333333333333|0.0028011204481792717|0.3361344537815126|15.989882293829424|0.7723525835613884|0.25961431380214733|
('health', ',', 'cidi')|3|1|4|356|0.2|0.0028011204481792717|0.20280112044817927|15.252916699663219|0.5705271542500023|0.11570354612801168|
('bígamo', 'y', 'pacto')|3|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.2064104821698165|1.2097897832403202|
colombianas|1|1|68|356|0.014492753623188406|0.0028011204481792717|0.017293874071367676|11.46632033777241|-0.4664702882590843|-0.008067078423187183|
examen|1|1|483|356|0.002066115702479339|0.0028011204481792717|0.004867236150658611|8.655981557275986|-1.2361097875437816|-0.006016438244116029|
prevalencia|1|5|9393|352|0.0005320280910832092|0.014005602240896359|0.014537630331979568|4.376706742149464|-2.40803217244352|-0.03500708155049757|
doméstica|1|1|66|356|0.014925373134328358|0.0028011204481792717|0.01772649358250763|11.508755604092809|-0.4548489643996617|-0.008062877248440844|
epilepsia|1|3|1616|354|0.0018529956763434219|0.008403361344537815|0.010256357020881237|6.913957524248015|-1.7131805641441482|-0.017570991507097112|
cuestión|1|1|150|356|0.006622516556291391|0.0028011204481792717|0.009423637004470662|10.336440055225502|-0.7758993510276118|-0.007311793836088574|
("nell'attività", 'di')|2|1|3|356|0.25|0.0028011204481792717|0.25280112044817926|15.57484479455058|0.6586903961602959|0.16651767017777788|
('factores', 'alimentarios')|2|1|10|356|0.09090909090909091|0.0028011204481792717|0.09371021135727019|14.115413175913282|0.25901039031777806|0.02427191842040803|
('médico', 'como', 'testigo')|3|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.2064104821698165|1.2097897832403202|
diferencial|1|1|993|356|0.001006036217303823|0.0028011204481792717|0.0038071566654830948|7.617742752988294|-1.52044191113522|-0.005788560556458308|
('accidentales', 'y', 'concausales')|3|1|2|356|0.3333333333333333|0.0028011204481792717|0.3361344537815126|15.989882293829424|0.7723525835613884|0.25961431380214733|
rnasel|1|1|8|356|0.1111111111111111|0.0028011204481792717|0.11391223155929038|14.404919793108268|0.33829468495295967|0.03853590248763873|
('enfermedad', 'pulmonar', 'obstructiva')|3|1|884|356|0.0011299435028248588|0.0028011204481792717|0.003931063951004131|7.78531114958022|-1.4745516228383164|-0.005796556728434345|
('médico-legales', ':', 'seguridad')|3|1|1|356|0.5|0.0028011204481792717|0.5028011204481793|16.57484479455058|0.932550439165056|0.4688874056866318|
percibidas|1|1|41|356|0.023809523809523808|0.0028011204481792717|0.02661064425770308|12.18252737177182|-0.27032979912769384|-0.007193650116843393|
aportados|1|1|7|356|0.125|0.0028011204481792717|0.12780112044817926|14.57484479455058|0.3848303531555353|0.04918175031574593|
('inventario', 'clínico', 'multiaxial')|3|1|3|356|0.25|0.0028011204481792717|0.25280112044817926|15.57484479455058|0.6586903961602959|0.16651767017777788|
