Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('los', 'médicos', 'asistenciales')|3|1|6|218|0.14285714285714285|0.0045662100456621|0.14742335290280495|14.767489872492977|0.7075520026182722|0.10430968857907992|
('los', 'residentes')|2|1|126|218|0.007874015748031496|0.0045662100456621|0.012440225793693596|10.586160107778415|-0.4888926544876669|-0.006081935010704805|
andalucía|1|1|448|218|0.0022271714922048997|0.0045662100456621|0.006793381537867|8.764273159809433|-1.0102069318602238|-0.006862721120324511|
('nexo', 'de', 'continuidad')|3|1|3|218|0.25|0.0045662100456621|0.2545662100456621|15.57484479455058|0.9385683388650601|0.23892778489373104|
('confédération', 'des')|2|1|0|218|1.0|0.0045662100456621|1.004566210045662|17.57484479455058|1.510847840569281|1.5177466891563551|
('prótesis', 'de')|2|1|321|218|0.003105590062111801|0.0045662100456621|0.007671800107773901|9.243927916435963|-0.8729586393040786|-0.0066971641830951886|
('al', 'extranjero', 'durante')|3|1|0|218|1.0|0.0045662100456621|1.004566210045662|17.57484479455058|1.510847840569281|1.5177466891563551|
agrícola|1|1|23|218|0.041666666666666664|0.0045662100456621|0.046232876712328765|12.989882293829424|0.19890781294665966|0.009196080393081868|
('importancia', 'del')|2|1|647|218|0.0015432098765432098|0.0045662100456621|0.00610941992220531|8.234994791665954|-1.1616545122522102|-0.007097035219873345|
('practice', 'research')|2|2|2|217|0.5|0.0091324200913242|0.5091324200913242|15.57484479455058|0.9385683388650601|0.4778555697874621|
('fármacos', 'genéricos')|2|1|7|218|0.125|0.0045662100456621|0.1295662100456621|14.57484479455058|0.6524285880129495|0.08453269947428055|
('durante', 'el', 'último')|3|1|10|218|0.09090909090909091|0.0045662100456621|0.09547530095475301|14.115413175913282|0.520966939122491|0.049739475300196324|
('la', 'medicina')|2|6|1219|213|0.004897959183673469|0.0273972602739726|0.032295219457646074|7.316278760660647|-1.4245356884679088|-0.04600569268432005|
(':', 'avance', 'de')|3|1|3|218|0.25|0.0045662100456621|0.2545662100456621|15.57484479455058|0.9385683388650601|0.23892778489373104|
('cuestión', 'de')|2|1|50|218|0.0196078431372549|0.0045662100456621|0.024174053182917002|11.902419452579085|-0.1122585335096407|-0.0027137437592983245|
('lo', 'que', 'concierne')|3|1|2|218|0.3333333333333333|0.0045662100456621|0.3378995433789954|15.989882293829424|1.0573270655029916|0.35727033263571406|
('diego', 'paroissien', '.')|3|1|0|218|1.0|0.0045662100456621|1.004566210045662|17.57484479455058|1.510847840569281|1.5177466891563551|
infantil|1|1|3549|218|0.00028169014084507044|0.0045662100456621|0.00484790018650717|5.781241485271173|-1.8637708719965558|-0.009035375157958735|
('tratamientos', 'biológicos', 'de')|3|1|3|218|0.25|0.0045662100456621|0.2545662100456621|15.57484479455058|0.9385683388650601|0.23892778489373104|
('la', 'asistencia')|2|1|626|218|0.001594896331738437|0.0045662100456621|0.006161106377400537|8.282523161748541|-1.148054756278372|-0.007073287480511697|
('interés', 'odontológico', '.')|3|1|1|218|0.5|0.0045662100456621|0.504566210045662|16.57484479455058|1.2247080897171703|0.6179463192408553|
diagnóstico|1|7|18694|212|0.00037431153414255923|0.0319634703196347|0.03233778185377726|3.3840169974835383|-2.549712089668688|-0.0824520333456446|
('medico', 'general')|2|1|3|218|0.25|0.0045662100456621|0.2545662100456621|15.57484479455058|0.9385683388650601|0.23892778489373104|
('estudio', 'en', 'la')|3|1|69|218|0.014285714285714285|0.0045662100456621|0.018851924331376384|11.445561777605613|-0.24298367480142452|-0.004580709851116221|
('invención', 'de', 'enfermedad')|3|1|0|218|1.0|0.0045662100456621|1.004566210045662|17.57484479455058|1.510847840569281|1.5177466891563551|
('un', 'tema', 'en')|3|1|5|218|0.16666666666666666|0.0045662100456621|0.17123287671232876|14.989882293829424|0.7711873146508809|0.13205262237172616|
organización|1|1|573|218|0.0017421602787456446|0.0045662100456621|0.006308370324407744|8.409937867874893|-1.1115963440124828|-0.0070123613892884885|
('diagnosticados', 'de')|2|1|266|218|0.003745318352059925|0.0045662100456621|0.008311528397722026|9.514148862863026|-0.7956376850184173|-0.006612965213328387|
('neurológicos', 'de', 'interés')|3|2|6|217|0.25|0.0091324200913242|0.2591324200913242|14.57484479455058|0.6524285880129495|0.1690653989485611|
('situación', 'laboral', 'de')|3|1|16|218|0.058823529411764705|0.0045662100456621|0.0633897394574268|13.487381953300241|0.34126224155664914|0.02163252457893344|
caso|1|2|4403|217|0.0004540295119182747|0.0091324200913242|0.009586449603242475|5.4699184907428045|-1.952852756085436|-0.018720924528766204|
('breve', 'resumen')|2|1|12|218|0.07692307692307693|0.0045662100456621|0.08148928696873903|13.874405076409488|0.4520049415771346|0.036833560395467244|
('suecia', '.')|2|1|3|218|0.25|0.0045662100456621|0.2545662100456621|15.57484479455058|0.9385683388650601|0.23892778489373104|
