Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('agudización', 'de', 'las')|3|1|2|515|0.3333333333333333|0.001937984496124031|0.33527131782945735|15.989882293829424|1.0913881945501078|0.36591115825032683|
('desgaste', 'profesional', 'sobre')|3|1|2|515|0.3333333333333333|0.001937984496124031|0.33527131782945735|15.989882293829424|1.0913881945501078|0.36591115825032683|
('intensivos', '(', 'uci')|3|1|5|515|0.16666666666666666|0.001937984496124031|0.1686046511627907|14.989882293829424|0.7754605105784828|0.13074624887660466|
('hospital', 'pediátrico', '.')|3|1|111|515|0.008928571428571428|0.001937984496124031|0.010866555924695459|10.767489872492977|-0.5585101479136829|-0.006069081756813969|
('de', 'recién')|2|1|310|515|0.003215434083601286|0.001937984496124031|0.005153418579725317|9.294074024419977|-1.0240030043224733|-0.005277116108169978|
('maligno', 'primario')|2|1|6|515|0.14285714285714285|0.001937984496124031|0.14479512735326688|14.767489872492977|0.705200587972817|0.10210960894512273|
('familia', ':', 'aportación')|3|1|3|515|0.25|0.001937984496124031|0.25193798449612403|15.57484479455058|0.9602663586415676|0.24192757097558876|
('próstata', ':', 'resultados')|3|1|6|515|0.14285714285714285|0.001937984496124031|0.14479512735326688|14.767489872492977|0.705200587972817|0.10210960894512273|
('lo', 'humano', 'en')|3|1|0|515|1.0|0.001937984496124031|1.001937984496124|17.57484479455058|1.592121726584817|1.5952072338068808|
analgesia|1|2|626|514|0.0031847133757961785|0.003875968992248062|0.0070606823680442405|8.280224045658953|-1.344306280007125|-0.009491719648497451|
('parálisis', 'espástica')|2|2|10|514|0.16666666666666666|0.003875968992248062|0.17054263565891473|13.989882293829424|0.4595328266068578|0.07836993942132459|
('irresecables', 'del', 'cáncer')|3|1|3|515|0.25|0.001937984496124031|0.25193798449612403|15.57484479455058|0.9602663586415676|0.24192757097558876|
('quirúrgica', 'en', 'la')|3|1|69|515|0.014285714285714285|0.001937984496124031|0.016223698781838318|11.445561777605613|-0.34428846136522023|-0.0055856322912519124|
endoscópico|1|5|793|511|0.006265664160401002|0.009689922480620155|0.015955586641021157|7.934599858328235|-1.453498529035094|-0.023191421712616248|
('y', 'enfisema')|2|1|23|515|0.041666666666666664|0.001937984496124031|0.04360465116279069|12.989882293829424|0.14360514263523277|0.006261852149792126|
('cubiertas', 'versus', 'parcialmente')|3|1|5|515|0.16666666666666666|0.001937984496124031|0.1686046511627907|14.989882293829424|0.7754605105784828|0.13074624887660466|
('programa', 'nacional')|2|1|154|515|0.0064516129032258064|0.001937984496124031|0.008389597399349837|10.298720389276342|-0.7066074050628899|-0.005928151647876957|
('nadya', '.')|2|1|30|515|0.03225806451612903|0.001937984496124031|0.034196049012253066|12.620648484163706|0.026953960303522425|0.0009217189476135763|
('resultados', 'del')|2|3|1662|513|0.0018018018018018018|0.005813953488372093|0.0076157552901738946|6.873538332591956|-1.7887172394123552|-0.013622432778679888|
('enfermedades', 'respiratorias', '.')|3|1|37|515|0.02631578947368421|0.001937984496124031|0.02825377396980824|12.326917281106995|-0.06584385838838316|-0.0018603374922054401|
('cáncer', 'de', 'vesícula')|3|1|117|515|0.00847457627118644|0.001937984496124031|0.010412560767310472|10.69220174518874|-0.5822957516034714|-0.006063189898117869|
('anorexia-caquexia', 'y')|2|1|4|515|0.2|0.001937984496124031|0.20193798449612405|15.252916699663219|0.858560361218406|0.17337594891270913|
('enfermedad', 'terminal', '.')|3|1|6|515|0.14285714285714285|0.001937984496124031|0.14479512735326688|14.767489872492977|0.705200587972817|0.10210960894512273|
caso|1|4|4401|512|0.0009080590238365494|0.007751937984496124|0.008659997008332674|5.4699184907428045|-2.232159605224376|-0.01933049550336414|
(':', '¿', 'es')|3|1|216|515|0.004608294930875576|0.001937984496124031|0.006546279426999607|9.8132935621061|-0.8599671783084787|-0.005629585447255696|
quirúrgica|1|4|2130|512|0.0018744142455482662|0.007751937984496124|0.009626352230044391|6.5155003337261554|-1.901831355167863|-0.018307698506988504|
('preliminar', 'en')|2|1|71|515|0.013888888888888888|0.001937984496124031|0.01582687338501292|11.404919793108268|-0.35712838939947705|-0.005652225801219113|
(':', 'actualidad')|2|1|13|515|0.07142857142857142|0.001937984496124031|0.07336655592469546|13.767489872492977|0.3892729040011921|0.028559612281372066|
