Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('presentación', 'clínica')|2|1|260|281|0.0038314176245210726|0.0035460992907801418|0.007377516915301214|9.546938797980696|-0.915842683309877|-0.00675664488787347|
('en', 'sujetos', 'normales')|3|1|129|281|0.007692307692307693|0.0035460992907801418|0.011238406983087834|10.552476981522126|-0.6414741403050308|-0.0072091474578743235|
('la', 'enfermedad', 'tendogenetica')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('dinámica', 'del', 'carpo')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('de', 'ciclistas', 'puertorriqueños')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
cirugía|1|3|13170|279|0.0002277385561375541|0.010638297872340425|0.01086603642847798|3.889548474702883|-2.4595035463321855|-0.026725055130416307|
prevalencia|1|2|9396|280|0.00021281123643328368|0.0070921985815602835|0.007305009817993567|4.376706742149464|-2.3265788039008837|-0.016995681004831686|
('las', 'grandes', 'arterias')|3|1|101|281|0.00980392156862745|0.0035460992907801418|0.013350020859407593|10.902419452579085|-0.5459897444949562|-0.0072889744780302865|
('escuela', 'de', 'kratochvil')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('conceptos', 'actuales')|2|1|282|281|0.0035335689045936395|0.0035460992907801418|0.007079668195373781|9.430186551718698|-0.9476993986726182|-0.006709397291557393|
('consenso', 'gedos-secot')|2|1|8|281|0.1111111111111111|0.0035460992907801418|0.11465721040189125|14.404919793108268|0.40969342202636266|0.04697430488954749|
('iii', 'parte')|2|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('coma', 'diabético', 'hiperosmolar')|3|1|5|281|0.16666666666666666|0.0035460992907801418|0.1702127659574468|14.989882293829424|0.5693047740986255|0.09690294027210646|
('movimiento', 'tras')|2|1|4|281|0.2|0.0035460992907801418|0.20354609929078016|15.252916699663219|0.6410756604458668|0.13048845003401688|
sentada|1|1|9|281|0.1|0.0035460992907801418|0.10354609929078015|14.252916699663219|0.36821825185046114|0.038127563666785345|
('articular', 'intrinseca')|2|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('fisiológicas', 'de', 'ciclistas')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('práctica', 'clínica', 'habitual')|3|1|105|281|0.009433962264150943|0.0035460992907801418|0.012980061554931085|10.846924339987382|-0.5611319971064387|-0.007283527862882985|
('análisis', 'de', 'fase')|3|1|10|281|0.09090909090909091|0.0035460992907801418|0.09445519019987106|14.115413175913282|0.3306993966873167|0.031236274413083107|
ambliopía|1|1|39|281|0.025|0.0035460992907801418|0.02854609929078014|12.252916699663219|-0.17749656534035022|-0.005066834577978082|
('neoplasias', 'hematológicas')|2|1|103|281|0.009615384615384616|0.0035460992907801418|0.013161483906164758|10.874405076409488|-0.5536336745800094|-0.0072866406978956515|
morfología|1|2|249|280|0.00796812749003984|0.0070921985815602835|0.015060326071600124|9.603301240599809|-0.9004637732747185|-0.013561278041180666|
('clinicos', ',', 'biomecanicos')|3|1|4|281|0.2|0.0035460992907801418|0.20354609929078016|15.252916699663219|0.6410756604458668|0.13048845003401688|
guías|1|1|958|281|0.0010427528675703858|0.0035460992907801418|0.004588852158350528|7.66945778953245|-1.4281272859621543|-0.0065534649785867136|
para|1|32|27356|250|0.0011683949174821088|0.11347517730496454|0.11464357222244664|2.833588497458444|-2.7476300493035666|-0.31499812399789806|
('paralisis', 'cerebral')|2|2|46|280|0.041666666666666664|0.0070921985815602835|0.04875886524822695|11.989882293829424|-0.2492674516875916|-0.0121539980876042|
('caídas', 'en', 'ancianos')|3|1|24|281|0.04|0.0035460992907801418|0.04354609929078014|12.930988604775855|0.007520377530033598|0.00032748310662699493|
begg|1|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('síndrome', 'de', 'abducción')|3|1|5|281|0.16666666666666666|0.0035460992907801418|0.1702127659574468|14.989882293829424|0.5693047740986255|0.09690294027210646|
('finitos', 'del', 'alendronato')|3|1|3|281|0.25|0.0035460992907801418|0.25354609929078015|15.57484479455058|0.7289161261708883|0.18481384050077487|
utilizado|1|1|50|281|0.0196078431372549|0.0035460992907801418|0.02315394242803504|11.902419452579085|-0.2731323358995505|-0.006324090380652921|
('medio', 'de', 'calentamiento')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('rankin', '(', 'smrsq')|3|1|2|281|0.3333333333333333|0.0035460992907801418|0.33687943262411346|15.989882293829424|0.8421621826940312|0.28370711828345024|
cavo|1|1|10|281|0.09090909090909091|0.0035460992907801418|0.09445519019987106|14.115413175913282|0.3306993966873167|0.031236274413083107|
('planimetria', 'placentaria')|2|1|3|281|0.25|0.0035460992907801418|0.25354609929078015|15.57484479455058|0.7289161261708883|0.18481384050077487|
('curso', 'oficial')|2|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
2000|1|1|1004|281|0.0009950248756218905|0.0035460992907801418|0.0045411241664020325|7.601865008484289|-1.4465704770387122|-0.006569056151684212|
sincronía|1|1|15|281|0.0625|0.0035460992907801418|0.06604609929078015|13.57484479455058|0.18320130898007686|0.01209973184309905|
('lipedema', ':', 'clínica')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('estudiantes', 'universitarios')|2|1|243|281|0.004098360655737705|0.0035460992907801418|0.007644459946517847|9.644107456987694|-0.8893294948165368|-0.006798443702381966|
('diseño', 'de', 'sistemas')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
controlado|1|1|438|281|0.002277904328018223|0.0035460992907801418|0.0058240036187983645|8.796767665015222|-1.1205324346539154|-0.006525984954405345|
propiedades|1|2|316|280|0.006289308176100629|0.0070921985815602835|0.013381506757660913|9.261961839266224|-0.9936007577741076|-0.013295875254571224|
1865|1|1|9|281|0.1|0.0035460992907801418|0.10354609929078015|14.252916699663219|0.36821825185046114|0.038127563666785345|
ringer|1|1|2|281|0.3333333333333333|0.0035460992907801418|0.33687943262411346|15.989882293829424|0.8421621826940312|0.28370711828345024|
('retención', 'y', 'biomecánica')|3|2|0|280|1.0|0.0070921985815602835|1.0070921985815602|16.57484479455058|1.0017735347662935|1.0088783116086075|
artroplastía|1|1|183|281|0.005434782608695652|0.0035460992907801418|0.008980881899475794|10.051282838493567|-0.7782286753749987|-0.006989179824328349|
('un', 'diseño', 'mecánico')|3|1|4|281|0.2|0.0035460992907801418|0.20354609929078016|15.252916699663219|0.6410756604458668|0.13048845003401688|
normativa|1|1|153|281|0.006493506493506494|0.0035460992907801418|0.010039605784286636|10.308058253855679|-0.7081656009482838|-0.0071097034635132115|
orofaríngea|1|1|98|281|0.010101010101010102|0.0035460992907801418|0.013647109391790244|10.94548817447097|-0.5342381246480202|-0.0072908061283364035|
('aplicación', 'de', 'ondas')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
resultados|1|3|11522|279|0.0002603036876355748|0.010638297872340425|0.010898601559976|4.082365664346518|-2.406891947633374|-0.02623175633517076|
biomecanicos|1|3|4|279|0.42857142857142855|0.010638297872340425|0.439209726443769|14.767489872492977|0.5086233543215047|0.2233923243144603|
('recuperación', 'inmediata')|2|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('mecanobiología', 'del', 'disco')|3|1|2|281|0.3333333333333333|0.0035460992907801418|0.33687943262411346|15.989882293829424|0.8421621826940312|0.28370711828345024|
('proyección', 'de', 'rosenberg')|3|1|5|281|0.16666666666666666|0.0035460992907801418|0.1702127659574468|14.989882293829424|0.5693047740986255|0.09690294027210646|
('monofilamento', ':', 'estudio')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('osmótica', 'de', 'manzana')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('evaluación', 'isocinética')|2|1|3|281|0.25|0.0035460992907801418|0.25354609929078015|15.57484479455058|0.7289161261708883|0.18481384050077487|
hematológicas|1|1|310|281|0.003215434083601286|0.0035460992907801418|0.006761533374381428|9.294074024419977|-0.9848387101487186|-0.006659019807053319|
diatermia|1|1|17|281|0.05555555555555555|0.0035460992907801418|0.05910165484633569|13.404919793108268|0.136836013430957|0.008087234836344976|
tendón|1|1|89|281|0.011111111111111112|0.0035460992907801418|0.014657210401891253|11.082991698220905|-0.49671926948487627|-0.007280518843513553|
neurógena|1|2|131|280|0.015037593984962405|0.0070921985815602835|0.02212979256652269|10.51956235904939|-0.6504551388978378|-0.014394437297637853|
validación|1|4|1914|278|0.0020855057351407717|0.014184397163120567|0.01626990289826134|6.66945778953245|-1.70098469455756|-0.027674855811880224|
('dientes', 'in', 'vitro')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('la', 'levadura', 'saccharomyces')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('polipropileno', 'monofilamento')|2|1|5|281|0.16666666666666666|0.0035460992907801418|0.1702127659574468|14.989882293829424|0.5693047740986255|0.09690294027210646|
('torró', '(', '1865')|3|1|2|281|0.3333333333333333|0.0035460992907801418|0.33687943262411346|15.989882293829424|0.8421621826940312|0.28370711828345024|
('atención', 'a', 'pacientes')|3|1|51|281|0.019230769230769232|0.0035460992907801418|0.022776868521549372|11.874405076409488|-0.2807762659846037|-0.0063952040943028934|
('sentada', 'del', 'paralítico')|3|1|3|281|0.25|0.0035460992907801418|0.25354609929078015|15.57484479455058|0.7289161261708883|0.18481384050077487|
experimentales|1|2|458|280|0.004347826086956522|0.0070921985815602835|0.011440024668516804|8.729354743606205|-1.1389265496954257|-0.0130293478241444|
torsión|1|1|117|281|0.00847457627118644|0.0035460992907801418|0.012020675561966582|10.69220174518874|-0.603349203374353|-0.007252665024334091|
('6', 'casos')|2|1|163|281|0.006097560975609756|0.0035460992907801418|0.009643660266389898|10.217292789932497|-0.7329316302243231|-0.007068143640374678|
('de', 'fotón', 'único')|3|1|36|281|0.02702702702702703|0.0035460992907801418|0.03057312631780717|12.365391428921631|-0.14680700218242992|-0.004488349022062022|
('guías', 'visuales')|2|1|3|281|0.25|0.0035460992907801418|0.25354609929078015|15.57484479455058|0.7289161261708883|0.18481384050077487|
experimental|1|3|2223|279|0.0013477088948787063|0.010638297872340425|0.011986006767219132|6.45460691720862|-1.7596083468143024|-0.021090677552571498|
('de', 'parkinson', 'avanzada')|3|1|43|281|0.022727272727272728|0.0035460992907801418|0.026273372018052868|12.115413175913282|-0.2150154205034947|-0.005649180132506389|
('prueba', 'de', 'marcha')|3|1|5|281|0.16666666666666666|0.0035460992907801418|0.1702127659574468|14.989882293829424|0.5693047740986255|0.09690294027210646|
('finitos', '(', 'mef')|3|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('muscolatura', 'del', 'tronco')|3|1|2|281|0.3333333333333333|0.0035460992907801418|0.33687943262411346|15.989882293829424|0.8421621826940312|0.28370711828345024|
agricoltura|1|1|3|281|0.25|0.0035460992907801418|0.25354609929078015|15.57484479455058|0.7289161261708883|0.18481384050077487|
viscosidad|1|1|31|281|0.03125|0.0035460992907801418|0.03479609929078014|12.57484479455058|-0.08965609961532882|-0.0031196825442390565|
('neuroconducción', 'de', 'miembros')|3|1|2|281|0.3333333333333333|0.0035460992907801418|0.33687943262411346|15.989882293829424|0.8421621826940312|0.28370711828345024|
infirmes|1|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
('del', 'pie', 'plano')|3|1|8|281|0.1111111111111111|0.0035460992907801418|0.11465721040189125|14.404919793108268|0.40969342202636266|0.04697430488954749|
clínica|1|10|10187|272|0.0009806805923310777|0.03546099290780142|0.0364416735001325|4.258987647287753|-2.3586993310670468|-0.08595495090772624|
('familiares', 'de', 'pacientes')|3|1|82|281|0.012048192771084338|0.0035460992907801418|0.01559429206186448|11.199805363203655|-0.4648457955691511|-0.007248941099835092|
('sitio', 'de', 'control')|3|1|0|281|1.0|0.0035460992907801418|1.00354609929078|17.57484479455058|1.2746309433616991|1.2791509112459605|
('la', 'enfermedad', 'cerebrovascular')|3|1|220|281|0.004524886877828055|0.0035460992907801418|0.008070986168608196|9.786942235159149|-0.850355967387374|-0.006863211251176937|
('reeducación', 'muscular')|2|1|1|281|0.5|0.0035460992907801418|0.5035460992907801|16.57484479455058|1.0017735347662935|0.5044391558043038|
plantar|1|1|64|281|0.015384615384615385|0.0035460992907801418|0.018930714675395525|11.552476981522126|-0.3686167317096251|-0.006978178172571735|
estado|1|1|5321|281|0.00018789928598271326|0.0035460992907801418|0.003733998576762855|5.19709199952836|-2.102730608522603|-0.007851593099539093|
('mellitus', 'tipo', '2')|3|1|999|281|0.001|0.0035460992907801418|0.004546099290780142|7.609060509888494|-1.4446071311720163|-0.006567327454477039|
('sistema', 'de', 'vaciado')|3|1|5|281|0.16666666666666666|0.0035460992907801418|0.1702127659574468|14.989882293829424|0.5693047740986255|0.09690294027210646|
