Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('origen', 'paterno')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6841253509545224|0.13740780047280785|
('hernia', 'interna')|2|2|12|1172|0.14285714285714285|0.0017035775127768314|0.14456072036991968|13.767489872492977|0.1477375513813199|0.021357046853371624|
('análisis', 'descriptivo')|2|1|229|1173|0.004347826086956522|0.0008517887563884157|0.005199614843344937|9.729354743606205|-1.3104335120086534|-0.006813749540256831|
simple|1|3|509|1171|0.005859375|0.002555366269165247|0.008414741269165247|8.57484479455058|-1.7273271885144323|-0.014535011378543572|
('aplicación', 'clínica')|2|1|159|1173|0.00625|0.0008517887563884157|0.007101788756388416|10.252916699663219|-1.121375228952966|-0.007963769992670658|
('cierre', 'de', 'la')|3|2|44|1172|0.043478260869565216|0.0017035775127768314|0.04518183838234205|12.051282838493567|-0.47198500764412926|-0.021325150334265526|
('de', 'cráneo')|2|1|84|1173|0.011764705882352941|0.0008517887563884157|0.012616494638741357|11.165453858412878|-0.7918579550910377|-0.009990471645050772|
hernias|1|20|205|1154|0.08888888888888889|0.017035775127768313|0.1059246640166572|9.761063603333543|-1.2989834390834707|-0.13759438434811855|
('labial', 'unilateral')|2|1|0|1173|1.0|0.0008517887563884157|1.0008517887563884|17.57484479455058|1.522573855319046|1.5238707666097777|
bufanda|1|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9502437124823125|0.317557311070892|
('centro', 'de', 'la')|3|1|20|1173|0.047619047619047616|0.0008517887563884157|0.04847083637543603|13.18252737177182|-0.06349247547391648|-0.0030775333897675914|
('knees', '?')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6841253509545224|0.13740780047280785|
('y', 'patrocinio', 'de')|3|2|6|1172|0.25|0.0017035775127768314|0.25170357751277683|14.57484479455058|0.4392735073745536|0.1105667133127603|
('reformulación', 'conceptual')|2|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.8003736233560513|0.20077515509229737|
infantil|1|2|3548|1172|0.0005633802816901409|0.0017035775127768314|0.0022669577944669722|5.781241485271173|-2.736097667501522|-0.006202617933765478|
('la', 'asistencia')|2|1|626|1173|0.001594896331738437|0.0008517887563884157|0.0024466850881268527|8.282523161748541|-1.8328845640231497|-0.004484491331053328|
('las', 'craneodisostosis', 'con')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9502437124823125|0.317557311070892|
('en', 'ectropion', 'cicatrizal')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9502437124823125|0.317557311070892|
('medio', 'de', 'unidades')|3|3|2|1171|0.6|0.002555366269165247|0.6025553662691652|15.252916699663219|0.6841253509545224|0.41222340141842345|
pequeño|1|1|197|1173|0.005050505050505051|0.0008517887563884157|0.005902293806893466|9.94548817447097|-1.2323877050559078|-0.0072739143192431365|
('individualizados', 'para')|2|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5891435965008149|0.09869242530820012|
('resultados', 'del')|2|2|1663|1172|0.0012012012012012011|0.0017035775127768314|0.0029047787139780323|6.873538332591956|-2.3416691492477635|-0.006802030699913951|
('año', 'y', 'factores')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5891435965008149|0.09869242530820012|
('concepto', 'y')|2|1|147|1173|0.006756756756756757|0.0008517887563884157|0.007608545513145173|10.365391428921631|-1.0807605911727656|-0.00822301614675167|
('epiteliomas', 'de')|2|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5891435965008149|0.09869242530820012|
('con', 'respuesta', 'axilar')|3|1|8|1173|0.1111111111111111|0.0008517887563884157|0.11196289986749952|14.404919793108268|0.37791356964557854|0.04231229915679722|
('mamaria', 'de')|2|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1614737393375483|0.5817261999407822|
('retrospectivo', 'sobre')|2|1|53|1173|0.018518518518518517|0.0008517887563884157|0.019370307274906934|11.819957292387112|-0.5555166891726532|-0.010760528965613258|
quirúrgica|1|25|2109|1149|0.011715089034676664|0.02129471890971039|0.03300980794438706|6.5155003337261554|-2.470956712163987|-0.0815658065074273|
('compuestos', 'faciales')|2|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1614737393375483|0.5817261999407822|
('heridas', ';', 'su')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9502437124823125|0.317557311070892|
('el', 'campo')|2|1|135|1173|0.007352941176470588|0.0008517887563884157|0.008204729932859004|10.487381953300241|-1.0367097986710059|-0.008505923916844235|
('proceso', 'de')|2|2|494|1172|0.004032258064516129|0.0017035775127768314|0.00573583557729296|8.620648484163706|-1.7107874708827524|-0.009812795640676334|
('infracricoidea', '.')|2|1|8|1173|0.1111111111111111|0.0008517887563884157|0.11196289986749952|14.404919793108268|0.37791356964557854|0.04231229915679722|
('método', 'de', 'fijación')|3|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.8003736233560513|0.20077515509229737|
('de', 'aloinjerto')|2|1|20|1173|0.047619047619047616|0.0008517887563884157|0.04847083637543603|13.18252737177182|-0.06349247547391648|-0.0030775333897675914|
('la', 'base', 'nasal')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6841253509545224|0.13740780047280785|
('plástica', 'en', 'los')|3|2|7|1172|0.2222222222222222|0.0017035775127768314|0.22392579973499904|14.404919793108268|0.37791356964557854|0.08462459831359444|
cerámica|1|1|18|1173|0.05263157894736842|0.0008517887563884157|0.053483367703756834|13.326917281106995|-0.011353262466426999|-0.0006072107111291764|
('de', 'neoplasia', 'de')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.5088376673628175|0.07312451754143191|
('cutaneoaponeuróticos', 'y', 'cutaneomusculares')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1614737393375483|0.5817261999407822|
('histobacteriológico', 'del')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9502437124823125|0.317557311070892|
('remoto', 'de')|2|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5891435965008149|0.09869242530820012|
('no', 'cementada', '.')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6841253509545224|0.13740780047280785|
