Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('la', 'plastía', 'broström-gould')|3|1|2|331|0.3333333333333333|0.0030120481927710845|0.3363453815261044|15.989882293829424|1.0009029467866382|0.33664908350755396|
temprano|1|1|374|331|0.0026666666666666666|0.0030120481927710845|0.0056787148594377515|9.024098009167338|-1.1352590389716994|-0.006446812373919611|
ii|1|2|3957|330|0.0005051780752715333|0.006024096385542169|0.006529274460813702|5.623924442520483|-2.177973142829956|-0.014220584417817785|
('una', 'universidad', 'venezolana')|3|1|1|331|0.5|0.0030120481927710845|0.5030120481927711|16.57484479455058|1.180290450916804|0.593700317178031|
('experiencia', 'de', 'un')|3|1|358|331|0.002785515320334262|0.0030120481927710845|0.005797563513105347|9.08700476072753|-1.115967742279335|-0.0064698938644412235|
infantil|1|2|3548|330|0.0005633802816901409|0.006024096385542169|0.006587476667232309|5.781241485271173|-2.129729517603734|-0.014029543504730518|
('en', 'octogenarios', ':')|3|1|17|331|0.05555555555555555|0.0030120481927710845|0.05856760374832664|13.404919793108268|0.20818551498072171|0.012192926747532229|
('la', 'asistencia')|2|2|625|330|0.003189792663476874|0.006024096385542169|0.009213889049019043|8.282523161748541|-1.3626740627384624|-0.012555527624048208|
('medio', 'y', 'gran')|3|1|3|331|0.25|0.0030120481927710845|0.25301204819277107|15.57484479455058|0.8736254870789295|0.22103777383924722|
diagnóstico|1|1|18700|331|5.347307630607989e-05|0.0030120481927710845|0.0030655212690771645|3.3840169974835383|-2.8648742784623975|-0.008782333033858575|
('de', 'intubación', 'y')|3|1|7|331|0.125|0.0030120481927710845|0.1280120481927711|14.57484479455058|0.5669605232410544|0.07257777782453258|
('salud', 'deportiva', 'y')|3|1|2|331|0.3333333333333333|0.0030120481927710845|0.3363453815261044|15.989882293829424|1.0009029467866382|0.33664908350755396|
('los', 'núcleos')|2|1|16|331|0.058823529411764705|0.0030120481927710845|0.06183557760453579|13.487381953300241|0.2334737703539862|0.014436985445347482|
caso|1|2|4403|330|0.0004540295119182747|0.006024096385542169|0.006478125897460444|5.4699184907428045|-2.225201372462675|-0.014415134638014979|
('tibia', '.')|2|1|23|331|0.041666666666666664|0.0030120481927710845|0.04467871485943775|12.989882293829424|0.08090805527301292|0.0036148679313745733|
(')', '(', 'ila-cookgas')|3|1|5|331|0.16666666666666666|0.0030120481927710845|0.16967871485943775|14.989882293829424|0.6942379829487632|0.11779740875335439|
('proceso', 'de')|2|1|495|331|0.0020161290322580645|0.0030120481927710845|0.005028177225029149|8.620648484163706|-1.258982872967346|-0.006330389008556175|
('guantes', 'en', 'cirugía')|3|1|1|331|0.5|0.0030120481927710845|0.5030120481927711|16.57484479455058|1.180290450916804|0.593700317178031|
('protocolo', 'para')|2|1|97|331|0.01020408163265306|0.0030120481927710845|0.013216129825424146|10.960134950435371|-0.5415443403889475|-0.007157120308804015|
('doble', 'mandibular')|2|1|4|331|0.2|0.0030120481927710845|0.2030120481927711|15.252916699663219|0.7749014195019006|0.15731432432056658|
