Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
reemergencia|1|1|57|972|0.017241379310344827|0.0010277492291880781|0.018269128539532907|11.716863799423008|-0.6706093363689368|-0.012251448165934967|
('la', 'esterasa', 'a4')|3|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.1915172575669801|1.192741838510009|
('guarderías', 'infantiles')|2|1|16|972|0.058823529411764705|0.0010277492291880781|0.059851278640952785|13.487381953300241|-0.10779956588259153|-0.006451941855012733|
('evaluación', 'neuropsicológica')|2|1|51|972|0.019230769230769232|0.0010277492291880781|0.02025851845995731|11.874405076409488|-0.6205303412743547|-0.012571025373670126|
('por', 'viajeros', 'españoles')|3|1|2|972|0.3333333333333333|0.0010277492291880781|0.3343610825625214|15.989882293829424|0.6876916518781103|0.22993732519117357|
('serotipo', 'de', 'virus')|3|1|2|972|0.3333333333333333|0.0010277492291880781|0.3343610825625214|15.989882293829424|0.6876916518781103|0.22993732519117357|
malation|1|2|0|971|1.0|0.0020554984583761563|1.002055498458376|16.57484479455058|0.8736386923267109|0.8754344553119661|
sarampión|1|2|555|971|0.003590664272890485|0.0020554984583761563|0.005646162731266641|8.453311277210549|-1.708022729716095|-0.00964377428067933|
humboldt|1|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.1915172575669801|1.192741838510009|
('cruzi', 'en', 'triatominos')|3|1|2|972|0.3333333333333333|0.0010277492291880781|0.3343610825625214|15.989882293829424|0.6876916518781103|0.22993732519117357|
('3', 'años')|2|1|251|972|0.003968253968253968|0.0010277492291880781|0.004996003197442046|9.597564871050663|-1.3442890390351778|-0.006716072337306043|
('niveles', 'de', 'anticuerpos')|3|1|19|972|0.05|0.0010277492291880781|0.05102774922918808|13.252916699663219|-0.1823310443074241|-0.00930394280561522|
igg|1|5|276|968|0.017793594306049824|0.0051387461459403904|0.022932340451990215|9.440418474329654|-1.3942425101575304|-0.03197324391556991|
epilepsia|1|1|1618|972|0.0006176652254478073|0.0010277492291880781|0.0016454144546358854|6.913957524248015|-2.197350292105049|-0.003615551932528033|
('medicina', 'asistencial')|2|1|3|972|0.25|0.0010277492291880781|0.2510277492291881|15.57484479455058|0.5557601270864422|0.1395112138138371|
('cubana', 'de', 'efecto')|3|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.1915172575669801|1.192741838510009|
ap-61|1|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.1915172575669801|1.192741838510009|
perú|1|21|1452|952|0.014256619144602852|0.02158273381294964|0.035839352957552494|7.050303079514731|-2.1540089626199777|-0.07719828748506888|
('una', 'biblioteca', 'genómica')|3|2|8|971|0.2|0.0020554984583761563|0.20205549845837617|14.252916699663219|0.13554752093284514|0.027388121906883202|
('prevención', 'del', 'vih/sida')|3|1|16|972|0.058823529411764705|0.0010277492291880781|0.059851278640952785|13.487381953300241|-0.10779956588259153|-0.006451941855012733|
('enterocolitica', ':', 'investigación')|3|1|1|972|0.5|0.0010277492291880781|0.501027749229188|16.57484479455058|0.8736386923267109|0.43771722765598303|
('dengue', 'en', 'nicaragua')|3|2|4|971|0.3333333333333333|0.0020554984583761563|0.3353888317917095|14.989882293829424|0.3698130866378411|0.12403117910875178|
('aisladas', 'en', 'cuba')|3|6|6|967|0.5|0.006166495375128468|0.5061664953751285|13.989882293829424|0.05193452139757188|0.02628751468479358|
('inmigrante', 'infectado')|2|1|0|972|1.0|0.0010277492291880781|1.0010277492291881|17.57484479455058|1.1915172575669801|1.192741838510009|
