Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('síndrome', 'de', 'disfunción')|3|1|15|451|0.0625|0.0022123893805309734|0.06471238938053098|13.57484479455058|0.13685042395211566|0.008855917921680051|
('niño', ';')|2|1|58|451|0.01694915254237288|0.0022123893805309734|0.019161541922903855|11.69220174518874|-0.4147277755788318|-0.007946823658346447|
('enfermedad', 'inflamatorio')|2|1|327|451|0.003048780487804878|0.0022123893805309734|0.005261169868335852|9.217292789932497|-1.1398284928953653|-0.005996831321891761|
('con', 'gota', 'tofácea')|3|1|0|451|1.0|0.0022123893805309734|1.002212389380531|17.57484479455058|1.3087734812048766|1.3116689977562148|
antivariólica|1|2|43|450|0.044444444444444446|0.004424778761061947|0.04886922320550639|12.082991698220905|-0.3002338364535523|-0.01467219436749415|
adhesión|1|1|137|451|0.007246376811594203|0.0022123893805309734|0.009458766192125177|10.46632033777241|-0.7738874472809975|-0.007320020422851554|
('médico', 'del', 'asma')|3|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7228119525784963|0.1823021296326296|
('de', '6', 'minuto')|3|1|11|451|0.08333333333333333|0.0022123893805309734|0.0855457227138643|13.989882293829424|0.2584484277094665|0.022109157532668226|
critica|1|1|12|451|0.07692307692307693|0.0022123893805309734|0.0791354663036079|13.874405076409488|0.22461582428901306|0.017775077994280308|
capacidad|1|1|904|451|0.0011049723756906078|0.0022123893805309734|0.0033173617562215815|7.753070812580012|-1.568817366944267|-0.0052043347355971515|
metabolito|1|1|41|451|0.023809523809523808|0.0022123893805309734|0.02602191319005478|12.18252737177182|-0.2710717987401768|-0.007053806815088881|
('enfermedad', 'de', 'graves')|3|1|88|451|0.011235955056179775|0.0022123893805309734|0.013448344436710748|11.099111363584182|-0.5884918488881369|-0.007914241082044398|
membrana|1|1|828|451|0.0012062726176115801|0.0022123893805309734|0.0034186619981425538|7.87961650305483|-1.5317419138284145|-0.005236507871767347|
('inmunohmatología', '.')|2|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.0157927168916863|0.510143687465515|
('periódico', ',', 'estomatitis')|3|1|9|451|0.1|0.0022123893805309734|0.10221238938053098|14.252916699663219|0.3355124489713175|0.03429352907627183|
anestésico|1|1|820|451|0.001218026796589525|0.0022123893805309734|0.0034304161771204983|7.893606382772775|-1.5276431481760013|-0.005240451768370242|
('paciente', 'con', 'implante')|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.0157927168916863|0.510143687465515|
('año', 'de')|2|3|3922|449|0.0007643312101910828|0.00663716814159292|0.007401499351784003|5.636367855884228|-2.1889706170209875|-0.01620166460295507|
('unoo', 'agonista')|2|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.0157927168916863|0.510143687465515|
campar|1|1|322|451|0.0030959752321981426|0.0022123893805309734|0.005308364612729116|9.239454439856654|-1.133335555762144|-0.006016158358555452|
('en', 'adulto')|2|16|2112|436|0.007518796992481203|0.035398230088495575|0.04291702708097678|6.519562359049391|-1.93021161644645|-0.08283894421504825|
('preventivo', 'en')|2|1|273|451|0.0036496350364963502|0.0022123893805309734|0.005862024417027324|9.476812711590053|-1.063794147893635|-0.0062359872696432644|
junio|1|2|105|450|0.018691588785046728|0.004424778761061947|0.023116367546108674|10.833377808149434|-0.6663466690630708|-0.015403514515187188|
('unoo', 'grupo', 'de')|3|1|62|451|0.015873015873015872|0.0022123893805309734|0.018085405253546846|11.597564871050663|-0.44245455929601674|-0.008001970011147936|
('inmunológico', '.')|2|1|122|451|0.008130081300813009|0.0022123893805309734|0.010342470681343982|10.63233028921134|-0.7252497248248241|-0.007500874015653534|
('de', 'futbol', '.')|3|1|3|451|0.25|0.0022123893805309734|0.252212389380531|15.57484479455058|0.7228119525784963|0.1823021296326296|
mundo|1|2|220|450|0.009009009009009009|0.004424778761061947|0.013433787770070956|9.780428928200473|-0.9748404366932351|-0.01309579953622021|
('los', 'medir')|2|1|141|451|0.007042253521126761|0.0022123893805309734|0.009254642901657735|10.425097675045897|-0.785964894513636|-0.007273824431962793|
('obrar', 'de', 'karl')|3|1|1|451|0.5|0.0022123893805309734|0.5022123893805309|16.57484479455058|1.0157927168916863|0.510143687465515|
