Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('mediante', 'lo', 'técnico')|3|4|131|230|0.02962962962962963|0.017094017094017096|0.046723646723646726|10.498029197499749|-0.520293871846428|-0.02431002706063082|
péptido|1|1|172|233|0.005780346820809248|0.004273504273504274|0.010053851094313521|10.140216566913855|-0.626028108335775|-0.006293993382062655|
('post-cirugía', 'bariátrica')|2|1|3|233|0.25|0.004273504273504274|0.25427350427350426|15.57484479455058|0.9799137090665658|0.24916609269000284|
(':', 'hacia', 'uno')|3|1|112|233|0.008849557522123894|0.004273504273504274|0.013123061795628168|10.754665832135393|-0.44445731299169117|-0.005832640783908813|
('cambio', 'postoperatorio')|2|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1025579908764058|0.37223111657793184|
('médicas', 'y', 'nutrición')|3|1|37|233|0.02631578947368421|0.004273504273504274|0.03058929374718848|12.326917281106995|0.020145644858270872|0.000616241048296185|
esofaguectomía|1|1|42|233|0.023255813953488372|0.004273504273504274|0.027529318226992644|12.148580039848483|-0.032553311048370365|-0.0008961704591928633|
(':', '¿', 'tratar')|3|1|10|233|0.09090909090909091|0.004273504273504274|0.09518259518259518|14.115413175913282|0.5486492015718151|0.05222185485046414|
('uno', 'cohorte')|2|1|857|233|0.0011655011655011655|0.004273504273504274|0.00543900543900544|7.830010957051035|-1.3086977667329083|-0.007118014271274561|
('enfermedad', 'psiquiátrico', 'previo')|3|1|4|233|0.2|0.004273504273504274|0.2042735042735043|15.252916699663219|0.8847834134656279|0.18073780839169667|
('2', 'poder')|2|1|4|233|0.2|0.004273504273504274|0.2042735042735043|15.252916699663219|0.8847834134656279|0.18073780839169667|
('cirugía', 'bariátrica', 'del')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1025579908764058|0.37223111657793184|
cirujanos|1|1|37|233|0.02631578947368421|0.004273504273504274|0.03058929374718848|12.326917281106995|0.020145644858270872|0.000616241048296185|
('de', 'vida')|2|4|3735|230|0.0010698047606311847|0.017094017094017096|0.01816382185464828|5.706408038692412|-1.9362260147199437|-0.03516926440170866|
('justificar', 'su')|2|1|16|233|0.058823529411764705|0.004273504273504274|0.06309703368526898|13.487381953300241|0.36306491488599196|0.02290831916450075|
cognitivo-conductual|1|1|26|233|0.037037037037037035|0.004273504273504274|0.04131054131054131|12.819957292387112|0.16583980066836884|0.006850931936442587|
('comer', 'tratamiento')|2|2|631|232|0.00315955766192733|0.008547008547008548|0.011706566208935877|8.268783105122239|-1.1790398561299937|-0.013802508138760003|
('seen-seco-seedo-sed', 'sobrar', 'lo')|3|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1025579908764058|0.37223111657793184|
('más', 'de', '400')|3|1|5|233|0.16666666666666666|0.004273504273504274|0.17094017094017094|14.989882293829424|0.8070563024194766|0.13795834229392762|
('gastro', 'yeyuno', 'anastomosis')|3|1|8|233|0.1111111111111111|0.004273504273504274|0.11538461538461538|14.404919793108268|0.6341988957723873|0.07317679566604468|
('que', 'hacer', 'yo')|3|1|13|233|0.07142857142857142|0.004273504273504274|0.0757020757020757|13.767489872492977|0.4458372779576023|0.033750807366753774|
anestésico|1|3|818|231|0.0036540803897685747|0.01282051282051282|0.016474593210281396|7.893606382772775|-1.2899052110539966|-0.021250663631936763|
('de', 'lo', 'parámetro')|3|1|156|233|0.006369426751592357|0.004273504273504274|0.010642931025096631|10.280224045658953|-0.5846556619700011|-0.0062224498837789325|
('año', 'de')|2|4|3921|230|0.001019108280254777|0.017094017094017096|0.01811312537427187|5.636367855884228|-1.956923006999594|-0.03544599177358076|
('experiencia', 'tras')|2|1|38|233|0.02564102564102564|0.004273504273504274|0.029914529914529912|12.289442575688332|0.009071806132629777|0.0002713788159333694|
('anastomosis', 'con')|2|1|8|233|0.1111111111111111|0.004273504273504274|0.11538461538461538|14.404919793108268|0.6341988957723873|0.07317679566604468|
eficaz|1|1|332|233|0.003003003003003003|0.004273504273504274|0.007276507276507277|9.195466427479317|-0.9052033697086002|-0.006586718906403536|
('en', 'el', 'instituto')|3|1|911|233|0.0010964912280701754|0.004273504273504274|0.005369995501574449|7.741954780385838|-1.3347185156165355|-0.007167432424728922|
('durante', 'lo')|2|1|2187|233|0.0004570383912248629|0.004273504273504274|0.004730542664729137|6.479447771758024|-1.7077914683547615|-0.00807878040351262|
('análisis', 'constitucional', 'de')|3|1|1|233|0.5|0.004273504273504274|0.5042735042735043|16.57484479455058|1.2754153975234945|0.643158191913557|
('de', 'factor')|2|1|1382|233|0.0007230657989877079|0.004273504273504274|0.004996570072491982|7.141259353400086|-1.5122250285391814|-0.007555938320472207|
('de', 'uno', 'protocolar')|3|1|280|233|0.0035587188612099642|0.004273504273504274|0.007832223134714239|9.440418474329654|-0.8328196262733449|-0.0065228291439421585|
('esforzar', 'mediante')|2|1|36|233|0.02702702702702703|0.004273504273504274|0.0313005313005313|12.365391428921631|0.031514820499437275|0.0009864306254732619|
('más', 'de', 'uno')|3|1|34|233|0.02857142857142857|0.004273504273504274|0.032844932844932846|12.445561777605613|0.055205293899734706|0.0018132141708215672|
morbidos|1|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1025579908764058|0.37223111657793184|
('roux', '.')|2|1|11|233|0.08333333333333333|0.004273504273504274|0.0876068376068376|13.989882293829424|0.5115546139625474|0.04481568199244539|
plozo|1|2|1198|232|0.0016666666666666668|0.008547008547008548|0.010213675213675215|7.346026104054699|-1.451716107980904|-0.014827356829377612|
('pediatría', '.')|2|1|1346|233|0.0007423904974016332|0.004273504273504274|0.005015894770905907|7.179310659088277|-1.50098080346033|-0.0075287617633068155|
('endoscopia', 'digestivo')|2|1|156|233|0.006369426751592357|0.004273504273504274|0.010642931025096631|10.280224045658953|-0.5846556619700011|-0.0062224498837789325|
('recomendaciones', 'del')|2|1|104|233|0.009523809523809525|0.004273504273504274|0.013797313797313799|10.860599276884457|-0.41315380120428374|-0.005700412641768507|
gran|1|1|877|233|0.0011389521640091116|0.004273504273504274|0.005412456437513385|7.7967676650152224|-1.3185212156593575|-0.007136438641693464|
('d', 'productor')|2|1|1|233|0.5|0.004273504273504274|0.5042735042735043|16.57484479455058|1.2754153975234945|0.643158191913557|
('vertical', 'vs')|2|1|2|233|0.3333333333333333|0.004273504273504274|0.3376068376068376|15.989882293829424|1.1025579908764058|0.37223111657793184|
('opioides', ':')|2|1|8|233|0.1111111111111111|0.004273504273504274|0.11538461538461538|14.404919793108268|0.6341988957723873|0.07317679566604468|
('bariátrica', ':', 'resultar')|3|1|1|233|0.5|0.004273504273504274|0.5042735042735043|16.57484479455058|1.2754153975234945|0.643158191913557|
('lo', 'asociación')|2|2|670|232|0.002976190476190476|0.008547008547008548|0.011523199023199024|8.18252737177182|-1.204528570974133|-0.013880022452464445|
('en', '``', 'y')|3|1|11|233|0.08333333333333333|0.004273504273504274|0.0876068376068376|13.989882293829424|0.5115546139625474|0.04481568199244539|
('con', 'o')|2|1|167|233|0.005952380952380952|0.004273504273504274|0.010225885225885226|10.18252737177182|-0.6135251940602745|-0.006273838217649327|
