Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('lo', 'demencia')|2|1|262|356|0.0038022813688212928|0.0028011204481792717|0.0066034018170005645|9.535925805258278|-1.0556752170752488|-0.006971047646597163|
('asistencial', 'en')|2|2|286|355|0.006944444444444444|0.0056022408963585435|0.012546685340802988|9.404919793108268|-1.0940708880420795|-0.013726963172796867|
('psiquiátrico', '.')|2|3|217|354|0.013636363636363636|0.008403361344537815|0.02203972498090145|9.79348508102592|-0.9801889012601712|-0.021603093813106142|
('octubre', ',')|2|1|5|356|0.16666666666666666|0.0028011204481792717|0.16946778711484592|14.989882293829424|0.5427882073575381|0.0919851163729161|
('su', 'aspecto')|2|1|49|356|0.02|0.0028011204481792717|0.022801120448179273|11.930988604775855|-0.35372237013359104|-0.00806526636663146|
('varón', 'en', 'prisión')|3|1|2|356|0.3333333333333333|0.0028011204481792717|0.3361344537815126|15.989882293829424|0.8358714814508303|0.2809652038490186|
('servicio', 'médico', 'legal')|3|1|5|356|0.16666666666666666|0.0028011204481792717|0.16946778711484592|14.989882293829424|0.5427882073575381|0.0919851163729161|
('lo', 'articuloción', 'temporomandibulor')|3|1|31|356|0.03125|0.0028011204481792717|0.03405112044817927|12.57484479455058|-0.16501888998918243|-0.005619078099246495|
('médico-legal', ':', 'su')|3|1|1|356|0.5|0.0028011204481792717|0.5028011204481793|16.57484479455058|1.007314206383986|0.5064787116132367|
('9688', 'y', 'su')|3|1|10|356|0.09090909090909091|0.0028011204481792717|0.09371021135727019|14.115413175913282|0.2864959351852019|0.02684759463920405|
valorar|1|1|772|356|0.00129366106080207|0.0028011204481792717|0.004094781508981342|7.980520190625733|-1.5115385871548448|-0.006189420256793441|
('muerte', 'violento')|2|1|16|356|0.058823529411764705|0.0028011204481792717|0.061624649859943974|13.487381953300241|0.10243048822895856|0.006312242972092684|
(':', 'haplotipo')|2|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.3003974804772782|1.304040050450604|
(':', 'lección', 'en')|3|1|3|356|0.25|0.0028011204481792717|0.25280112044817926|15.57484479455058|0.7142309322906943|0.18055837994183518|
('de', 'lo', 'trasplontes')|3|1|23|356|0.041666666666666664|0.0028011204481792717|0.04446778711484593|12.989882293829424|-0.043378340829046444|-0.0019289388253812666|
('con', 'papel', 'reactivar')|3|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.3003974804772782|1.304040050450604|
('judicial', 'relativo', 'a')|3|1|2|356|0.3333333333333333|0.0028011204481792717|0.3361344537815126|15.989882293829424|0.8358714814508303|0.2809652038490186|
('entrevista', 'diagnóstica', 'internacional')|3|1|4|356|0.2|0.0028011204481792717|0.20280112044817927|15.252916699663219|0.6198791922184903|0.12571219472442213|
('a', 'lo', 'autonomía')|3|1|2|356|0.3333333333333333|0.0028011204481792717|0.3361344537815126|15.989882293829424|0.8358714814508303|0.2809652038490186|
('uso', 'forense')|2|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.3003974804772782|1.304040050450604|
('año', 'de')|2|3|3922|354|0.0007643312101910828|0.008403361344537815|0.009167692554728898|5.636367855884228|-2.19857042839432|-0.020155817747437733|
('comer', 'método', 'de')|3|1|229|356|0.004347826086956522|0.0028011204481792717|0.007148946535135793|9.729354743606205|-0.9989844305198491|-0.007141686283219479|
('obrar', 'de', 'lecha-marzo')|3|1|0|356|1.0|0.0028011204481792717|1.0028011204481793|17.57484479455058|1.3003974804772782|1.304040050450604|
eficaz|1|1|332|356|0.003003003003003003|0.0028011204481792717|0.005804123451182275|9.195466427479317|-1.155458166210472|-0.006706421839362267|
('de', 'lo', 'mortalidad')|3|4|1277|353|0.00312256049960968|0.011204481792717087|0.014327042292326767|7.251790034208933|-1.7251172073279977|-0.024715827188608867|
('tras', 'lo', 'reformar')|3|1|4|356|0.2|0.0028011204481792717|0.20280112044817927|15.252916699663219|0.6198791922184903|0.12571219472442213|
