Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('de', 'tratamiento', 'en')|3|1|150|515|0.006622516556291391|0.001937984496124031|0.00856050105241542|10.336440055225502|-0.6901081871918415|-0.005907671862736258|
('paciente', 'posmenopáusicas', 'con')|3|1|5|515|0.16666666666666666|0.001937984496124031|0.1686046511627907|14.989882293829424|0.7702668296620452|0.12987057011743786|
('de', 'consenso', 'de')|3|1|210|515|0.004739336492890996|0.001937984496124031|0.006677320989015027|9.853745605843395|-0.8415906551171668|-0.005619570945572764|
(':', 'ureterostomía', 'percutánea')|3|1|4|515|0.2|0.001937984496124031|0.20193798449612405|15.252916699663219|0.8528140828902107|0.1722155570487596|
('cerebral', '.')|2|2|1453|514|0.0013745704467353953|0.003875968992248062|0.0052505394389834575|7.068041356754934|-1.7158193832539097|-0.009008977341946925|
('resultado', 'quirúrgico', '.')|3|1|1|515|0.5|0.001937984496124031|0.501937984496124|16.57484479455058|1.2676705837049551|0.6362920177898903|
('lo', '6-alfa-metil-prednisolona')|2|1|2|515|0.3333333333333333|0.001937984496124031|0.33527131782945735|15.989882293829424|1.0840936576258566|0.3634655092427775|
('opinión', 'de', 'lo')|3|1|163|515|0.006097560975609756|0.001937984496124031|0.008035545471733787|10.217292789932497|-0.7274997955193081|-0.0058458576875724325|
('en', 'cincar', 'hospital')|3|1|8|515|0.1111111111111111|0.001937984496124031|0.11304909560723514|14.404919793108268|0.586689903582946|0.06632476300194803|
('univentricular', ':', 'resultar')|3|1|5|515|0.16666666666666666|0.001937984496124031|0.1686046511627907|14.989882293829424|0.7702668296620452|0.12987057011743786|
('intensiva', '.')|2|1|45|515|0.021739130434782608|0.001937984496124031|0.02367711493090664|12.051282838493567|-0.1519445160621911|-0.0035976077699254884|
('gimino', ')')|2|1|5|515|0.16666666666666666|0.001937984496124031|0.1686046511627907|14.989882293829424|0.7702668296620452|0.12987057011743786|
('terminal', 'en', 'lo')|3|1|33|515|0.029411764705882353|0.001937984496124031|0.03134974920200638|12.487381953300241|-0.015084914184586289|-0.00047290827642056875|
('interventricular', 'intacto', '.')|3|1|9|515|0.1|0.001937984496124031|0.10193798449612404|14.252916699663219|0.5389872549263993|0.05494327443629575|
('flujo', 'controlar')|2|1|1|515|0.5|0.001937984496124031|0.501937984496124|16.57484479455058|1.2676705837049551|0.6362920177898903|
(',', 'neurológico')|2|1|26|515|0.037037037037037035|0.001937984496124031|0.03897502153316107|12.819957292387112|0.08928614954003539|0.0034799296009359183|
(',', 'jalisco', ',')|3|1|44|515|0.022222222222222223|0.001937984496124031|0.024160206718346254|12.082991698220905|-0.14199342519561106|-0.0034305905053719984|
('con', 'encefalopatia', 'gravar')|3|1|2|515|0.3333333333333333|0.001937984496124031|0.33527131782945735|15.989882293829424|1.0840936576258566|0.3634655092427775|
('indicaciones', 'y', 'revisión')|3|1|4|515|0.2|0.001937984496124031|0.20193798449612405|15.252916699663219|0.8528140828902107|0.1722155570487596|
('curativo', 'o', 'sólo')|3|1|2|515|0.3333333333333333|0.001937984496124031|0.33527131782945735|15.989882293829424|1.0840936576258566|0.3634655092427775|
('paliativo', 'pediátrico', 'parir')|3|1|1|515|0.5|0.001937984496124031|0.501937984496124|16.57484479455058|1.2676705837049551|0.6362920177898903|
anestésico|1|2|819|514|0.00243605359317905|0.003875968992248062|0.006312022585427112|7.893606382772775|-1.4567349298608692|-0.009194943778262386|
('con', 'metástasis')|2|1|100|515|0.009900990099009901|0.001937984496124031|0.011838974595133932|10.916633311798785|-0.5080279778754544|-0.006014530323684768|
('en', 'neurooncología')|2|1|8|515|0.1111111111111111|0.001937984496124031|0.11304909560723514|14.404919793108268|0.586689903582946|0.06632476300194803|
('año', 'de')|2|2|3923|514|0.0005095541401273885|0.003875968992248062|0.0043855231323754506|5.636367855884228|-2.1651169367120082|-0.009495170410248386|
('basar', 'poblacionol')|2|1|4|515|0.2|0.001937984496124031|0.20193798449612405|15.252916699663219|0.8528140828902107|0.1722155570487596|
('experiencia', 'tras')|2|1|38|515|0.02564102564102564|0.001937984496124031|0.02757901013714967|12.289442575688332|-0.07720360118966295|-0.0021291988998341747|
('cáncer', 'en', 'euskadi')|3|1|4|515|0.2|0.001937984496124031|0.20193798449612405|15.252916699663219|0.8528140828902107|0.1722155570487596|
('primario', 'de', 'lo')|3|2|283|514|0.007017543859649123|0.003875968992248062|0.010893512851897186|9.420026685498476|-0.9777032881169018|-0.010650623334443606|
eficaz|1|1|332|515|0.003003003003003003|0.001937984496124031|0.004940987499127034|9.195466427479317|-1.0481763215777893|-0.005179026101796815|
('de', 'lo', 'mortalidad')|3|1|1280|515|0.00078064012490242|0.001937984496124031|0.002718624621026451|7.251790034208933|-1.6581541186659756|-0.0045078986124617365|
