Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('de', 'lo', 'arteritis')|3|1|64|1173|0.015384615384615385|0.0008517887563884157|0.016236404141003802|11.552476981522126|-0.6508492428160775|-0.010567451341228148|
('mediante', 'lo', 'técnico')|3|2|133|1172|0.014814814814814815|0.0017035775127768314|0.016518392327591648|10.498029197499749|-1.027887770740452|-0.016979053465824363|
('cementar', 'en', 'lo')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
osteomioplástico|1|1|7|1173|0.125|0.0008517887563884157|0.12585178875638842|14.57484479455058|0.42985776642362894|0.0540983688152395|
('piel', ')')|2|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
('en', 'lo', 'punta')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('opinión', 'de', 'lo')|3|1|163|1173|0.006097560975609756|0.0008517887563884157|0.006949349731998172|10.217292789932497|-1.1282705904948416|-0.007840746925676746|
audiocirugía|1|1|7|1173|0.125|0.0008517887563884157|0.12585178875638842|14.57484479455058|0.42985776642362894|0.0540983688152395|
('cardíaco', 'operatorio', ';')|3|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('debatir', '.')|2|1|43|1173|0.022727272727272728|0.0008517887563884157|0.023579061483661144|12.115413175913282|-0.44956034329472694|-0.010600210975162177|
('donante', 'irradiar')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('parir', 'cicatrizar', 'de')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('de', 'labio', 'inferior')|3|2|18|1172|0.1|0.0017035775127768314|0.10170357751277684|13.252916699663219|-0.042823603361132466|-0.004355313663815347|
('octogenario', '.')|2|1|68|1173|0.014492753623188406|0.0008517887563884157|0.015344542379576822|11.46632033777241|-0.6816562439995596|-0.0104597031243544|
('injerto', 'compuesto')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('vía', 'transvaginal')|2|1|8|1173|0.1111111111111111|0.0008517887563884157|0.11196289986749952|14.404919793108268|0.36909774267265966|0.041325253604179095|
('lo', 'estenosis')|2|3|634|1171|0.004709576138147566|0.002555366269165247|0.007264942407312814|8.25969523229428|-1.82824806930815|-0.013282116929804555|
('oncológico', 'de', 'lo')|3|1|19|1173|0.05|0.0008517887563884157|0.05085178875638842|13.252916699663219|-0.042823603361132466|-0.0021776568319076734|
('la', 'caverna', 'tuberculosa')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('incidencia', 'y', 'efecto')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('primario', ':', 'análisis')|3|1|36|1173|0.02702702702702703|0.0008517887563884157|0.027878815783415445|12.365391428921631|-0.36017570618369243|-0.01004127216235673|
seguridad|1|5|2182|1169|0.002286236854138089|0.004258943781942078|0.006545180636080167|6.480107289502487|-2.4645747119633583|-0.016131086680915428|
('alopecia', 'areata')|2|1|41|1173|0.023809523809523808|0.0008517887563884157|0.024661312565912225|12.18252737177182|-0.4255623435902727|-0.010494925971561847|
proyectar|1|1|439|1173|0.0022727272727272726|0.0008517887563884157|0.003124516029115688|8.79348508102592|-1.6373810184817803|-0.005116023238016093|
martorell|1|1|39|1173|0.025|0.0008517887563884157|0.025851788756388418|12.252916699663219|-0.4003932560622784|-0.010350881875204557|
('habitual', '.')|2|1|240|1173|0.004149377593360996|0.0008517887563884157|0.005001166349749411|9.661955458320618|-1.3268423672912821|-0.006635759398719009|
('con', 'metástasis')|2|1|100|1173|0.009900990099009901|0.0008517887563884157|0.010752778855398317|10.916633311798785|-0.8782076429712746|-0.009443172573990716|
('preservación', 'valvulor', 'en')|3|1|7|1173|0.125|0.0008517887563884157|0.12585178875638842|14.57484479455058|0.42985776642362894|0.0540983688152395|
('a', 'lobio')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('con', 'cáncer', 'mamario')|3|1|15|1173|0.0625|0.0008517887563884157|0.06335178875638842|13.57484479455058|0.07228811372248303|0.004579581310144528|
('lo', 'bloqueo', 'femoral')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('intervenir', 'de', 'fisura')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('ojo', ',')|2|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('peroné', 'parir', 'reconstrucción')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
eficaz|1|2|331|1172|0.006006006006006006|0.0017035775127768314|0.007709583518782837|9.195466427479317|-1.4936446880381|-0.011515378469816068|
('uno', 'índice', 'objetivar')|3|1|8|1173|0.1111111111111111|0.0008517887563884157|0.11196289986749952|14.404919793108268|0.36909774267265966|0.041325253604179095|
('de', 'coste-eficacia', 'del')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('parir', 'lo', 'corrección')|3|1|57|1173|0.017241379310344827|0.0008517887563884157|0.018093168066733244|11.716863799423008|-0.5920695054306127|-0.010712413068943705|
('pectus', 'carinatum')|2|1|10|1173|0.09090909090909091|0.0008517887563884157|0.09176087966547933|14.115413175913282|0.26557896210756493|0.02436975918363516|
('estudiar', 'de', '18')|3|1|13|1173|0.07142857142857142|0.0008517887563884157|0.07228036018495984|13.767489872492977|0.14117214733693084|0.01020397365759758|
('salud', 'en')|2|1|1598|1173|0.0006253908692933083|0.0008517887563884157|0.001477179625681724|6.931890571070248|-2.3030307208769902|-0.0034019900581985832|
('intertrocantéricas', 'con', 'hemiartroplostía')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
aloinjertos|1|1|9|1173|0.1|0.0008517887563884157|0.10085178875638842|14.252916699663219|0.3147460493400135|0.031742702079946845|
('de', 'rodilla', '?')|3|1|11|1173|0.08333333333333333|0.0008517887563884157|0.08418512208972175|13.989882293829424|0.22069292819757136|0.01857906110465074|
('acrälicas', 'en')|2|1|0|1173|1.0|0.0008517887563884157|1.0008517887563884|17.57484479455058|1.5025667245270662|1.5038465939687415|
voltaje|1|1|30|1173|0.03225806451612903|0.0008517887563884157|0.03310985327251745|12.620648484163706|-0.2689035295912667|-0.008903356409228893|
('campar', 'de', 'lo')|3|1|92|1173|0.010752688172043012|0.0008517887563884157|0.011604476928431428|11.03568598344255|-0.8356380205184702|-0.009697142129626695|
('autoinjerto', 'de')|2|2|20|1172|0.09090909090909091|0.0017035775127768314|0.09261266842186774|13.115413175913282|-0.09199069059358102|-0.008519503325841947|
('nuevas', 'técnico', 'en')|3|1|14|1173|0.06666666666666667|0.0008517887563884157|0.06751845542305508|13.667954198942061|0.10558121111395523|0.007128680296109754|
('injertar', 'óseo', 'triturar')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('prospectivo', 'y', 'aleatorizado')|3|2|32|1172|0.058823529411764705|0.0017035775127768314|0.06052710692454154|12.487381953300241|-0.3165555967488021|-0.019160194451976798|
('nacional', 'sobrar', 'diagnóstico')|3|1|27|1173|0.03571428571428571|0.0008517887563884157|0.03656607447067413|12.767489872492977|-0.2163975053642151|-0.007912807296415993|
('cutáneo', 'eficaz', 'y')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('lo', 'transfusión', 'en')|3|1|26|1173|0.037037037037037035|0.0008517887563884157|0.03788882579342545|12.819957292387112|-0.19763674825454386|-0.007488224324995494|
('spiegel', 'congénito', 'y')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('de', 'maxilar', 'y')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
('osteoarticulares', 'de', 'la')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
tendencias|1|1|437|1173|0.00228310502283105|0.0008517887563884157|0.0031348937792194656|8.800057734949407|-1.6350308369010345|-0.00512564799943305|
intraarticular|1|1|43|1173|0.022727272727272728|0.0008517887563884157|0.023579061483661144|12.115413175913282|-0.44956034329472694|-0.010600210975162177|
('capsulor', '?')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('plastias', 'mamario', ';')|3|3|3|1171|0.5|0.002555366269165247|0.5025553662691652|14.989882293829424|0.5782625808987173|0.29060896314330764|
('rotatorio', 'en')|2|1|7|1173|0.125|0.0008517887563884157|0.12585178875638842|14.57484479455058|0.42985776642362894|0.0540983688152395|
('los', 'trastornos')|2|1|25|1173|0.038461538461538464|0.0008517887563884157|0.03931332721792688|12.874405076409488|-0.178167873031316|-0.007004371892202176|
('domiciliar', '.')|2|1|141|1173|0.007042253521126761|0.0008517887563884157|0.007894042277515176|10.425097675045897|-1.0539658698952412|-0.008320051136011093|
('siete', 'hospital', 'de')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
(':', '¿', 'cambiar')|3|1|8|1173|0.1111111111111111|0.0008517887563884157|0.11196289986749952|14.404919793108268|0.36909774267265966|0.041325253604179095|
maxilar|1|2|267|1172|0.007434944237918215|0.0017035775127768314|0.009138521750695046|9.503382431993955|-1.3835432692426766|-0.012643540259001933|
('definición', 'de')|2|1|106|1173|0.009345794392523364|0.0008517887563884157|0.01019758314891178|10.833377808149434|-0.9079772844966321|-0.009259173855977533|
('de', 'antibiótico')|2|2|390|1172|0.00510204081632653|0.0017035775127768314|0.006805618329103362|8.960134950435371|-1.5777920825543517|-0.01073785071654606|
('hernia', 'inguinal', '.')|3|1|11|1173|0.08333333333333333|0.0008517887563884157|0.08418512208972175|13.989882293829424|0.22069292819757136|0.01857906110465074|
('del', 'manguito')|2|2|87|1172|0.02247191011235955|0.0017035775127768314|0.024175487625136383|11.099111363584182|-0.8129590293687885|-0.01965368095424803|
('nin', 'os', 'fisurados')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('de', '21', 'caso')|3|1|143|1173|0.006944444444444444|0.0008517887563884157|0.0077962332008328595|10.404919793108268|-1.0611808681319241|-0.008273213516218743|
('entrar', 'transplante')|2|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('pierna', ';')|2|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('el', 'polietileno', 'de')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('tasar', 'de', 'contractura')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('debemos', 'seguir')|2|1|11|1173|0.08333333333333333|0.0008517887563884157|0.08418512208972175|13.989882293829424|0.22069292819757136|0.01857906110465074|
('cutaneoaponeuróticos', 'y')|2|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
('defecto', 'nasal', 'extenso')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('radiocubital', 'distal', ':')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('después', 'de', 'cirugía')|3|2|107|1172|0.01834862385321101|0.0017035775127768314|0.020052201365987843|10.806660469773654|-0.9175305939007589|-0.018398508228352435|
('con', 'predepósito')|2|1|11|1173|0.08333333333333333|0.0008517887563884157|0.08418512208972175|13.989882293829424|0.22069292819757136|0.01857906110465074|
('monopolor', 'modulor', 'de')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('cáncer', '.')|2|3|1356|1171|0.002207505518763797|0.002555366269165247|0.004762871787929043|7.166515053783189|-2.219136126078138|-0.010569460848471712|
('pancreatoduodenectomia', 'proximal', 'mediante')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('basocelular', '.')|2|2|41|1172|0.046511627906976744|0.0017035775127768314|0.048215205419753576|12.148580039848483|-0.4377008792762312|-0.021103837806710248|
('lipólisis', 'láser', 'y')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('de', 'cataluña', '(')|3|1|39|1173|0.025|0.0008517887563884157|0.025851788756388418|12.252916699663219|-0.4003932560622784|-0.010350881875204557|
('cartílogo', 'costal')|2|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('superficie', 'y')|2|1|10|1173|0.09090909090909091|0.0008517887563884157|0.09176087966547933|14.115413175913282|0.26557896210756493|0.02436975918363516|
('bloquear', 'femoral', 'continuo')|3|3|23|1171|0.11538461538461539|0.002555366269165247|0.11793998165378064|12.874405076409488|-0.178167873031316|-0.02101311567660653|
intradural|1|2|94|1172|0.020833333333333332|0.0017035775127768314|0.022536910846110165|10.989882293829424|-0.8520160299058664|-0.019201809305445246|
('electivo', 'en')|2|1|34|1173|0.02857142857142857|0.0008517887563884157|0.029423217327816987|12.445561777605613|-0.3315092224478312|-0.009754067898258164|
('contribución', 'a')|2|3|198|1171|0.014925373134328358|0.002555366269165247|0.017480739403493605|9.923793103371652|-1.2332171714862978|-0.021557548002665457|
restitución|1|2|19|1172|0.09523809523809523|0.0017035775127768314|0.09694167275087207|13.18252737177182|-0.06799269088912675|-0.006591325189624926|
('hacer', 'ante', 'este')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
('requerir', 'uno', 'reconstrucción')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('seis', 'caso')|2|1|169|1173|0.0058823529411764705|0.0008517887563884157|0.006734141697564886|10.165453858412878|-1.1468066192347102|-0.007722758273631879|
('cráneo-máxilo-facial', '.')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('tentar', 'de', 'piel')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('quemadura', ']')|2|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('zona', 'rural')|2|1|178|1173|0.00558659217877095|0.0008517887563884157|0.006438380935159365|10.091029017286324|-1.17341868382867|-0.007554916482922304|
('casar', 'de', 'agenesia')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('(', 'anatomia', ',')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
60|1|2|550|1172|0.0036231884057971015|0.0017035775127768314|0.005326765918573933|8.46632033777241|-1.7543652021029974|-0.009345092767294316|
('lo', 'prótesis')|2|6|104|1168|0.05454545454545454|0.005110732538330494|0.059656187083785034|10.79348508102592|-0.9222417130794883|-0.05501742417194035|
('norepinefrina', 'usada')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('tabique', 'nasal', 'en')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('mediante', 'colgajo', 'libre')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('de', 'tres', 'año')|3|1|134|1173|0.007407407407407408|0.0008517887563884157|0.008259196163795824|10.498029197499749|-1.027887770740452|-0.008489526732912181|
('vitalio', ';', 'resultar')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
membrana|1|2|827|1172|0.0024125452352231603|0.0017035775127768314|0.004116122747999992|7.87961650305483|-1.9641526885213931|-0.008084693561768249|
('presentacion', 'de')|2|1|108|1173|0.009174311926605505|0.0008517887563884157|0.010026100682993921|10.806660469773654|-0.9175305939007589|-0.009199254114176218|
('linfangioplastica', 'cutáneo', 'pediculado')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
unilateral|1|2|219|1172|0.00904977375565611|0.0017035775127768314|0.01075335126843294|9.786942235159149|-1.282150888904893|-0.013787418887527852|
('de', 'membrana')|2|2|428|1172|0.004651162790697674|0.0017035775127768314|0.006354740303474505|8.82665194496112|-1.625521554463285|-0.010329767336314365|
('suspensión', 'al', 'frontal')|3|2|7|1172|0.2222222222222222|0.0017035775127768314|0.22392579973499904|14.404919793108268|0.36909774267265966|0.08265050720835819|
('de', '42')|2|1|98|1173|0.010101010101010102|0.0008517887563884157|0.010952798857398518|10.94548817447097|-0.8678900197468422|-0.00950582481663079|
('lesionar', 'condrales')|2|1|7|1173|0.125|0.0008517887563884157|0.12585178875638842|14.57484479455058|0.42985776642362894|0.0540983688152395|
('uno', 'adolescente')|2|1|15|1173|0.0625|0.0008517887563884157|0.06335178875638842|13.57484479455058|0.07228811372248303|0.004579581310144528|
('controlar', 'y')|2|1|68|1173|0.014492753623188406|0.0008517887563884157|0.015344542379576822|11.46632033777241|-0.6816562439995596|-0.0104597031243544|
rinoseptoplostia|1|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('la', 'caverna')|2|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('paciente', 'del', 'programar')|3|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('lo', 'rizartrosis')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('de', 'piel', 'con')|3|2|3|1172|0.4|0.0017035775127768314|0.40170357751277685|15.252916699663219|0.6723157020411594|0.2700716227279479|
('total', '.')|2|5|350|1169|0.014084507042253521|0.004258943781942078|0.018343450824195598|9.103169580158536|-1.5266472396800028|-0.028003978566964082|
('escafotrapeciotrapezoidea', 'aisloda')|2|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('esforzar', 'mediante', 'lo')|3|1|9|1173|0.1|0.0008517887563884157|0.10085178875638842|14.252916699663219|0.3147460493400135|0.031742702079946845|
uretroplastias|1|1|22|1173|0.043478260869565216|0.0008517887563884157|0.04433004962595363|13.051282838493567|-0.11492175307235608|-0.005094487016799134|
