Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('año', ',', 'someter')|3|1|7|292|0.125|0.0034129692832764505|0.12841296928327645|14.57484479455058|0.6460388552469762|0.08295976767463303|
('evidenciar', ',')|2|1|23|292|0.041666666666666664|0.0034129692832764505|0.04507963594994312|12.989882293829424|0.17651762876754432|0.007957350443588104|
('estenosis', 'anastomótico')|2|1|4|292|0.2|0.0034129692832764505|0.20341296928327646|15.252916699663219|0.8469074261973131|0.17227195427085276|
('de', 'consenso', 'de')|3|1|210|292|0.004739336492890996|0.0034129692832764505|0.008152305776167447|9.853745605843395|-0.7525155461374556|-0.00613473683343218|
('el', 'segundar', 'trimestre')|3|1|19|292|0.05|0.0034129692832764505|0.053412969283276455|13.252916699663219|0.2544376027588402|0.013590267860668429|
chirurgia|1|1|9|292|0.1|0.0034129692832764505|0.10341296928327645|14.252916699663219|0.5506725144780766|0.056946679824865946|
utility|1|1|7|292|0.125|0.0034129692832764505|0.12841296928327645|14.57484479455058|0.6460388552469762|0.08295976767463303|
('opinión', 'de', 'lo')|3|1|163|292|0.006097560975609756|0.0034129692832764505|0.009510530258886207|10.217292789932497|-0.6448201781530436|-0.006132581815864916|
('tributario', 'de')|2|1|15|292|0.0625|0.0034129692832764505|0.06591296928327645|13.57484479455058|0.34980394352773975|0.023056616584912877|
('coste', 'sanitario', '.')|3|1|7|292|0.125|0.0034129692832764505|0.12841296928327645|14.57484479455058|0.6460388552469762|0.08295976767463303|
('fístulo', 'rectouretral')|2|1|5|292|0.16666666666666666|0.0034129692832764505|0.1700796359499431|14.989882293829424|0.7689874522060172|0.13078910592127366|
('maxilofacial', 'en', 'lo')|3|1|12|292|0.07692307692307693|0.0034129692832764505|0.08033604620635337|13.874405076409488|0.43854415717880274|0.03523090367464259|
('cambios', 'funcional', 'en')|3|1|8|292|0.1111111111111111|0.0034129692832764505|0.11452408039438755|14.404919793108268|0.5957011374458218|0.0682221249558734|
('publicar', 'en', 'cirugía')|3|1|3|292|0.25|0.0034129692832764505|0.25341296928327645|15.57484479455058|0.9422737669662126|0.238784393164646|
('primario', ':', 'análisis')|3|1|36|292|0.02702702702702703|0.0034129692832764505|0.030439996310303478|12.365391428921631|-0.00847836746788539|-0.0002580814744398283|
('ortognático', 'pediátrico')|2|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
proyectar|1|1|439|292|0.0022727272727272726|0.0034129692832764505|0.005685696556003723|8.79348508102592|-1.0666017291061514|-0.00606437377780646|
anestésico|1|2|819|291|0.00243605359317905|0.006825938566552901|0.00926199215973195|7.893606382772775|-1.3331772158411934|-0.012347876920654402|
(':', 'qué', 'no')|3|1|10|292|0.09090909090909091|0.0034129692832764505|0.09432206019236736|14.115413175913282|0.5099391702589302|0.04809851311160868|
('año', 'de')|2|1|3924|292|0.00025477707006369424|0.0034129692832764505|0.003667746353340145|5.636367855884228|-2.001850071583281|-0.007342278299983287|
(',', 'nuevo', 'catedrático')|3|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
('y', 'fracasar', 'intestinal')|3|1|1|292|0.5|0.0034129692832764505|0.5034129692832765|16.57484479455058|1.2385086786854484|0.623481331420149|
('posthemorragia', 'subaracnoideo', '.')|3|1|14|292|0.06666666666666667|0.0034129692832764505|0.07007963594994311|13.667954198942061|0.3773861997178806|0.026447087488761598|
('de', 'uno', 'protocolar')|3|4|277|289|0.014234875444839857|0.013651877133105802|0.027886752577945657|9.440418474329654|-0.8749574724525939|-0.02439972255051019|
('la', 'realimentación')|2|1|3|292|0.25|0.0034129692832764505|0.25341296928327645|15.57484479455058|0.9422737669662126|0.238784393164646|
se|1|3|1799|290|0.001664816870144284|0.010238907849829351|0.011903724719973635|6.759461498737042|-1.6691505254403425|-0.019869108371041187|
('recto', 'tras', 'amputación')|3|1|0|292|1.0|0.0034129692832764505|1.0034129692832765|17.57484479455058|1.5347435904046849|1.5399816231364416|
('del', 'índice')|2|1|475|292|0.0021008403361344537|0.0034129692832764505|0.005513809619410904|8.680027031242636|-1.1002119644675394|-0.006066359313072087|
endoanal|1|1|14|292|0.06666666666666667|0.0034129692832764505|0.07007963594994311|13.667954198942061|0.3773861997178806|0.026447087488761598|
('del', 'primario')|2|1|5|292|0.16666666666666666|0.0034129692832764505|0.1700796359499431|14.989882293829424|0.7689874522060172|0.13078910592127366|
('lactante', 'en')|2|1|24|292|0.04|0.0034129692832764505|0.043412969283276454|12.930988604775855|0.1590712619899401|0.006905755810621291|
('anorrectal', 'en')|2|1|61|292|0.016129032258064516|0.0034129692832764505|0.019542001541340965|11.620648484163706|-0.22909722796177368|-0.004477018381945924|
('monasterio', 'de', 'guadalupe')|3|1|0|292|1.0|0.0034129692832764505|1.0034129692832765|17.57484479455058|1.5347435904046849|1.5399816231364416|
('uno', 'instituto')|2|1|31|292|0.03125|0.0034129692832764505|0.03466296928327645|12.57484479455058|0.05356903180850334|0.0018568617041130103|
('vida', 'específico', 'en')|3|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
(':', 'revisión')|2|3|1677|290|0.0017857142857142857|0.010238907849829351|0.012024622135543638|6.860599276884457|-1.6391899846593632|-0.019710640173896413|
('de', 'lo', 'preparación')|3|2|25|291|0.07407407407407407|0.006825938566552901|0.08090001264062698|12.819957292387112|0.12617991096638986|0.010207956392174125|
('mucoso', 'grapar', ':')|3|1|5|292|0.16666666666666666|0.0034129692832764505|0.1700796359499431|14.989882293829424|0.7689874522060172|0.13078910592127366|
maxilar|1|1|268|292|0.0037174721189591076|0.0034129692832764505|0.007130441402235559|9.503382431993955|-0.8563053500124158|-0.006105835120684341|
('de', 'fast-track', 'en')|3|1|8|292|0.1111111111111111|0.0034129692832764505|0.11452408039438755|14.404919793108268|0.5957011374458218|0.0682221249558734|
('(', 'dagger')|2|1|0|292|1.0|0.0034129692832764505|1.0034129692832765|17.57484479455058|1.5347435904046849|1.5399816231364416|
subperiosticas|1|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
('de', 'lo', 'aplicación')|3|1|243|292|0.004098360655737705|0.0034129692832764505|0.007511329939014155|9.644107456987694|-0.8146176846567084|-0.006118862203612326|
('tornar', 'a')|2|1|151|292|0.006578947368421052|0.0034129692832764505|0.009991916651697503|10.326917281106995|-0.6123455766876997|-0.006118505964299138|
('formación', 'en', 'cirugía')|3|1|17|292|0.05555555555555555|0.0034129692832764505|0.058968524838832005|13.404919793108268|0.2994662257265853|0.017659081570149417|
('de', 'seguridad')|2|1|358|292|0.002785515320334262|0.0034129692832764505|0.006198484603610712|9.08700476072753|-0.9796509527018868|-0.006072351347235212|
('proctología', ';', 'consideración')|3|1|1|292|0.5|0.0034129692832764505|0.5034129692832765|16.57484479455058|1.2385086786854484|0.623481331420149|
bogotá|1|1|565|292|0.0017667844522968198|0.0034129692832764505|0.00517975373557327|8.430186551718698|-1.174223436863205|-0.00608218823348987|
('que', 'justificar', '.')|3|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
orgánico|1|1|324|292|0.003076923076923077|0.0034129692832764505|0.006489892360199527|9.230548886634763|-0.9371281712359426|-0.006081860959031898|
('cáncer', '.')|2|1|1358|292|0.0007358351729212656|0.0034129692832764505|0.004148804456197716|7.166515053783189|-1.5485670514962457|-0.006424701883968582|
enteral|1|1|413|292|0.0024154589371980675|0.0034129692832764505|0.005828428220474518|8.881357837051254|-1.0405707509824607|-0.006064891930426536|
('qlq-c30', 'en', 'lo')|3|1|5|292|0.16666666666666666|0.0034129692832764505|0.1700796359499431|14.989882293829424|0.7689874522060172|0.13078910592127366|
('ano', ';')|2|1|6|292|0.14285714285714285|0.0034129692832764505|0.1462701121404193|14.767489872492977|0.7031070529043874|0.10284354747504446|
('lo', 'colitis')|2|1|291|292|0.003424657534246575|0.0034129692832764505|0.006837626817523026|9.385020235670563|-0.891368364791171|-0.006094844235387758|
('traumatología', '.')|2|1|101|292|0.00980392156862745|0.0034129692832764505|0.013216890851903902|10.902419452579085|-0.4418617417274363|-0.0058400384120436775|
('anestésico', 'en', 'niño')|3|1|7|292|0.125|0.0034129692832764505|0.12841296928327645|14.57484479455058|0.6460388552469762|0.08295976767463303|
('estudiar', 'estadístico', ')')|3|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
('del', 'metronidazol')|2|1|10|292|0.09090909090909091|0.0034129692832764505|0.09432206019236736|14.115413175913282|0.5099391702589302|0.04809851311160868|
('la', 'citología', 'del')|3|1|9|292|0.1|0.0034129692832764505|0.10341296928327645|14.252916699663219|0.5506725144780766|0.056946679824865946|
('lo', 'prótesis')|2|1|109|292|0.00909090909090909|0.0034129692832764505|0.012503878374185541|10.79348508102592|-0.4741319056676786|-0.005928487681789466|
('lo', 'enfermedad', 'hemorroidal')|3|1|23|292|0.041666666666666664|0.0034129692832764505|0.04507963594994312|12.989882293829424|0.17651762876754432|0.007957350443588104|
('virus', 'de', 'lo')|3|1|3914|292|0.0002554278416347382|0.0034129692832764505|0.003668397124911189|5.640048202372177|-2.0007598244663276|-0.007339581587710091|
('factor', 'de', 'impactar')|3|1|68|292|0.014492753623188406|0.0034129692832764505|0.017905722906464857|11.46632033777241|-0.2748146127837924|-0.004920754307154021|
('cirugía', 'monopuerto', 'en')|3|1|5|292|0.16666666666666666|0.0034129692832764505|0.1700796359499431|14.989882293829424|0.7689874522060172|0.13078910592127366|
('factibilidad', 'y', 'seguridad')|3|1|2|292|0.3333333333333333|0.0034129692832764505|0.33674630261660976|15.989882293829424|1.0652223639252536|0.3587096925163539|
('por', 'cáncer')|2|2|1094|291|0.0018248175182481751|0.006825938566552901|0.008650756084801077|7.476812711590053|-1.4566460522291433|-0.012601089699722729|
('anorrectal', 'agudo', 'en')|3|1|4|292|0.2|0.0034129692832764505|0.20341296928327646|15.252916699663219|0.8469074261973131|0.17227195427085276|
('uno', 'nuevo', 'closificación')|3|1|6|292|0.14285714285714285|0.0034129692832764505|0.1462701121404193|14.767489872492977|0.7031070529043874|0.10284354747504446|
('fecal', 'y', 'su')|3|1|11|292|0.08333333333333333|0.0034129692832764505|0.08674630261660977|13.989882293829424|0.4727525404867807|0.04100953493983735|
