Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('de', 'úlcera')|2|1|219|331|0.004545454545454545|0.0030120481927710845|0.00755750273822563|9.79348508102592|-0.884448860941617|-0.00668422468838681|
('mediante', 'lo', 'técnico')|3|1|134|331|0.007407407407407408|0.0030120481927710845|0.010419455600178491|10.498029197499749|-0.6700534830535473|-0.006981592516421387|
determinante|1|1|514|331|0.001941747572815534|0.0030120481927710845|0.004953795765586619|8.56641617248|-1.2578504637526404|-0.006231134301078995|
('necesario', 'el')|2|1|30|331|0.03225806451612903|0.0030120481927710845|0.03527011270890012|12.620648484163706|-0.024132591180300207|-0.0008511592108869972|
('protección', 'contra', 'lo')|3|1|3|331|0.25|0.0030120481927710845|0.25301204819277107|15.57484479455058|0.8748402616353163|0.2213451264378511|
('por', 'accidente')|2|2|109|330|0.018018018018018018|0.006024096385542169|0.02404211440356019|10.780428928200473|-0.58411820155252|-0.014043436626927515|
acumulativo|1|1|9|331|0.1|0.0030120481927710845|0.10301204819277109|14.252916699663219|0.47257265792201486|0.04868067741244852|
retención|1|2|179|330|0.011049723756906077|0.006024096385542169|0.017073820142448244|10.074998907467375|-0.7987831633800447|-0.013638280064366735|
('de', 'ocurrencia')|2|1|18|331|0.05263157894736842|0.0030120481927710845|0.055643627140139505|13.326917281106995|0.19078761334720976|0.010616114820049243|
adhesión|1|1|137|331|0.007246376811594203|0.0030120481927710845|0.010258425004365287|10.46632033777241|-0.6797026062307685|-0.0069726782112899685|
('mascarillo', 'loríngea', 'con')|3|1|1|331|0.5|0.0030120481927710845|0.5030120481927711|16.57484479455058|1.1791439565708393|0.5931236167088259|
('de', 'vida')|2|1|3738|331|0.0002674511901577962|0.0030120481927710845|0.003279499382928881|5.706408038692412|-2.1281615064098545|-0.006979304347044115|
('lo', 'composición')|2|2|218|330|0.00909090909090909|0.006024096385542169|0.01511500547645126|9.79348508102592|-0.884448860941617|-0.01336844937677362|
('lo', 'xvi')|2|1|4|331|0.2|0.0030120481927710845|0.2030120481927711|15.252916699663219|0.7768763528575383|0.15771525958613883|
('eficiente', 'lo', 'protección')|3|1|6|331|0.14285714285714285|0.0030120481927710845|0.14586919104991394|14.767489872492977|0.6291591757288059|0.09177494000519157|
('aéreo', '(')|2|1|20|331|0.047619047619047616|0.0030120481927710845|0.050631095811818704|13.18252737177182|0.14684923042511092|0.007435137455545633|
calzar|1|1|17|331|0.05555555555555555|0.0030120481927710845|0.05856760374832664|13.404919793108268|0.21452406596344967|0.012564160489827206|
povidona|1|1|28|331|0.034482758620689655|0.0030120481927710845|0.03749480681346074|12.716863799423008|0.005146084762491689|0.00019295145401531988|
('del', 'aprendizaje')|2|1|73|331|0.013513513513513514|0.0030120481927710845|0.016525561706284598|11.365391428921631|-0.4061119511843479|-0.0067112281089565795|
anestésico|1|2|819|330|0.00243605359317905|0.006024096385542169|0.008460149978721219|7.893606382772775|-1.4625889687493414|-0.01237372203284263|
('laríngeo', 'en', 'intervención')|3|1|3|331|0.25|0.0030120481927710845|0.25301204819277107|15.57484479455058|0.8748402616353163|0.2213451264378511|
('año', 'de')|2|2|3923|330|0.0005095541401273885|0.006024096385542169|0.006533650525669558|5.636367855884228|-2.149474992832344|-0.014043918416832613|
