Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
('factores', 'psicológicos', 'que')|1|1|1619|6|6|0.0006172839506172839|0.14285714285714285|0.14285714285714285|
('a', 'estrógenos', 'en')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
hemorragias|1|1|1619|672|29|0.0006172839506172839|0.0014858841010401188|0.03333333333333333|
('el', 'instituto', 'mexicano')|1|1|1619|131|29|0.0006172839506172839|0.007575757575757576|0.03333333333333333|
('pacientes', 'de', 'un')|1|1|1619|121|29|0.0006172839506172839|0.00819672131147541|0.03333333333333333|
corrected|1|1|1619|17|13|0.0006172839506172839|0.05555555555555555|0.07142857142857142|
('urología', 'ante')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('la', 'eclosión', 'asistida')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('antifosfolipídicos', 'y', 'fracaso')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('esmeraldas', ',')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
('ii', ')', '.')|13|13|1607|690|41|0.008024691358024692|0.01849217638691323|0.023809523809523808|
('condonazo', '.')|1|1|1619|2|3|0.0006172839506172839|0.3333333333333333|0.25|
('magnética', 'lumbosacra', 'solicitada')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
('apreciación', 'bioclimática', 'de')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
(None, 'a', 'treinta')|1|1|1619|0|1|0.0006172839506172839|1.0|0.5|
('adolescente', 'embarazada', 'en')|1|1|1619|4|5|0.0006172839506172839|0.2|0.16666666666666666|
servicio|27|27|1593|2941|47|0.016666666666666666|0.009097035040431268|0.020833333333333332|
('de', 'clomifeno', 'y')|3|3|1617|12|8|0.001851851851851852|0.2|0.1111111111111111|
('la', 'terminologia')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('nefrectomía', 'en')|1|1|1619|24|9|0.0006172839506172839|0.04|0.1|
('del', 'paciente')|3|3|1617|2127|49|0.001851851851851852|0.0014084507042253522|0.02|
('leishmaniasis', 'visceral', '(')|1|1|1619|6|5|0.0006172839506172839|0.14285714285714285|0.16666666666666666|
('reproductiva', 'en', 'adolescentes')|2|2|1618|9|6|0.0012345679012345679|0.18181818181818182|0.14285714285714285|
('en', 'imbabura')|1|1|1619|1|2|0.0006172839506172839|0.5|0.3333333333333333|
sala|2|2|1618|199|29|0.0012345679012345679|0.009950248756218905|0.03333333333333333|
gonadotropina|1|1|1619|83|19|0.0006172839506172839|0.011904761904761904|0.05|
(None, None, 'adolescentes')|2|2|1618|38|15|0.0012345679012345679|0.05|0.0625|
métodos|33|33|1587|1790|43|0.020370370370370372|0.018102029621503018|0.022727272727272728|
f.|2|2|1618|55|23|0.0012345679012345679|0.03508771929824561|0.041666666666666664|
intercepción|2|2|1618|2|3|0.0012345679012345679|0.5|0.25|
('de', 'actividad', 'luteotrópica')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
('familiar', 'necesita')|1|1|1619|3|4|0.0006172839506172839|0.25|0.2|
