Término|Nº occ esp|N(d,e)|N(d,e')|N(d',e)|Et|P(e,d)|P(d,e)|ICC
('cirugía', 'de', 'cáncer')|2|2|291|33|13|0.006825938566552901|0.05714285714285714|0.07142857142857142|
('de', 'un', 'protocolo')|5|5|288|415|44|0.017064846416382253|0.011904761904761904|0.022222222222222223|
('complejo', 'epitelial', ':')|2|2|291|5|4|0.006825938566552901|0.2857142857142857|0.2|
(None, 'una', 'experiencia')|1|1|292|104|29|0.0034129692832764505|0.009523809523809525|0.03333333333333333|
('en', 'méxico', '.')|4|4|289|2088|47|0.013651877133105802|0.0019120458891013384|0.020833333333333332|
('cirugäa', 'general', '.')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('rectosigmoidoscopia', '.')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
(None, 'patrones')|1|1|292|349|39|0.0034129692832764505|0.002857142857142857|0.025|
('resultados', 'preliminares', '.')|1|1|292|346|44|0.0034129692832764505|0.002881844380403458|0.022222222222222223|
('clínico', 'aleatorizado')|1|1|292|153|29|0.0034129692832764505|0.006493506493506494|0.03333333333333333|
(')', 'sacropexia')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('día', '.')|1|1|292|101|34|0.0034129692832764505|0.00980392156862745|0.02857142857142857|
('sanitarios', '.', None)|1|1|292|159|31|0.0034129692832764505|0.00625|0.03125|
('retos', ',')|1|1|292|7|5|0.0034129692832764505|0.125|0.16666666666666666|
servicio|5|5|288|2963|47|0.017064846416382253|0.0016846361185983828|0.020833333333333332|
('especialistas', 'sobre', 'la')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
eortc|1|1|292|32|13|0.0034129692832764505|0.030303030303030304|0.07142857142857142|
('resultados', 'postoperatorios')|1|1|292|20|11|0.0034129692832764505|0.047619047619047616|0.08333333333333333|
operatoria|1|1|292|215|30|0.0034129692832764505|0.004629629629629629|0.03225806451612903|
('alteraciones', 'hidroelectrolíticas')|1|1|292|15|12|0.0034129692832764505|0.0625|0.07692307692307693|
('del', 'paciente')|1|1|292|2129|49|0.0034129692832764505|0.00046948356807511736|0.02|
('grado', 'iii', '.')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('pediatrico', 'en', 'hospitales')|1|1|292|1|2|0.0034129692832764505|0.5|0.3333333333333333|
('avance', 'endorrectal', ':')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('gástrico', 'en', 'el')|1|1|292|119|15|0.0034129692832764505|0.008333333333333333|0.0625|
mexicanas|1|1|292|347|31|0.0034129692832764505|0.0028735632183908046|0.03125|
('abierta', '.')|1|1|292|108|25|0.0034129692832764505|0.009174311926605505|0.038461538461538464|
('fetal', 'en', 'el')|1|1|292|69|16|0.0034129692832764505|0.014285714285714285|0.058823529411764705|
('generalidades', '.')|1|1|292|64|26|0.0034129692832764505|0.015384615384615385|0.037037037037037035|
ortognatica|2|2|291|3|4|0.006825938566552901|0.4|0.2|
epitelial|2|2|291|141|26|0.006825938566552901|0.013986013986013986|0.037037037037037035|
hepática|1|1|292|2198|42|0.0034129692832764505|0.00045475216007276033|0.023255813953488372|
('de', 'origen')|7|7|286|1795|45|0.023890784982935155|0.00388457269700333|0.021739130434782608|
(')', 'tumores', 'malignos')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
(None, 'propuesta')|1|1|292|341|41|0.0034129692832764505|0.0029239766081871343|0.023809523809523808|
('pacientes', 'altamente')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('de', 'seguridad')|1|1|292|358|39|0.0034129692832764505|0.002785515320334262|0.025|
('enero', 'de', '2011')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
('de', 'colágeno')|1|1|292|26|13|0.0034129692832764505|0.037037037037037035|0.07142857142857142|
('cirugía', 'oncológica', 'en')|1|1|292|7|8|0.0034129692832764505|0.125|0.1111111111111111|
('americano', 'de', 'cirujanos')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
(None, None, 'lectura')|1|1|292|53|16|0.0034129692832764505|0.018518518518518517|0.058823529411764705|
('y', 'tratamiento', 'postoperatorios')|1|1|292|3|4|0.0034129692832764505|0.25|0.2|
('mayores', 'de', '65')|1|1|292|430|33|0.0034129692832764505|0.002320185614849188|0.029411764705882353|
('la', 'técnica', 'del')|1|1|292|89|24|0.0034129692832764505|0.011111111111111112|0.04|
('cirugiá', 'infantil')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
('crónica', '.', None)|1|1|292|3010|46|0.0034129692832764505|0.00033211557622052476|0.02127659574468085|
('de', 'cae', 'y')|1|1|292|6|7|0.0034129692832764505|0.14285714285714285|0.125|
('guante', '.')|1|1|292|7|6|0.0034129692832764505|0.125|0.14285714285714285|
(',', 'colombia')|1|1|292|1292|40|0.0034129692832764505|0.0007733952049497294|0.024390243902439025|
(':', 'seguridad', 'de')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
transesfinteriana|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('hídrico', '.')|1|1|292|7|5|0.0034129692832764505|0.125|0.16666666666666666|
objetivos|2|2|291|445|43|0.006825938566552901|0.0044742729306487695|0.022727272727272728|
('y', 'rectogenital', '.')|1|1|292|5|6|0.0034129692832764505|0.16666666666666666|0.14285714285714285|
('técnica', 'de')|2|2|291|1399|46|0.006825938566552901|0.0014275517487508922|0.02127659574468085|
('computarizado', 'de')|1|1|292|18|12|0.0034129692832764505|0.05263157894736842|0.07692307692307693|
('un', 'hospital')|4|4|289|4770|49|0.013651877133105802|0.0008378718056137411|0.02|
('de', 'alta')|3|3|290|1025|44|0.010238907849829351|0.0029182879377431907|0.022222222222222223|
congénitas|1|1|292|1466|40|0.0034129692832764505|0.0006816632583503749|0.024390243902439025|
('en', 'el', 'sistema')|1|1|292|314|42|0.0034129692832764505|0.0031746031746031746|0.023255813953488372|
(None, 'estabilidad', 'a')|1|1|292|5|5|0.0034129692832764505|0.16666666666666666|0.16666666666666666|
('en', 'la', 'red')|1|1|292|39|15|0.0034129692832764505|0.025|0.0625|
(None, 'enero-diciembre', ',')|1|1|292|2|3|0.0034129692832764505|0.3333333333333333|0.25|
('la', 'fisura', 'anal')|2|2|291|26|7|0.006825938566552901|0.07142857142857142|0.125|
('horas', 'y')|2|2|291|28|14|0.006825938566552901|0.06666666666666667|0.06666666666666667|
('recto', 'en')|2|2|291|78|11|0.006825938566552901|0.025|0.08333333333333333|
('origen', 'congénito', '.')|1|1|292|11|10|0.0034129692832764505|0.08333333333333333|0.09090909090909091|
uso|2|2|291|5867|51|0.006825938566552901|0.0003407735559720566|0.019230769230769232|
utilización|3|3|290|2210|47|0.010238907849829351|0.0013556258472661546|0.020833333333333332|
('inmediato', '.')|1|1|292|144|34|0.0034129692832764505|0.006896551724137931|0.02857142857142857|
('antiinflamatoria', 'en', 'proctologia')|1|1|292|4|5|0.0034129692832764505|0.2|0.16666666666666666|
terapia|3|3|290|2351|48|0.010238907849829351|0.001274426508071368|0.02040816326530612|
('cirugía', 'española', 'consigue')|1|1|292|0|1|0.0034129692832764505|1.0|0.5|
(None, 'evolución', 'del')|1|1|292|331|38|0.0034129692832764505|0.0030120481927710845|0.02564102564102564|
