Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.044.500_immunochemistry.csv H02.403.340_general_practice.csv -75.33542371065336 -75.9412488353785 -75.06196265259882 -68.00677029889798 -59.00964738822279
H02.403.044.500_immunochemistry.csv H02.403.429.515_medical_oncology.csv -72.71950813337544 -69.19087742540574 -65.83238063525197 -58.36600665961989 -50.218769408452566
H02.403.044.500_immunochemistry.csv H02.403.330_forensic_medicine.csv -69.7883175898286 -66.02100312152963 -63.0317120876707 -55.10134408388508 -47.41436419709013
H02.403.044.500_immunochemistry.csv H02.403.810.468_ophthalmology.csv -77.12069650514619 -73.4533922151928 -70.39139569206664 -62.85877677820096 -54.441732715312625
H02.403.044.500_immunochemistry.csv H02.403.810.788_surgery_plastic.csv -91.15919538239291 -89.35803970648904 -86.759565302552 -79.11771270559902 -70.64989471340661
H02.403.044.500_immunochemistry.csv H02.403.429.480_infectious_disease_medicine.csv -82.78764362045172 -82.1379294434863 -82.19557703466124 -75.66651547769672 -67.52000701366389
H02.403.044.500_immunochemistry.csv H02.403.600_neurology.csv -77.15085215805391 -73.39289168216003 -70.52266071417728 -62.961533627454976 -54.58253373145607
H02.403.044.500_immunochemistry.csv H02.403.763_reproductive_medicine.csv -92.12220108758314 -91.21901051495942 -89.12724956933445 -82.08013906856507 -73.61990089890449
H02.403.044.500_immunochemistry.csv H02.403.690_psychiatry.csv -77.56534945193654 -76.55744333231476 -75.27627367460427 -68.24830431632505 -59.77615512356713
H02.403.044.500_immunochemistry.csv H02.403.429.730_rheumatology.csv -75.83370429835138 -73.40017201936172 -71.22963804898208 -64.04741881902895 -55.731370871859674
H02.403.044.500_immunochemistry.csv H02.403.740_radiology.csv -78.07294984929997 -73.92871022494836 -70.34076764906479 -62.495895641436434 -54.16713075105045
H02.403.044.500_immunochemistry.csv H02.403.044.500_immunochemistry.csv -76.02024574543594 -74.70677863684914 -74.1016122669087 -67.73753212882923 -59.74701719570642
H02.403.044.500_immunochemistry.csv H02.403.429.580_nephrology.csv -76.4750214387826 -74.10020630255404 -71.34394748592595 -63.82201129217934 -55.41141058194236
H02.403.044.500_immunochemistry.csv H02.403.670.500_perinatology.csv -74.16488210609522 -71.26590222374556 -68.94245762694997 -61.55063140034644 -53.219868240248424
H02.403.044.500_immunochemistry.csv H02.403.830_sports_medicine.csv -94.1921502350743 -91.92600384875146 -90.20409489611612 -82.6570909372985 -73.95144853734601
H02.403.044.500_immunochemistry.csv H02.403.355_geriatrics.csv -73.93444880720959 -70.12372598619808 -66.6262683184017 -58.9136018672372 -50.55201975089557
H02.403.044.500_immunochemistry.csv H02.403.810.494_orthopedics.csv -92.39016795215431 -90.22082073678929 -87.88483135480921 -80.49841829715605 -72.14694250513669
H02.403.044.500_immunochemistry.csv H02.403.810.850_traumatology.csv -80.48665708178642 -76.07927962126728 -71.99906147347944 -64.01989592686242 -55.49651170335335
H02.403.044.500_immunochemistry.csv H02.403.670.400_neonatology.csv -74.70616121508468 -71.13586429200268 -68.42182387329493 -60.94299085642122 -52.670517695849426
H02.403.044.500_immunochemistry.csv H02.403.350_genetics_medical.csv -76.78331863538529 -74.25879380738792 -72.09313207527447 -64.80265684139346 -56.571729586661384
H02.403.044.500_immunochemistry.csv H02.403.810.425_neurosurgery.csv -86.65492339171693 -82.08547668604236 -79.78194745693173 -72.15202397816334 -63.748894841144065
H02.403.044.500_immunochemistry.csv H02.403.810.526_otolaryngology.csv -71.29188238496552 -67.01731737754893 -63.47413258602296 -56.04326612418761 -47.94537022102102
H02.403.044.500_immunochemistry.csv H02.403.720.500_epidemiology.csv -76.54035726990111 -75.38370575578914 -74.83325719155957 -68.13565319722063 -59.97288534564504
H02.403.044.500_immunochemistry.csv H02.403.650_pathology.csv -72.1397146705282 -68.1516722395288 -64.80484407790671 -57.374390118068725 -49.30137516984377
H02.403.044.500_immunochemistry.csv H02.403.066_anesthesiology.csv -93.33750933188888 -90.95477804710731 -88.59947866460365 -80.68612793958859 -71.93705461859206
H02.403.044.500_immunochemistry.csv H02.403.429.405_gastroenterology.csv -73.4460580860886 -69.80731839623569 -66.2202504911676 -58.64985479989364 -50.35946387407152
H02.403.044.500_immunochemistry.csv H02.403.763.750_gynecology.csv -73.64371214985839 -70.23934400487914 -67.16195063906638 -59.8444633997713 -51.67749699354273
H02.403.044.500_immunochemistry.csv H02.403.225_dermatology.csv -68.98001596523457 -65.00847283009564 -61.41337882731564 -53.89825728522613 -45.884471660496025
H02.403.044.500_immunochemistry.csv H02.403.720.750_preventive_medicine.csv -78.66288004717325 -76.16200413790708 -73.91493966216646 -66.64163802934789 -58.38188663488478
H02.403.044.500_immunochemistry.csv H02.403.429.675_pulmonary_medicine.csv -78.67039629330449 -76.01559661634008 -73.3033325982976 -65.72509134077418 -57.21770871931433
