Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.044_allergy_and_immunology.csv H02.403.340_general_practice.csv -67.30057568015572 -63.89677648696698 -59.72916133283234 -53.10048950153277 -46.058600286658006
H02.403.044_allergy_and_immunology.csv H02.403.429.515_medical_oncology.csv -64.6833596104285 -58.34059333996671 -52.880374465381 -46.096924446925875 -39.418927188291605
H02.403.044_allergy_and_immunology.csv H02.403.330_forensic_medicine.csv -60.63829810371449 -55.16942378226358 -50.57615225576393 -43.57009264550937 -37.21756824432905
H02.403.044_allergy_and_immunology.csv H02.403.810.468_ophthalmology.csv -67.43808984740467 -61.44257290108658 -56.44736104091749 -49.599825266554085 -42.67873784990183
H02.403.044_allergy_and_immunology.csv H02.403.810.788_surgery_plastic.csv -79.28405271272143 -73.99611371705072 -69.1126376676014 -62.251412873053994 -55.3363098042448
H02.403.044_allergy_and_immunology.csv H02.403.429.480_infectious_disease_medicine.csv -76.31000316278434 -71.245994690447 -66.71536067964466 -60.02467809615536 -53.07878770251772
H02.403.044_allergy_and_immunology.csv H02.403.600_neurology.csv -67.86724849337878 -61.58071674966759 -56.57169194311221 -49.7080627479485 -42.81173433843133
H02.403.044_allergy_and_immunology.csv H02.403.763_reproductive_medicine.csv -80.98271778311546 -76.22295862885925 -71.35420538313991 -64.58352030298839 -57.665102424969966
H02.403.044_allergy_and_immunology.csv H02.403.690_psychiatry.csv -68.7584578009617 -64.97272009230626 -60.72033461147078 -53.87875769845511 -46.842310811072636
H02.403.044_allergy_and_immunology.csv H02.403.429.730_rheumatology.csv -67.92248826911789 -62.35797675144023 -57.393702580020566 -50.595029300916934 -43.68178214399071
H02.403.044_allergy_and_immunology.csv H02.403.740_radiology.csv -68.00702158323314 -61.17362958516265 -56.026861631280234 -49.18808427317242 -42.42156232885766
H02.403.044_allergy_and_immunology.csv H02.403.044.500_immunochemistry.csv -70.46486916109318 -65.26939397096668 -60.75404871652377 -54.065176742504626 -47.16878030181967
H02.403.044_allergy_and_immunology.csv H02.403.429.580_nephrology.csv -68.54842627431609 -62.38518487248382 -57.15520795558267 -50.321128875247915 -43.44369760722013
H02.403.044_allergy_and_immunology.csv H02.403.670.500_perinatology.csv -66.03409790267614 -60.27382112783623 -55.353866752798446 -48.53744377347801 -41.734193592606964
H02.403.044_allergy_and_immunology.csv H02.403.830_sports_medicine.csv -81.02949985519278 -75.71824062789902 -71.66548749943348 -64.85108097497671 -57.81201474429139
H02.403.044_allergy_and_immunology.csv H02.403.355_geriatrics.csv -65.31970734919376 -58.70741840312087 -53.28937549675391 -46.43046346648858 -39.625585545529034
H02.403.044_allergy_and_immunology.csv H02.403.810.494_orthopedics.csv -80.04799626242223 -74.61074520271674 -70.00723777192813 -63.33304657642947 -56.52227504622308
H02.403.044_allergy_and_immunology.csv H02.403.810.850_traumatology.csv -69.3462498313094 -62.62792516025099 -57.24129944689293 -50.33595588081842 -43.46459251188696
H02.403.044_allergy_and_immunology.csv H02.403.670.400_neonatology.csv -66.12572305142824 -59.71205716047949 -54.78271521048816 -47.992911345753335 -41.26008989443588
H02.403.044_allergy_and_immunology.csv H02.403.350_genetics_medical.csv -67.80012348903931 -62.6959135219076 -57.89858148261308 -51.1005596724165 -44.310624936538865
H02.403.044_allergy_and_immunology.csv H02.403.810.425_neurosurgery.csv -75.29037430474426 -68.42603140730063 -63.726326435992526 -56.915627591248196 -50.01954756938387
H02.403.044_allergy_and_immunology.csv H02.403.810.526_otolaryngology.csv -62.53252940112367 -56.2733083473484 -50.968464537123744 -44.27202440317325 -37.63081483776924
H02.403.044_allergy_and_immunology.csv H02.403.720.500_epidemiology.csv -70.0559716855654 -65.2778485238428 -60.776651729489465 -54.06574959323569 -47.2053644853485
H02.403.044_allergy_and_immunology.csv H02.403.650_pathology.csv -63.92018090604812 -57.46308656362534 -52.10212500557459 -45.356726157316 -38.71923312903278
H02.403.044_allergy_and_immunology.csv H02.403.066_anesthesiology.csv -81.02889957665019 -75.01147772886583 -70.30338764487223 -63.318214375165724 -56.229575443626544
H02.403.044_allergy_and_immunology.csv H02.403.429.405_gastroenterology.csv -65.06660530147732 -58.51658890782419 -53.074588934244375 -46.28362130844712 -39.50781732478351
H02.403.044_allergy_and_immunology.csv H02.403.763.750_gynecology.csv -65.33223670070356 -59.2719881322518 -54.00526348563187 -47.30264694553051 -40.59618074668106
H02.403.044_allergy_and_immunology.csv H02.403.225_dermatology.csv -60.94885021595339 -54.81020542651581 -49.37542022485309 -42.619545414111904 -36.04166871638191
H02.403.044_allergy_and_immunology.csv H02.403.720.750_preventive_medicine.csv -70.109310034925 -64.32143655501372 -59.40935283785074 -52.642219232475675 -45.81989303712746
H02.403.044_allergy_and_immunology.csv H02.403.429.675_pulmonary_medicine.csv -69.954465508025 -63.80523977455553 -58.76856851319105 -51.928474990181954 -44.95996875927716
H02.403.044_allergy_and_immunology.csv H02.403.810.450_obstetrics.csv -67.6208576810976 -62.14307330403537 -57.28273166760303 -50.46093124618096 -43.59991243685938
H02.403.044_allergy_and_immunology.csv H02.403.429.445_hematology.csv -70.051239264101 -64.02002324204057 -58.90145036101349 -52.03170840562818 -45.09198601436793
H02.403.044_allergy_and_immunology.csv H02.403.645_palliative_medicine.csv -71.93899709248726 -66.17449232654873 -60.95215704158823 -54.24870348955824 -47.330046260687624
H02.403.044_allergy_and_immunology.csv H02.403.340.500_family_practice.csv -68.23587434842759 -64.36350036837422 -59.65710014218964 -52.78949924655499 -45.896369089253085
H02.403.044_allergy_and_immunology.csv H02.403.429_internal_medicine.csv -66.99564344017948 -61.730648773346566 -56.48764001670323 -49.71080170831674 -42.836385351245205
H02.403.044_allergy_and_immunology.csv H02.403.810_specialties_surgical.csv -79.56448379853995 -74.2357644827711 -68.42872748436233 -61.43220367756116 -54.28328422323458
H02.403.044_allergy_and_immunology.csv H02.403.670_pediatrics.csv -66.83954193807638 -61.04575521270746 -56.15554963890258 -49.354255996264946 -42.566804225593685
H02.403.044_allergy_and_immunology.csv H02.403.810.300_general_surgery.csv -71.8003231419167 -65.23841168940757 -60.20706274169144 -53.39488303381545 -46.53519899028804
H02.403.044_allergy_and_immunology.csv H02.403.909_venereology.csv -75.12533088160134 -70.6967063953324 -67.26079428264215 -60.706997227038265 -53.68852323516908
H02.403.044_allergy_and_immunology.csv H02.403.044_allergy_and_immunology.csv -66.33476133428638 -63.05843829069509 -60.22374019803038 -53.981180293528325 -47.79979923197652
H02.403.044_allergy_and_immunology.csv H02.403.500_military_medicine.csv -74.32379226002426 -76.54349815725273 -72.79824069630695 -65.45158553313041 -58.17918714056037
H02.403.044_allergy_and_immunology.csv H02.403.680.600_rehabilitation.csv -74.49413166075698 -69.01502209249675 -64.55816843773921 -57.78996984767106 -51.034724844906044
H02.403.044_allergy_and_immunology.csv H02.403.740.500_nuclear_medicine.csv -82.7278715449339 -78.75609918701485 -74.78646607156729 -67.9740703868725 -60.99614405079594
H02.403.044_allergy_and_immunology.csv H02.403.810.803_thoracic_surgery.csv -78.37356562895191 -71.22160491295972 -66.47809619109107 -59.61418100797491 -52.637408032935106
H02.403.044_allergy_and_immunology.csv H02.403.810.860_urology.csv -65.11507597762225 -58.647346621961304 -53.307031909878674 -46.534877547357695 -39.804002162313914
H02.403.044_allergy_and_immunology.csv H02.403.429.163_cardiology.csv -71.17817974737436 -64.5693518298597 -59.555094181248656 -52.654239394131466 -45.73161629586275
H02.403.044_allergy_and_immunology.csv H02.403.879_tropical_medicine.csv -68.30806801889688 -63.187103963162464 -58.101359387367054 -51.26070527479965 -44.21288447986826
H02.403.044_allergy_and_immunology.csv H02.403.680_physical_and_rehabilitation_medicine.csv -58.868698847667126 -52.43588645491801 -47.644760226597654 -40.78875979355757 -35.09722702501195
H02.403.044_allergy_and_immunology.csv H02.403.429.323_endocrinology.csv -66.37785954076254 -60.43612274930328 -55.18452873918706 -48.356697745049836 -41.57348058778124
H02.403.044_allergy_and_immunology.csv H02.403.074_bariatric_medicine.csv -85.50791915455409 -79.09179320736332 -74.1951189158374 -67.36315401590332 -60.318178874463015
