Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.066_anesthesiology.csv H02.403.340_general_practice.csv -72.43926362619786 -71.76051061568788 -68.80424489021688 -61.72638246911811 -53.4416165658133
H02.403.066_anesthesiology.csv H02.403.429.515_medical_oncology.csv -70.23174045268762 -65.00570977116085 -60.55061303452368 -53.22298373742844 -45.62435338368158
H02.403.066_anesthesiology.csv H02.403.330_forensic_medicine.csv -65.79649626372583 -61.98817573398981 -57.98110255470665 -50.303209182591516 -43.02044364034439
H02.403.066_anesthesiology.csv H02.403.810.468_ophthalmology.csv -73.20872556507176 -68.43948057228 -64.60799095864859 -57.22328932220036 -49.401318639715726
H02.403.066_anesthesiology.csv H02.403.810.788_surgery_plastic.csv -82.96345137073452 -80.71673670481417 -78.53998191955597 -71.72773189797931 -64.0197248038743
H02.403.066_anesthesiology.csv H02.403.429.480_infectious_disease_medicine.csv -83.10137508900686 -79.70868848097986 -76.593031131133 -69.39732115881148 -61.48750618738445
H02.403.066_anesthesiology.csv H02.403.600_neurology.csv -72.89277239665604 -68.29125354374598 -64.68583754509642 -57.354368593868365 -49.561529345101754
H02.403.066_anesthesiology.csv H02.403.763_reproductive_medicine.csv -88.38398501521701 -85.03921583856541 -81.54578355353033 -74.55946088514085 -66.756133599071
H02.403.066_anesthesiology.csv H02.403.690_psychiatry.csv -73.81626496754016 -71.42710158844923 -69.10277896888991 -62.03212634813217 -54.164142452848424
H02.403.066_anesthesiology.csv H02.403.429.730_rheumatology.csv -74.1118910985692 -69.43987293482337 -65.73127853857629 -58.42198225945445 -50.600603425881914
H02.403.066_anesthesiology.csv H02.403.740_radiology.csv -72.84927233248065 -68.13781092929825 -64.15081647115588 -56.78108301187128 -49.10719432863715
H02.403.066_anesthesiology.csv H02.403.044.500_immunochemistry.csv -77.76469440277633 -73.36318168987503 -69.70379274880796 -62.442151347706066 -54.61752354725233
H02.403.066_anesthesiology.csv H02.403.429.580_nephrology.csv -73.90075831884626 -69.30982448677304 -65.37646579976094 -58.114426762454826 -50.30293589216013
H02.403.066_anesthesiology.csv H02.403.670.500_perinatology.csv -70.86807685795887 -66.62476078874568 -63.216449544071054 -56.04396342502078 -48.31373324271401
H02.403.066_anesthesiology.csv H02.403.830_sports_medicine.csv -82.20302053502745 -80.24017738080677 -80.1351829693883 -74.16423530335167 -66.73601093528991
