Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.074_bariatric_medicine.csv H02.403.340_general_practice.csv -66.14243194277486 -60.44950440260263 -55.62123058168075 -49.23805847101956 -42.523080022760006
H02.403.074_bariatric_medicine.csv H02.403.429.515_medical_oncology.csv -62.14148369064603 -54.10333511899496 -48.94157177698719 -42.5395130944638 -36.367712973636976
H02.403.074_bariatric_medicine.csv H02.403.330_forensic_medicine.csv -58.75295652000035 -51.5617368833397 -46.8639480368974 -40.17983951068087 -34.32005304576407
H02.403.074_bariatric_medicine.csv H02.403.810.468_ophthalmology.csv -65.02303736982685 -57.20536923926095 -52.22435108527492 -45.77459938670277 -39.38714068381108
H02.403.074_bariatric_medicine.csv H02.403.810.788_surgery_plastic.csv -75.28531196023238 -68.2698726472749 -63.82302549555052 -57.43186333783925 -51.06276218677992
H02.403.074_bariatric_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -74.58461723149408 -66.6680176571359 -61.92436624117923 -55.44366516585712 -48.98398401469562
H02.403.074_bariatric_medicine.csv H02.403.600_neurology.csv -65.39336294023369 -57.300596512655645 -52.359921743191556 -45.87971900235721 -39.50969140752028
H02.403.074_bariatric_medicine.csv H02.403.763_reproductive_medicine.csv -78.42884098938922 -70.83766175882057 -65.98660849056967 -59.61939917796677 -53.22199242459758
H02.403.074_bariatric_medicine.csv H02.403.690_psychiatry.csv -66.67884009297542 -60.655137034630954 -56.258358274516354 -49.76068854923716 -43.24404569583516
H02.403.074_bariatric_medicine.csv H02.403.429.730_rheumatology.csv -65.87961482269615 -58.234915591623604 -53.165981155820965 -46.701798067737144 -40.31125606340692
H02.403.074_bariatric_medicine.csv H02.403.740_radiology.csv -65.36600596263838 -56.76511750050532 -51.833470472387695 -45.398035468218644 -39.15083719047245
H02.403.074_bariatric_medicine.csv H02.403.044.500_immunochemistry.csv -69.0689256067806 -61.098557701137246 -56.32904869890548 -49.91199269573073 -43.52599348863055
H02.403.074_bariatric_medicine.csv H02.403.429.580_nephrology.csv -66.25197215049799 -57.93309754376319 -52.86713795813114 -46.4313676783631 -40.085706998633064
H02.403.074_bariatric_medicine.csv H02.403.670.500_perinatology.csv -64.10867192236368 -56.20273090182328 -51.2769678067177 -44.815079313416824 -38.5072934032502
H02.403.074_bariatric_medicine.csv H02.403.830_sports_medicine.csv -77.77681778914217 -70.44003684830597 -66.20220162248373 -59.82004345414793 -53.32625444798228
H02.403.074_bariatric_medicine.csv H02.403.355_geriatrics.csv -62.70153906167183 -54.432090112868075 -49.27970857271818 -42.84382195233507 -36.56277564047642
H02.403.074_bariatric_medicine.csv H02.403.810.494_orthopedics.csv -76.23959204138096 -69.01674763882991 -64.76594898144849 -58.443616719500405 -52.12598246247903
H02.403.074_bariatric_medicine.csv H02.403.810.850_traumatology.csv -66.2917958380798 -58.02925137860165 -52.94654641402067 -46.45947771254439 -40.10649464335939
H02.403.074_bariatric_medicine.csv H02.403.670.400_neonatology.csv -64.14465323754126 -55.74355662751159 -50.739293981527176 -44.323182821572175 -38.07556259530526
H02.403.074_bariatric_medicine.csv H02.403.350_genetics_medical.csv -65.73089949253087 -58.519194541601976 -53.624456489969134 -47.17453650229676 -40.89737740173538
H02.403.074_bariatric_medicine.csv H02.403.810.425_neurosurgery.csv -71.70188684698176 -63.20933118618451 -58.87693006318489 -52.48478740776532 -46.12833613293967
H02.403.074_bariatric_medicine.csv H02.403.810.526_otolaryngology.csv -60.281912707950234 -52.2620007430608 -47.166139337387214 -40.849599756026755 -34.71859122819876
H02.403.074_bariatric_medicine.csv H02.403.720.500_epidemiology.csv -68.54884207768194 -60.96962461909711 -56.32169777573038 -49.90883684169758 -43.548456391985056
H02.403.074_bariatric_medicine.csv H02.403.650_pathology.csv -61.64109542329655 -53.35778185891891 -48.23382281198196 -41.85504173154398 -35.72025630332011
H02.403.074_bariatric_medicine.csv H02.403.066_anesthesiology.csv -76.41556063581326 -69.16588312815166 -64.87872698111578 -58.42630492215012 -51.9006480926615
H02.403.074_bariatric_medicine.csv H02.403.429.405_gastroenterology.csv -62.07335463032199 -54.27732433774972 -49.105127628235394 -42.71398158823003 -36.45288939491881
H02.403.074_bariatric_medicine.csv H02.403.763.750_gynecology.csv -63.07280231822215 -55.08991396993995 -50.01948438012488 -43.67185975029633 -37.46002457312136
H02.403.074_bariatric_medicine.csv H02.403.225_dermatology.csv -59.157156367786676 -51.058104451272115 -45.71670801104423 -39.33983821082083 -33.262319747579056
H02.403.074_bariatric_medicine.csv H02.403.720.750_preventive_medicine.csv -67.63104281684056 -59.79570393704937 -54.980097188349674 -48.5858143665567 -42.28148867884644
H02.403.074_bariatric_medicine.csv H02.403.429.675_pulmonary_medicine.csv -67.98748171350509 -59.347060626656834 -54.403413866942984 -47.91345293845754 -41.48391380910487
H02.403.074_bariatric_medicine.csv H02.403.810.450_obstetrics.csv -65.56744862361879 -57.88536487138829 -53.04842243155261 -46.58679711920266 -40.226901427295736
H02.403.074_bariatric_medicine.csv H02.403.429.445_hematology.csv -67.75784600399327 -59.552511468344555 -54.518878540845016 -48.02478276436118 -41.615338518269795
H02.403.074_bariatric_medicine.csv H02.403.645_palliative_medicine.csv -68.47615289551436 -61.116443541391554 -56.303690149427126 -50.021020243962134 -43.66705060591661
H02.403.074_bariatric_medicine.csv H02.403.340.500_family_practice.csv -66.77544311967182 -60.127535912863884 -55.22001408171256 -48.73527270396742 -42.36561855633327
H02.403.074_bariatric_medicine.csv H02.403.429_internal_medicine.csv -64.87680887319303 -57.40163966955541 -52.299072834498865 -45.87074462976786 -39.52172850828731
H02.403.074_bariatric_medicine.csv H02.403.810_specialties_surgical.csv -74.73330901917879 -68.07386689024165 -63.252841046651106 -56.77438351384918 -50.11666012055556
H02.403.074_bariatric_medicine.csv H02.403.670_pediatrics.csv -65.07919367094465 -57.09010151143563 -52.01128440568313 -45.573287283631444 -39.28714236379363
H02.403.074_bariatric_medicine.csv H02.403.810.300_general_surgery.csv -68.42649253919429 -60.35027151186148 -55.64204446592743 -49.26667648800487 -42.93663149257899
H02.403.074_bariatric_medicine.csv H02.403.909_venereology.csv -73.86239362346262 -66.48812466496503 -62.410995299322984 -56.03026604128472 -49.54917965147928
H02.403.074_bariatric_medicine.csv H02.403.044_allergy_and_immunology.csv -67.88345854756568 -60.365634419090206 -56.44152605473036 -50.03155159636475 -44.08640133925033
H02.403.074_bariatric_medicine.csv H02.403.500_military_medicine.csv -72.4190240029263 -70.48095320008986 -67.25407999274185 -60.42753476918526 -53.71336423927578
H02.403.074_bariatric_medicine.csv H02.403.680.600_rehabilitation.csv -71.59204686034549 -64.1922736702965 -59.790228733208664 -53.365505802625414 -47.10076971656727
H02.403.074_bariatric_medicine.csv H02.403.740.500_nuclear_medicine.csv -79.52579558423633 -73.24755724239571 -69.2032126634663 -62.76299174381697 -56.301598734979656
H02.403.074_bariatric_medicine.csv H02.403.810.803_thoracic_surgery.csv -74.54869932236106 -65.7859935487363 -61.407387913526975 -55.00695813596237 -48.5755099652919
H02.403.074_bariatric_medicine.csv H02.403.810.860_urology.csv -62.74676330427874 -54.391645772324544 -49.30559905571176 -42.92966922601467 -36.719282277478484
H02.403.074_bariatric_medicine.csv H02.403.429.163_cardiology.csv -68.37575078878433 -59.921965522058336 -55.08060537472162 -48.59496235951217 -42.20362119737785
H02.403.074_bariatric_medicine.csv H02.403.879_tropical_medicine.csv -67.17004666366876 -59.28637315306062 -53.89891911905109 -47.360676360597175 -40.81124203610718
H02.403.074_bariatric_medicine.csv H02.403.680_physical_and_rehabilitation_medicine.csv -56.67949654734354 -48.9005535537995 -43.985892834079735 -37.65794999060968 -32.40317081825876
H02.403.074_bariatric_medicine.csv H02.403.429.323_endocrinology.csv -63.82464276794223 -56.109081837837145 -51.05121147872232 -44.62561550797085 -38.36147510381285
H02.403.074_bariatric_medicine.csv H02.403.074_bariatric_medicine.csv -72.95559497720963 -67.98532406823016 -66.69844132636626 -61.75780514341216 -55.57115250251943
H02.403.074_bariatric_medicine.csv H02.403.690.150_community_psychiatry.csv -83.45344720181859 -76.87103555343181 -72.77776229398683 -66.27970879623341 -59.72413956268254
