Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.225_dermatology.csv H02.403.340_general_practice.csv -73.16135563055289 -73.9085496477171 -74.4181076692904 -68.33265879264268 -59.948359928327235
H02.403.225_dermatology.csv H02.403.429.515_medical_oncology.csv -70.05901931855682 -67.81055748746537 -65.45665726313052 -58.66576947503021 -50.777209955800444
H02.403.225_dermatology.csv H02.403.330_forensic_medicine.csv -68.14869825279257 -66.07955488283046 -63.19393345484301 -55.46512013758561 -47.87997638773879
H02.403.225_dermatology.csv H02.403.810.468_ophthalmology.csv -74.3877353009136 -71.95142052616016 -70.14121030606393 -63.28916956924509 -55.10014426707403
H02.403.225_dermatology.csv H02.403.810.788_surgery_plastic.csv -87.02468012397455 -87.24977930526498 -86.26761660697922 -79.58481257875187 -71.48977804242986
H02.403.225_dermatology.csv H02.403.429.480_infectious_disease_medicine.csv -83.9319902545955 -83.20338987777484 -83.04627973512224 -76.68215819480702 -68.52086152499899
H02.403.225_dermatology.csv H02.403.600_neurology.csv -75.02143768296939 -72.30493312250124 -70.42347362343934 -63.469555441616755 -55.29228165433597
H02.403.225_dermatology.csv H02.403.763_reproductive_medicine.csv -90.87904158128009 -90.89129101644676 -89.21849679112883 -82.82180932215225 -74.62109044296903
H02.403.225_dermatology.csv H02.403.690_psychiatry.csv -75.4752901453108 -75.2315548218879 -74.91539827000867 -68.68295181526128 -60.50504480617345
H02.403.225_dermatology.csv H02.403.429.730_rheumatology.csv -73.13131117669984 -71.64780285031497 -70.77881440131793 -64.42858588784856 -56.406173049586805
H02.403.225_dermatology.csv H02.403.740_radiology.csv -75.02142281071714 -72.55675662777574 -70.14994088241937 -62.959798652858 -54.8045436272673
H02.403.225_dermatology.csv H02.403.044.500_immunochemistry.csv -76.84884421860389 -75.65435822501136 -74.98063293400605 -68.66469522687557 -60.729102024538115
H02.403.225_dermatology.csv H02.403.429.580_nephrology.csv -75.23552205048115 -73.43316870119311 -71.36197283083473 -64.37040172508779 -56.10563279180064
H02.403.225_dermatology.csv H02.403.670.500_perinatology.csv -72.6904888871565 -70.31072450491058 -68.67994604219521 -61.893728522227676 -53.84016139108745
H02.403.225_dermatology.csv H02.403.830_sports_medicine.csv -91.78250770024505 -91.11949706651103 -90.3193165401583 -83.45830748296159 -74.99380825072328
H02.403.225_dermatology.csv H02.403.355_geriatrics.csv -71.86003612110409 -69.09890524498594 -66.45065974192845 -59.33139637635339 -51.16281811603881
H02.403.225_dermatology.csv H02.403.810.494_orthopedics.csv -88.78519950883651 -88.34204645722242 -87.27703156456492 -80.79353828910291 -72.9559830991328
H02.403.225_dermatology.csv H02.403.810.850_traumatology.csv -77.96579768470377 -75.11133571930444 -71.96760619209282 -64.52467085492054 -56.19504840185417
H02.403.225_dermatology.csv H02.403.670.400_neonatology.csv -73.43954445036434 -70.46171182545238 -68.38356907998931 -61.39571166144745 -53.32986409409141
H02.403.225_dermatology.csv H02.403.350_genetics_medical.csv -74.50849456302606 -72.83639491037937 -71.81530130957762 -65.2732530592914 -57.301875589287846
H02.403.225_dermatology.csv H02.403.810.425_neurosurgery.csv -83.26808139030125 -80.3285979883164 -79.17425502337775 -72.41560919966108 -64.36374577110658
H02.403.225_dermatology.csv H02.403.810.526_otolaryngology.csv -68.88412461404896 -65.58083195106829 -62.97050930802894 -56.23422002693873 -48.42372245739201
H02.403.225_dermatology.csv H02.403.720.500_epidemiology.csv -76.06746000248643 -75.3378099912546 -74.99329979556396 -68.68104262045581 -60.67654668781734
H02.403.225_dermatology.csv H02.403.650_pathology.csv -69.41646441579036 -66.73918424790851 -64.35477076474449 -57.6210885213289 -49.825128742962214
H02.403.225_dermatology.csv H02.403.066_anesthesiology.csv -90.6855878668069 -89.9804169483273 -88.69247682641698 -81.55699120744771 -73.00234338015728
H02.403.225_dermatology.csv H02.403.429.405_gastroenterology.csv -71.46090358261142 -68.84799900163341 -66.08948840299512 -59.08988924650754 -50.98510882977254
H02.403.225_dermatology.csv H02.403.763.750_gynecology.csv -71.11500237111355 -68.74392446566803 -66.62888982327786 -60.06720596965128 -52.24073267971406
H02.403.225_dermatology.csv H02.403.225_dermatology.csv -64.53217687933633 -62.406833664531575 -60.55905549666784 -54.06013445347102 -46.396324897945874
H02.403.225_dermatology.csv H02.403.720.750_preventive_medicine.csv -77.1023478384807 -75.5052687036995 -73.94497567661026 -67.23336324721554 -59.14622562325836
H02.403.225_dermatology.csv H02.403.429.675_pulmonary_medicine.csv -77.04548180723387 -75.22380534312627 -73.28528452547705 -66.26792283811797 -57.949415854976316
H02.403.225_dermatology.csv H02.403.810.450_obstetrics.csv -74.26556969492759 -72.29384377784416 -70.92480728937909 -64.25206131042016 -56.19519078099747
H02.403.225_dermatology.csv H02.403.429.445_hematology.csv -77.27458494559983 -75.2247437744824 -73.43810762869919 -66.48701655034498 -58.24712752532608
H02.403.225_dermatology.csv H02.403.645_palliative_medicine.csv -77.46893155125248 -76.96772706668904 -75.63163609371912 -69.2518713025268 -61.160589038291164
H02.403.225_dermatology.csv H02.403.340.500_family_practice.csv -73.54218810781795 -73.15900133736302 -73.00554875530186 -67.1886497068404 -59.15963862376032
H02.403.225_dermatology.csv H02.403.429_internal_medicine.csv -72.68689506641667 -71.36406640190634 -69.62787461193197 -62.94659551882095 -54.95454996087417
H02.403.225_dermatology.csv H02.403.810_specialties_surgical.csv -86.1290270552388 -87.346344294236 -85.65060130239462 -78.98914208143256 -70.41491569902777
H02.403.225_dermatology.csv H02.403.670_pediatrics.csv -73.58559433968959 -71.74778620641537 -70.13551831747175 -63.21061864285902 -55.04998834351808
H02.403.225_dermatology.csv H02.403.810.300_general_surgery.csv -79.28343466260438 -77.19825733823453 -75.24862344097566 -68.31023603795362 -60.137996831954325
H02.403.225_dermatology.csv H02.403.909_venereology.csv -79.78165574659502 -78.85724574788576 -79.73753243908213 -74.57648191737204 -67.41285598540141
H02.403.225_dermatology.csv H02.403.044_allergy_and_immunology.csv -72.92863836054089 -72.05024367765186 -73.06158519249192 -67.56373849808915 -60.729111172573184
H02.403.225_dermatology.csv H02.403.500_military_medicine.csv -82.80895988913764 -92.67483611232738 -92.51051009176592 -85.19042276255965 -75.7242006306815
H02.403.225_dermatology.csv H02.403.680.600_rehabilitation.csv -82.74849587323848 -81.53586590709739 -80.5952891154442 -73.93763706767369 -65.9917221835609
H02.403.225_dermatology.csv H02.403.740.500_nuclear_medicine.csv -90.49463506650584 -91.86532539818495 -92.69098369286488 -86.831293877211 -78.87564152295526
H02.403.225_dermatology.csv H02.403.810.803_thoracic_surgery.csv -87.6620960732532 -85.54033593508797 -83.80759064562889 -76.63448473928716 -68.1880836808186
H02.403.225_dermatology.csv H02.403.810.860_urology.csv -71.66253332871126 -68.91475812744059 -66.26796440296023 -59.34266715906828 -51.29518261169028
H02.403.225_dermatology.csv H02.403.429.163_cardiology.csv -79.11129791729466 -76.60862575008832 -74.52395017466016 -67.41460351456216 -59.135002191726684
H02.403.225_dermatology.csv H02.403.879_tropical_medicine.csv -74.74500014077132 -73.1832839118321 -71.91659859748394 -65.45620218505702 -57.110163844335375
H02.403.225_dermatology.csv H02.403.680_physical_and_rehabilitation_medicine.csv -64.96209785906002 -61.72056352330739 -59.12416578688556 -52.129447193140784 -45.46110380899829
H02.403.225_dermatology.csv H02.403.429.323_endocrinology.csv -72.64260223671451 -70.56967944603139 -68.62858478680198 -61.77709078990249 -53.694700894447124
H02.403.225_dermatology.csv H02.403.074_bariatric_medicine.csv -94.00365830006064 -94.62743774120094 -93.90435136747561 -86.73474058405348 -78.16168072194739
H02.403.225_dermatology.csv H02.403.690.150_community_psychiatry.csv -94.68082312136623 -96.67160840825116 -98.30284147979205 -92.18131554293679 -83.86144800406073
