Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.330_forensic_medicine.csv H02.403.340_general_practice.csv -68.18216251561608 -64.76708842105069 -60.227130755706085 -53.43222472938376 -46.14588085978174
H02.403.330_forensic_medicine.csv H02.403.429.515_medical_oncology.csv -65.08879027801112 -58.88382127504886 -53.157532262988504 -46.24594874835315 -39.49331059630418
H02.403.330_forensic_medicine.csv H02.403.330_forensic_medicine.csv -59.001597257891795 -54.89843634988672 -50.63027035719887 -43.65296890989479 -37.288238123806735
H02.403.330_forensic_medicine.csv H02.403.810.468_ophthalmology.csv -67.97689607723018 -62.26857905133366 -56.793505129373116 -49.74167831777865 -42.76368519990214
H02.403.330_forensic_medicine.csv H02.403.810.788_surgery_plastic.csv -79.67423328119614 -74.7370812530075 -69.5251579579357 -62.46841115643353 -55.44120755283727
H02.403.330_forensic_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -77.24966208641358 -72.23915416066782 -67.14792812399264 -60.230906668043936 -53.18098360092331
H02.403.330_forensic_medicine.csv H02.403.600_neurology.csv -68.16157503338522 -62.254392727424786 -56.86316318311008 -49.83966814561378 -42.893270212871016
H02.403.330_forensic_medicine.csv H02.403.763_reproductive_medicine.csv -82.20443377416613 -77.39108629705359 -71.88690592044608 -64.81415589278893 -57.787045607375795
H02.403.330_forensic_medicine.csv H02.403.690_psychiatry.csv -68.24459321807792 -65.52183209493967 -60.93328334126677 -53.98354173477652 -46.92021651994214
H02.403.330_forensic_medicine.csv H02.403.429.730_rheumatology.csv -68.84259402629122 -63.27587644433846 -57.760635348171846 -50.73714597116077 -43.76677329171778
H02.403.330_forensic_medicine.csv H02.403.740_radiology.csv -68.36905731673698 -61.81303733096665 -56.318900583300724 -49.326015492103366 -42.50199772509194
H02.403.330_forensic_medicine.csv H02.403.044.500_immunochemistry.csv -71.83999920178364 -66.38677995573225 -61.15098818358105 -54.22147488257347 -47.25553483440286
H02.403.330_forensic_medicine.csv H02.403.429.580_nephrology.csv -69.83350451712586 -63.14827944272358 -57.48124251389329 -50.46850726023695 -43.52838457177627
H02.403.330_forensic_medicine.csv H02.403.670.500_perinatology.csv -66.61513019441739 -60.97725924237878 -55.66617847934295 -48.72270905228634 -41.81557738316229
H02.403.330_forensic_medicine.csv H02.403.830_sports_medicine.csv -81.6685561271907 -76.82482718965518 -72.17467922762478 -65.06901121857491 -57.93237416981059
H02.403.330_forensic_medicine.csv H02.403.355_geriatrics.csv -65.70162080765631 -59.276424570724345 -53.573560821933974 -46.57007550804546 -39.703332484506355
H02.403.330_forensic_medicine.csv H02.403.810.494_orthopedics.csv -80.52341182947487 -75.6321589387599 -70.58501651462248 -63.63221820034378 -56.63422946163461
H02.403.330_forensic_medicine.csv H02.403.810.850_traumatology.csv -69.38660692280033 -63.19419204118727 -57.53037258672968 -50.49493146262984 -43.55045666737186
H02.403.330_forensic_medicine.csv H02.403.670.400_neonatology.csv -66.51663984464227 -60.44669234485741 -55.056295001110996 -48.15417978231511 -41.33937140668849
H02.403.330_forensic_medicine.csv H02.403.350_genetics_medical.csv -68.43156397164137 -63.49411218472288 -58.23040467002107 -51.237333148544984 -44.39670748933297
H02.403.330_forensic_medicine.csv H02.403.810.425_neurosurgery.csv -75.35475764876338 -69.12498109494003 -64.172322327504 -57.15137577473902 -50.12088967088538
H02.403.330_forensic_medicine.csv H02.403.810.526_otolaryngology.csv -62.97713380310617 -56.90310422211047 -51.26648957880617 -44.41695911809418 -37.70595536651547
H02.403.330_forensic_medicine.csv H02.403.720.500_epidemiology.csv -70.47615349238245 -66.00067394000533 -61.18685795451052 -54.27254977767637 -47.29176841816061
H02.403.330_forensic_medicine.csv H02.403.650_pathology.csv -64.33842998009376 -57.99821635400829 -52.376555727131745 -45.503959915340275 -38.79136937971417
H02.403.330_forensic_medicine.csv H02.403.066_anesthesiology.csv -81.34023283189833 -75.70407778821146 -70.60854176940953 -63.455525446281996 -56.33585685761674
