Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.340.500_family_practice.csv H02.403.340_general_practice.csv -72.90867705568678 -69.9931165612763 -69.47251601813237 -64.13630018435975 -56.32320316996457
H02.403.340.500_family_practice.csv H02.403.429.515_medical_oncology.csv -74.56618944721248 -68.11603671641666 -63.9669713942182 -56.44776709390304 -48.4521581087909
H02.403.340.500_family_practice.csv H02.403.330_forensic_medicine.csv -68.9190445708706 -63.976689253833854 -60.87091084968109 -53.2574570709355 -45.75382433680908
H02.403.340.500_family_practice.csv H02.403.810.468_ophthalmology.csv -77.98671643465106 -71.94039414943339 -68.34511620809101 -60.71843343246296 -52.460655463167235
H02.403.340.500_family_practice.csv H02.403.810.788_surgery_plastic.csv -90.56478452491339 -86.3608046360579 -83.77097321068203 -76.34489798788987 -68.0665296701594
H02.403.340.500_family_practice.csv H02.403.429.480_infectious_disease_medicine.csv -86.56271029268672 -82.05829487452851 -80.4992933273132 -73.45576917530055 -65.25335530530567
H02.403.340.500_family_practice.csv H02.403.600_neurology.csv -77.63764433704056 -71.64149751700744 -68.3943777151562 -60.845047280186904 -52.61713669871966
H02.403.340.500_family_practice.csv H02.403.763_reproductive_medicine.csv -93.74948788438796 -89.50218533749378 -86.53693276883406 -79.15825523716128 -70.89607658152954
H02.403.340.500_family_practice.csv H02.403.690_psychiatry.csv -75.73896607331378 -73.24771947014612 -72.31970109862863 -65.5316015334751 -57.39898903891943
H02.403.340.500_family_practice.csv H02.403.429.730_rheumatology.csv -77.63331740239046 -72.37129421709473 -69.4079517071715 -61.96923449650769 -53.727238100134755
H02.403.340.500_family_practice.csv H02.403.740_radiology.csv -78.36339164426704 -71.74888001802576 -67.87261651008164 -60.24772398841946 -52.14906367560715
H02.403.340.500_family_practice.csv H02.403.044.500_immunochemistry.csv -81.39254843123676 -75.95801500069753 -73.1850370417132 -65.97248625832158 -57.86550346322035
H02.403.340.500_family_practice.csv H02.403.429.580_nephrology.csv -77.92745017124278 -72.47328172739056 -69.11498944278446 -61.62476944968394 -53.40187903217736
H02.403.340.500_family_practice.csv H02.403.670.500_perinatology.csv -74.97224461366285 -69.59862583111584 -66.88463604192681 -59.4846430630164 -51.32707834877192
H02.403.340.500_family_practice.csv H02.403.830_sports_medicine.csv -92.7016208335469 -87.83444724797366 -86.75706913749028 -79.63714709806183 -71.1901014281125
H02.403.340.500_family_practice.csv H02.403.355_geriatrics.csv -74.88708367257641 -68.4553733478509 -64.45216350404404 -56.85782911526615 -48.72082862835687
H02.403.340.500_family_practice.csv H02.403.810.494_orthopedics.csv -91.29623532626803 -86.88232827404649 -84.75455546280826 -77.6555172741965 -69.54729654181683
H02.403.340.500_family_practice.csv H02.403.810.850_traumatology.csv -79.90484132013114 -73.48515711628605 -69.44715002999189 -61.71452669439509 -53.458725946714004
H02.403.340.500_family_practice.csv H02.403.670.400_neonatology.csv -75.81319938322359 -69.42343141524594 -66.1954563257166 -58.7777503489143 -50.73631288842521
H02.403.340.500_family_practice.csv H02.403.350_genetics_medical.csv -77.50047738435887 -72.71385970313217 -69.9989461971924 -62.61095295198304 -54.49766880383438
H02.403.340.500_family_practice.csv H02.403.810.425_neurosurgery.csv -86.09539574125 -79.57863412696096 -77.08578381486444 -69.74619482415001 -61.52696563564656
H02.403.340.500_family_practice.csv H02.403.810.526_otolaryngology.csv -72.23779852654228 -65.44110614785421 -61.43078720209673 -54.084179849063254 -46.194156119622605
H02.403.340.500_family_practice.csv H02.403.720.500_epidemiology.csv -78.77891489802008 -74.86978198405833 -73.0507239042275 -66.08597895881248 -57.96229431516114
H02.403.340.500_family_practice.csv H02.403.650_pathology.csv -73.61191677895033 -66.94515962790582 -62.951915368345816 -55.50495862264726 -47.57840568898713
H02.403.340.500_family_practice.csv H02.403.066_anesthesiology.csv -91.86010446010171 -87.4077956190163 -85.23732412648468 -77.65525309661355 -69.17537116525098
H02.403.340.500_family_practice.csv H02.403.429.405_gastroenterology.csv -74.72271520964367 -68.41034652438422 -64.24973601867939 -56.68252595874519 -48.56491260980775
