Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.340_general_practice.csv H02.403.340_general_practice.csv -62.4674746420408 -58.577345590504905 -55.37794990825801 -49.52406967432418 -42.921130283972445
H02.403.340_general_practice.csv H02.403.429.515_medical_oncology.csv -61.945383714064896 -55.00072337066336 -49.60939538217504 -43.14111599565905 -36.86552476456338
H02.403.340_general_practice.csv H02.403.330_forensic_medicine.csv -57.559846449273564 -52.3224604618024 -47.42531995670362 -40.76718642652684 -34.80656611759007
H02.403.340_general_practice.csv H02.403.810.468_ophthalmology.csv -64.72818036271467 -58.18956552444531 -52.972250617249486 -46.41055850753572 -39.91705312691663
H02.403.340_general_practice.csv H02.403.810.788_surgery_plastic.csv -75.58766160049778 -69.69569550972393 -64.88220684346939 -58.27601398040181 -51.75355476097436
H02.403.340_general_practice.csv H02.403.429.480_infectious_disease_medicine.csv -73.75679696018125 -67.72412352555259 -62.7689809181278 -56.19986198329462 -49.644048617224705
H02.403.340_general_practice.csv H02.403.600_neurology.csv -65.01431531737327 -58.217633922183985 -53.07166589857971 -46.508898708586706 -40.03912313279867
H02.403.340_general_practice.csv H02.403.763_reproductive_medicine.csv -78.66736628544872 -72.24221031847483 -67.06571649720851 -60.45928171726319 -53.93330692850557
H02.403.340_general_practice.csv H02.403.690_psychiatry.csv -65.70795113202634 -61.261658589411574 -56.86501352181211 -50.39164851484559 -43.80521525687304
H02.403.340_general_practice.csv H02.403.429.730_rheumatology.csv -65.28985876813606 -59.038619927545156 -53.84726619196138 -47.33135290273403 -40.8512703477668
H02.403.340_general_practice.csv H02.403.740_radiology.csv -64.99264019226764 -57.71138833208412 -52.53569924784414 -46.02744575577753 -39.67258186750205
H02.403.340_general_practice.csv H02.403.044.500_immunochemistry.csv -68.71313576884359 -62.115991484328006 -57.08290070996035 -50.592687692480794 -44.116634363755736
H02.403.340_general_practice.csv H02.403.429.580_nephrology.csv -66.2651582802774 -58.94197190097875 -53.61561570289442 -47.08179832381752 -40.629072197717306
H02.403.340_general_practice.csv H02.403.670.500_perinatology.csv -63.71290584621369 -57.04198625977756 -51.99899266405949 -45.445390038292615 -39.03165442281526
H02.403.340_general_practice.csv H02.403.830_sports_medicine.csv -77.30305138766009 -71.63543562156032 -67.25911244043714 -60.68968737605733 -54.06335319831564
