Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.350_genetics_medical.csv H02.403.340_general_practice.csv -71.64272039068686 -71.37680874506322 -71.83873755516726 -66.03568527493877 -57.89768844306488
H02.403.350_genetics_medical.csv H02.403.429.515_medical_oncology.csv -69.86134703661682 -66.53754233661701 -63.64489853555919 -56.80817430708884 -49.14308635901235
H02.403.350_genetics_medical.csv H02.403.330_forensic_medicine.csv -67.70004194752639 -64.7102249596211 -61.41757898758304 -53.84066071823642 -46.407022447593704
H02.403.350_genetics_medical.csv H02.403.810.468_ophthalmology.csv -73.49883424642265 -70.09468494421128 -68.02771457049623 -61.22021903645949 -53.287674897810334
H02.403.350_genetics_medical.csv H02.403.810.788_surgery_plastic.csv -88.25556772270453 -86.16920954124258 -83.87795397367702 -76.96956126996314 -69.10789340359119
H02.403.350_genetics_medical.csv H02.403.429.480_infectious_disease_medicine.csv -84.3700824477341 -82.12096379054972 -80.9396873625099 -74.34712029347526 -66.34283083399964
H02.403.350_genetics_medical.csv H02.403.600_neurology.csv -73.53075504826397 -70.11398497228592 -68.08367520070964 -61.3220872821769 -53.443941462675724
H02.403.350_genetics_medical.csv H02.403.763_reproductive_medicine.csv -89.3763865462605 -88.07591238989076 -86.15307202056384 -79.88836640347049 -72.1056084175534
H02.403.350_genetics_medical.csv H02.403.690_psychiatry.csv -73.5315490206542 -72.58032647157118 -72.15807748052985 -66.237722055349 -58.38589488919777
H02.403.350_genetics_medical.csv H02.403.429.730_rheumatology.csv -73.09352871073355 -70.5695657446977 -69.15415370363567 -62.53169870655565 -54.60144413747476
H02.403.350_genetics_medical.csv H02.403.740_radiology.csv -74.26366887074346 -70.76866057966363 -68.04178180053178 -60.90022358329971 -52.993765961633365
H02.403.350_genetics_medical.csv H02.403.044.500_immunochemistry.csv -77.06590014807654 -74.67825341410685 -73.0717431497496 -66.57160534824904 -58.790335088722095
H02.403.350_genetics_medical.csv H02.403.429.580_nephrology.csv -73.20264920022002 -71.25196017635763 -69.08095620800336 -62.22584994020025 -54.24861518229936
H02.403.350_genetics_medical.csv H02.403.670.500_perinatology.csv -70.73737686116115 -67.79436256683475 -66.09077989113901 -59.69215994632567 -52.036130520319965
H02.403.350_genetics_medical.csv H02.403.830_sports_medicine.csv -91.44164035704166 -89.04707099403856 -87.44385280689038 -80.60185151276558 -72.43742028839993
H02.403.350_genetics_medical.csv H02.403.355_geriatrics.csv -71.62035822815702 -67.8560316739937 -64.66431259782344 -57.466001899599505 -49.49473434624379
H02.403.350_genetics_medical.csv H02.403.810.494_orthopedics.csv -88.5964540601621 -86.51359054009616 -84.7000579808972 -78.1658455232343 -70.58959483251763
H02.403.350_genetics_medical.csv H02.403.810.850_traumatology.csv -77.59187814736633 -73.4211823006542 -69.79558434011324 -62.401844676726405 -54.330932084825115
H02.403.350_genetics_medical.csv H02.403.670.400_neonatology.csv -70.35450061975142 -67.30115918509323 -65.60840447876272 -59.14227436829798 -51.50856477189981
H02.403.350_genetics_medical.csv H02.403.350_genetics_medical.csv -69.77451558396022 -67.87241931313078 -67.94841051869992 -62.503684378855986 -55.20722192049493
H02.403.350_genetics_medical.csv H02.403.810.425_neurosurgery.csv -82.79694880288343 -78.64980772447988 -76.89167572146464 -70.1375396742618 -62.319211425108946
H02.403.350_genetics_medical.csv H02.403.810.526_otolaryngology.csv -68.80579468976634 -64.18390950519978 -61.066149137374644 -54.37592092204197 -46.82002664461234
H02.403.350_genetics_medical.csv H02.403.720.500_epidemiology.csv -75.75719294515656 -73.86338942185583 -72.9677392483077 -66.62938201667426 -58.79916872179614
H02.403.350_genetics_medical.csv H02.403.650_pathology.csv -69.11554126719778 -65.33331966776261 -62.49316601799866 -55.781864266665785 -48.224833165029736
H02.403.350_genetics_medical.csv H02.403.066_anesthesiology.csv -89.91270201522413 -87.67701281664856 -85.85132911189307 -78.75363969790041 -70.47942641808591
