Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.355_geriatrics.csv H02.403.340_general_practice.csv -74.5524154202732 -74.65430758697111 -78.19949998951805 -73.7042516372851 -64.93009710941193
H02.403.355_geriatrics.csv H02.403.429.515_medical_oncology.csv -71.17612871536545 -69.27077044381521 -69.52933731368896 -63.17767864801698 -54.9268147075387
H02.403.355_geriatrics.csv H02.403.330_forensic_medicine.csv -69.44875072031442 -67.42888427532934 -66.9852280402142 -59.56897902630249 -51.75224485735179
H02.403.355_geriatrics.csv H02.403.810.468_ophthalmology.csv -76.33018863016889 -74.47397623193783 -74.82124949759292 -68.27761300456004 -59.686605724361
H02.403.355_geriatrics.csv H02.403.810.788_surgery_plastic.csv -87.89028950503027 -88.56601926544396 -91.33693330471183 -85.66138310961398 -77.33568716203854
H02.403.355_geriatrics.csv H02.403.429.480_infectious_disease_medicine.csv -85.91457536251417 -85.14362001013058 -88.27514110575008 -82.70758122193173 -74.16715695118891
H02.403.355_geriatrics.csv H02.403.600_neurology.csv -75.87702280629894 -73.91334982785783 -74.78163526895462 -68.36489309544943 -59.82850107526424
H02.403.355_geriatrics.csv H02.403.763_reproductive_medicine.csv -95.22186899945109 -94.89929547409494 -95.55047011640187 -89.48092564433833 -80.82210231159671
H02.403.355_geriatrics.csv H02.403.690_psychiatry.csv -76.58623945419983 -76.89789567077312 -79.48133647379959 -74.0296379844352 -65.54711819245347
H02.403.355_geriatrics.csv H02.403.429.730_rheumatology.csv -75.50672854437411 -73.87808856389547 -75.51310234011493 -69.59175397942633 -61.14599200481738
H02.403.355_geriatrics.csv H02.403.740_radiology.csv -75.49978918518349 -74.19236531481832 -74.47322031994167 -67.84352329013845 -59.30949817335818
H02.403.355_geriatrics.csv H02.403.044.500_immunochemistry.csv -79.17854810639665 -78.04133418021796 -79.8044201015934 -73.98604022657146 -65.6577489944773
H02.403.355_geriatrics.csv H02.403.429.580_nephrology.csv -74.59211993282 -73.61307712556561 -75.23595851485082 -69.15017200508342 -60.68347995146263
H02.403.355_geriatrics.csv H02.403.670.500_perinatology.csv -75.28765904972097 -72.8472627337255 -73.48632465217483 -66.82885886461123 -58.27677528738025
H02.403.355_geriatrics.csv H02.403.830_sports_medicine.csv -91.6695218184291 -92.22559676503779 -95.53297031659291 -89.78448322643591 -81.12959463785181
H02.403.355_geriatrics.csv H02.403.355_geriatrics.csv -71.39398235000588 -69.50158576393233 -69.97520652425483 -63.66286784124578 -55.26886166190305
H02.403.355_geriatrics.csv H02.403.810.494_orthopedics.csv -88.87270962264141 -89.49540558155691 -92.39935032294788 -86.94186125898368 -78.87546081021233
H02.403.355_geriatrics.csv H02.403.810.850_traumatology.csv -77.61611381552628 -76.34437038660107 -76.45942696468356 -69.54059213278728 -60.817042257496105
H02.403.355_geriatrics.csv H02.403.670.400_neonatology.csv -76.55288845213845 -73.37759145585318 -73.293572484186 -66.42022929643115 -57.7948397732108
H02.403.355_geriatrics.csv H02.403.350_genetics_medical.csv -77.35629954640098 -75.52226975298511 -76.81500887929074 -70.53110115996557 -62.1032896615964
