Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.163_cardiology.csv H02.403.340_general_practice.csv -73.95747144427466 -73.8913941597808 -76.30384314960338 -71.4512117588015 -63.12332735493518
H02.403.429.163_cardiology.csv H02.403.429.515_medical_oncology.csv -73.62460445755089 -69.8357283986855 -68.13281699464818 -61.37007967662786 -53.2624322635035
H02.403.429.163_cardiology.csv H02.403.330_forensic_medicine.csv -69.78388657548345 -66.17745891111213 -65.32484048691887 -58.09844333565648 -50.248739235725395
H02.403.429.163_cardiology.csv H02.403.810.468_ophthalmology.csv -76.57531390155992 -73.12924556136268 -72.70870143691657 -66.19942564688802 -57.862496203723964
H02.403.429.163_cardiology.csv H02.403.810.788_surgery_plastic.csv -89.42622966977497 -88.48913274953632 -89.4043947332545 -83.25180767496755 -75.05133680476466
H02.403.429.163_cardiology.csv H02.403.429.480_infectious_disease_medicine.csv -87.9393517938279 -85.49998768186587 -86.77781852185754 -80.57582069447712 -72.15142379636461
H02.403.429.163_cardiology.csv H02.403.600_neurology.csv -75.7585589945062 -72.49429985556158 -72.5589113312345 -66.24697958800687 -58.01092756303096
H02.403.429.163_cardiology.csv H02.403.763_reproductive_medicine.csv -93.96467542938241 -92.61895639173578 -92.595503312374 -86.61598051187458 -78.4370725106436
H02.403.429.163_cardiology.csv H02.403.690_psychiatry.csv -77.04631000770712 -76.0010116961695 -77.40609888026306 -71.896103390804 -63.61830503015024
H02.403.429.163_cardiology.csv H02.403.429.730_rheumatology.csv -75.93858483159691 -72.89656204964524 -73.58848441457657 -67.47700174477644 -59.25875682451209
H02.403.429.163_cardiology.csv H02.403.740_radiology.csv -75.65559775877165 -72.82654219898573 -72.16101045974115 -65.68808380700025 -57.50005668887771
H02.403.429.163_cardiology.csv H02.403.044.500_immunochemistry.csv -81.37534351790187 -78.35503230845259 -78.28605936371126 -71.98986298080675 -63.78097104546975
H02.403.429.163_cardiology.csv H02.403.429.580_nephrology.csv -75.13237148341985 -72.91033960421507 -73.2823208994677 -67.11847437614004 -58.845898169973964
H02.403.429.163_cardiology.csv H02.403.670.500_perinatology.csv -72.96479495395292 -69.92408425535082 -70.39757437269374 -64.40822083349222 -56.387527804877585
H02.403.429.163_cardiology.csv H02.403.830_sports_medicine.csv -93.83846846785434 -92.04317490733254 -93.2821249362582 -87.17163148672955 -78.71759779481685
