Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.323_endocrinology.csv H02.403.340_general_practice.csv -72.4939181026865 -72.89717174292134 -73.64908697793182 -68.30679621588348 -59.913416313050774
H02.403.429.323_endocrinology.csv H02.403.429.515_medical_oncology.csv -70.73781699433079 -67.4319089490142 -65.33778530829213 -58.571364975585695 -50.73130298994967
H02.403.429.323_endocrinology.csv H02.403.330_forensic_medicine.csv -69.30149709077399 -65.96556492724658 -63.160870736080945 -55.210442267630675 -47.62314835659898
H02.403.429.323_endocrinology.csv H02.403.810.468_ophthalmology.csv -75.43770456326953 -71.87745677756264 -70.21267529424782 -63.29850493782694 -55.09866248668222
H02.403.429.323_endocrinology.csv H02.403.810.788_surgery_plastic.csv -89.62654522077175 -87.69340358766536 -86.31436533601465 -79.5131703925356 -71.43095822324122
H02.403.429.323_endocrinology.csv H02.403.429.480_infectious_disease_medicine.csv -86.91610041418188 -84.19484092544715 -83.64861683277726 -76.95446052626272 -68.66753687055285
H02.403.429.323_endocrinology.csv H02.403.600_neurology.csv -75.52435357350302 -71.83717330637609 -70.288870976123 -63.40101118925305 -55.250551730255566
H02.403.429.323_endocrinology.csv H02.403.763_reproductive_medicine.csv -90.11976587632705 -89.24076002836183 -88.17269755849743 -82.22312256327314 -74.40480960383785
H02.403.429.323_endocrinology.csv H02.403.690_psychiatry.csv -75.60855576425354 -74.20898986102124 -74.41799326535742 -68.43203412536148 -60.3815181670502
H02.403.429.323_endocrinology.csv H02.403.429.730_rheumatology.csv -76.03429638020475 -72.67820241239869 -71.50033489899853 -64.6307675749085 -56.456859566579155
H02.403.429.323_endocrinology.csv H02.403.740_radiology.csv -75.56917378103905 -72.08285081210755 -69.94325565738775 -62.873004646907376 -54.76432384372419
H02.403.429.323_endocrinology.csv H02.403.044.500_immunochemistry.csv -79.64174973914513 -76.66503572322941 -75.43125747270689 -68.8300135098644 -60.80385147506179
H02.403.429.323_endocrinology.csv H02.403.429.580_nephrology.csv -74.0279326243187 -71.85632303720901 -70.84407109680755 -64.15847164267286 -56.02929141613
H02.403.429.323_endocrinology.csv H02.403.670.500_perinatology.csv -72.25792661986414 -69.22780861452591 -68.23123491802286 -61.70778381726871 -53.75864920945718
H02.403.429.323_endocrinology.csv H02.403.830_sports_medicine.csv -93.0084817772743 -90.66292364895087 -89.89274437085504 -83.15325752860527 -74.81002953378334
