Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.405_gastroenterology.csv H02.403.340_general_practice.csv -72.37311468253507 -72.90996681516793 -74.16577766426559 -68.95160960091829 -60.65916875034134
H02.403.429.405_gastroenterology.csv H02.403.429.515_medical_oncology.csv -70.76654672230742 -67.45528063154849 -65.80257958927932 -59.161205333238534 -51.25810107382465
H02.403.429.405_gastroenterology.csv H02.403.330_forensic_medicine.csv -68.93596497996482 -64.99010655534691 -63.06179210120949 -55.77659500465018 -48.30879069486773
H02.403.429.405_gastroenterology.csv H02.403.810.468_ophthalmology.csv -76.83309701319436 -72.59039895374598 -70.96043065002532 -64.00895567913157 -55.730835052924675
H02.403.429.405_gastroenterology.csv H02.403.810.788_surgery_plastic.csv -88.6512449735489 -87.47361997448064 -86.79907576907661 -80.22310254960317 -72.16881057515994
H02.403.429.405_gastroenterology.csv H02.403.429.480_infectious_disease_medicine.csv -85.46188836521742 -83.29570526971506 -83.76691657401487 -77.53695829028041 -69.32995118600851
H02.403.429.405_gastroenterology.csv H02.403.600_neurology.csv -76.68636748675509 -72.54315504190626 -71.03800379167573 -64.12928834134058 -55.89114752539769
H02.403.429.405_gastroenterology.csv H02.403.763_reproductive_medicine.csv -93.04873321769072 -91.05318180684077 -89.97877512989871 -83.67357426230619 -75.46579514763893
H02.403.429.405_gastroenterology.csv H02.403.690_psychiatry.csv -76.85329229134688 -75.06368301762663 -75.34874685678864 -69.2944058510605 -61.13162584626563
H02.403.429.405_gastroenterology.csv H02.403.429.730_rheumatology.csv -76.19235204892527 -72.96826277170064 -72.07447961095593 -65.3213598151284 -57.0833347439385
H02.403.429.405_gastroenterology.csv H02.403.740_radiology.csv -74.94635123293548 -71.87784088997901 -70.35575353563503 -63.453576232026236 -55.362041141337194
H02.403.429.405_gastroenterology.csv H02.403.044.500_immunochemistry.csv -79.13829938927412 -76.3527751571259 -75.75301796518467 -69.37447246130415 -61.34471124627153
H02.403.429.405_gastroenterology.csv H02.403.429.580_nephrology.csv -75.81844885429742 -73.06792335727899 -71.71968991557722 -64.93144897841245 -56.66606043368322
H02.403.429.405_gastroenterology.csv H02.403.670.500_perinatology.csv -73.32188980209025 -69.87183654584739 -68.8605007272045 -62.33113612361375 -54.33483729529073
H02.403.429.405_gastroenterology.csv H02.403.830_sports_medicine.csv -92.0664903551178 -90.60527074363483 -90.7835700438513 -84.20805991170491 -75.72775571353138
H02.403.429.405_gastroenterology.csv H02.403.355_geriatrics.csv -72.03925412818455 -68.50755558866895 -66.7400577646069 -59.83883774891296 -51.6680648056386
H02.403.429.405_gastroenterology.csv H02.403.810.494_orthopedics.csv -90.26894584674082 -88.24700882337872 -87.68171010713557 -81.39717607335844 -73.61690582015889
H02.403.429.405_gastroenterology.csv H02.403.810.850_traumatology.csv -77.69459101781818 -74.2952555544548 -72.19598965134183 -65.05771263768149 -56.74407183465075
