Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.445_hematology.csv H02.403.340_general_practice.csv -71.94885966016311 -72.21742594109807 -72.42064923419308 -66.49473317165445 -58.0979907227636
H02.403.429.445_hematology.csv H02.403.429.515_medical_oncology.csv -70.29373548263847 -66.3683330051764 -63.59965647124797 -56.86976752731228 -49.20269171409389
H02.403.429.445_hematology.csv H02.403.330_forensic_medicine.csv -67.96810043026399 -64.28363342624556 -61.48516094889384 -53.997769695468534 -46.452228267661354
H02.403.429.445_hematology.csv H02.403.810.468_ophthalmology.csv -74.5432861962985 -70.62837246765191 -68.41291148425712 -61.47188757503122 -53.44962606223616
H02.403.429.445_hematology.csv H02.403.810.788_surgery_plastic.csv -87.8098042990559 -85.71679842595668 -83.9788956997981 -77.18943978689842 -69.30024064721877
H02.403.429.445_hematology.csv H02.403.429.480_infectious_disease_medicine.csv -82.81817453613239 -81.05800094053188 -80.70186055013563 -74.4235122041611 -66.45124156177629
H02.403.429.445_hematology.csv H02.403.600_neurology.csv -74.26459345634257 -70.41894992492186 -68.35566366840041 -61.52060020746581 -53.58206686397615
H02.403.429.445_hematology.csv H02.403.763_reproductive_medicine.csv -89.7474249783631 -88.42862531133153 -86.71659728191518 -80.3374456296946 -72.36966397106939
H02.403.429.445_hematology.csv H02.403.690_psychiatry.csv -74.899311846151 -73.33443870712377 -72.7684866031994 -66.62537136108686 -58.67665744197219
H02.403.429.445_hematology.csv H02.403.429.730_rheumatology.csv -72.99437429178393 -70.38403823540165 -69.26627764653551 -62.67261955884387 -54.731967503112465
H02.403.429.445_hematology.csv H02.403.740_radiology.csv -74.91979382843398 -71.01594522864745 -68.26669361151235 -61.13544177820934 -53.15827005365078
H02.403.429.445_hematology.csv H02.403.044.500_immunochemistry.csv -75.88583227823236 -73.60020169658965 -72.63122808370672 -66.46629646855817 -58.778020080235535
H02.403.429.445_hematology.csv H02.403.429.580_nephrology.csv -73.10274377778602 -70.55999505702039 -68.90658550735543 -62.294408122802274 -54.34637943022196
H02.403.429.445_hematology.csv H02.403.670.500_perinatology.csv -70.6237484251505 -67.72158868383949 -66.31780027535282 -59.888964521065795 -52.14018010866941
H02.403.429.445_hematology.csv H02.403.830_sports_medicine.csv -91.60119496938562 -88.86324311128779 -87.65309438520057 -80.83535524773569 -72.64538681882028
H02.403.429.445_hematology.csv H02.403.355_geriatrics.csv -71.32675628565858 -67.33572639762305 -64.53710920243073 -57.53352417215338 -49.587464352550576
H02.403.429.445_hematology.csv H02.403.810.494_orthopedics.csv -88.29830336052825 -86.10220944262853 -84.76838493084863 -78.34673628166003 -70.71582970751993
H02.403.429.445_hematology.csv H02.403.810.850_traumatology.csv -77.29763737971474 -73.16725505110936 -69.86982652182631 -62.55909162501954 -54.46131673598984
H02.403.429.445_hematology.csv H02.403.670.400_neonatology.csv -71.38325762542931 -67.89115678230563 -66.11008823066634 -59.47352923977345 -51.68712448907975
H02.403.429.445_hematology.csv H02.403.350_genetics_medical.csv -73.05132418504061 -70.4404313812206 -69.53324544929771 -63.2100915248289 -55.51956571150683
