Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.480_infectious_disease_medicine.csv H02.403.340_general_practice.csv -76.05578195947443 -75.90725138098244 -74.20130038140745 -67.09995935572927 -58.14904506128538
H02.403.429.480_infectious_disease_medicine.csv H02.403.429.515_medical_oncology.csv -74.51743543491328 -70.2282851118144 -65.80435707560925 -57.92049600940425 -49.64666333383251
H02.403.429.480_infectious_disease_medicine.csv H02.403.330_forensic_medicine.csv -68.57344710043742 -66.09631383321776 -62.81625660707902 -54.68907657959641 -46.89267522981869
H02.403.429.480_infectious_disease_medicine.csv H02.403.810.468_ophthalmology.csv -77.96004931993092 -74.09694181709064 -70.1989645168066 -62.24403983524317 -53.74532214720499
H02.403.429.480_infectious_disease_medicine.csv H02.403.810.788_surgery_plastic.csv -90.84139360144437 -89.12378494113456 -86.11278953138188 -78.30877845052014 -69.74305135979328
H02.403.429.480_infectious_disease_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -82.05436496958767 -81.76016621893712 -81.54681680494619 -74.90039867512012 -66.68338498738544
H02.403.429.480_infectious_disease_medicine.csv H02.403.600_neurology.csv -77.80572348887647 -73.89023869707869 -70.26560134088203 -62.378143828149675 -53.90858347927206
H02.403.429.480_infectious_disease_medicine.csv H02.403.763_reproductive_medicine.csv -93.09074946049657 -91.99688345752627 -88.87594323127841 -81.19755297861157 -72.67337421116062
H02.403.429.480_infectious_disease_medicine.csv H02.403.690_psychiatry.csv -77.50114328004564 -76.97930835074463 -74.925547982939 -67.42317200056921 -58.91765303339095
H02.403.429.480_infectious_disease_medicine.csv H02.403.429.730_rheumatology.csv -77.65441052078512 -74.80072380340806 -71.41461761883443 -63.56804845728643 -55.04839518624767
H02.403.429.480_infectious_disease_medicine.csv H02.403.740_radiology.csv -78.73837792020791 -74.14264253973931 -69.87999165820663 -61.82273455903948 -53.45490738991103
H02.403.429.480_infectious_disease_medicine.csv H02.403.044.500_immunochemistry.csv -79.1761625176908 -77.1633212547029 -74.73815250455547 -67.49591029333907 -59.21837776870718
H02.403.429.480_infectious_disease_medicine.csv H02.403.429.580_nephrology.csv -78.79683148864679 -75.11965370109756 -71.15975746557359 -63.236014851243304 -54.72429274851667
H02.403.429.480_infectious_disease_medicine.csv H02.403.670.500_perinatology.csv -74.899211217762 -71.85113939050629 -68.76311510604756 -61.043234464303794 -52.59483810653597
H02.403.429.480_infectious_disease_medicine.csv H02.403.830_sports_medicine.csv -92.95161304839003 -91.41565013624621 -89.53302966097203 -81.7605353656571 -72.96909541218784
H02.403.429.480_infectious_disease_medicine.csv H02.403.355_geriatrics.csv -74.92297383025453 -70.68179705963452 -66.36965906734773 -58.35948899825919 -49.92857413688765
H02.403.429.480_infectious_disease_medicine.csv H02.403.810.494_orthopedics.csv -91.89067306391516 -90.03846175241421 -87.34865421763173 -79.73889699561438 -71.28020245646522
H02.403.429.480_infectious_disease_medicine.csv H02.403.810.850_traumatology.csv -80.13181974344029 -75.87334533040531 -71.4392774494417 -63.32461022133252 -54.780242382096
H02.403.429.480_infectious_disease_medicine.csv H02.403.670.400_neonatology.csv -75.194252493264 -71.48731509566566 -68.0916154692761 -60.33429569396646 -51.995715341497046
H02.403.429.480_infectious_disease_medicine.csv H02.403.350_genetics_medical.csv -77.95068443758302 -75.2122811132111 -71.98636647509691 -64.21222680820136 -55.843884221711356
H02.403.429.480_infectious_disease_medicine.csv H02.403.810.425_neurosurgery.csv -86.65742171399363 -82.328986662105 -79.51169768989085 -71.64446475056761 -63.060028352509434
H02.403.429.480_infectious_disease_medicine.csv H02.403.810.526_otolaryngology.csv -71.91569607800511 -67.5148330328486 -63.27324093864281 -55.53482440085257 -47.35443597586994
H02.403.429.480_infectious_disease_medicine.csv H02.403.720.500_epidemiology.csv -76.68851892546476 -75.86485280479498 -74.6340303052786 -67.62517260752318 -59.32203204955984
