Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.515_medical_oncology.csv H02.403.340_general_practice.csv -73.53305377441863 -74.62569223595322 -76.5462721861385 -71.2503721150386 -62.93846577139022
H02.403.429.515_medical_oncology.csv H02.403.429.515_medical_oncology.csv -67.7080064082618 -65.64899229775253 -66.09438426173176 -60.51309039896821 -52.883148492919574
H02.403.429.515_medical_oncology.csv H02.403.330_forensic_medicine.csv -69.18401649902 -67.14080220181299 -65.15921638467671 -57.659491630413214 -50.090264311858355
H02.403.429.515_medical_oncology.csv H02.403.810.468_ophthalmology.csv -76.95005867330242 -73.55672983127138 -72.69764384195665 -66.03041474200622 -57.69866954419341
H02.403.429.515_medical_oncology.csv H02.403.810.788_surgery_plastic.csv -88.21960723666754 -88.18335793313526 -88.93153839754463 -82.79086461465236 -74.73156228546246
H02.403.429.515_medical_oncology.csv H02.403.429.480_infectious_disease_medicine.csv -87.37474908600795 -85.00621517861546 -86.07835601347011 -80.03194263407451 -71.73703724995751
H02.403.429.515_medical_oncology.csv H02.403.600_neurology.csv -76.70216055742875 -73.36087627587543 -72.68956033699018 -66.08752513788531 -57.82794141698671
H02.403.429.515_medical_oncology.csv H02.403.763_reproductive_medicine.csv -91.62188814744185 -91.70182484456878 -92.10752256428668 -86.3250879118844 -78.17804111002457
H02.403.429.515_medical_oncology.csv H02.403.690_psychiatry.csv -78.14814683304448 -76.6533546083525 -77.22692909037619 -71.48906241610905 -63.302129791026644
H02.403.429.515_medical_oncology.csv H02.403.429.730_rheumatology.csv -77.06206699093045 -74.15603529208231 -73.89042936801137 -67.40299708768794 -59.1097377473249
H02.403.429.515_medical_oncology.csv H02.403.740_radiology.csv -74.36708393049307 -72.27469480764243 -71.93090652259713 -65.44460510205906 -57.302391810859156
H02.403.429.515_medical_oncology.csv H02.403.044.500_immunochemistry.csv -78.78216065413844 -76.5180180278303 -77.23332751006049 -71.44010027348725 -63.460630597455385
H02.403.429.515_medical_oncology.csv H02.403.429.580_nephrology.csv -75.0671571927637 -73.08921980871531 -73.12910084067346 -66.83811494468533 -58.62192862730851
H02.403.429.515_medical_oncology.csv H02.403.670.500_perinatology.csv -73.66512717895175 -70.91004020375291 -70.61613467246912 -64.24883760236476 -56.19516276590919
H02.403.429.515_medical_oncology.csv H02.403.830_sports_medicine.csv -93.71177091154372 -93.33320206728318 -93.73815465882751 -87.13739943037919 -78.57103771612155
H02.403.429.515_medical_oncology.csv H02.403.355_geriatrics.csv -71.9889203213448 -68.99008188190078 -68.13569714052794 -61.626335249447486 -53.445792695725814
H02.403.429.515_medical_oncology.csv H02.403.810.494_orthopedics.csv -89.92033207984403 -89.41031586951235 -89.92937738694411 -83.99057467004208 -76.2651100678626
H02.403.429.515_medical_oncology.csv H02.403.810.850_traumatology.csv -78.635188723012 -75.95429857024116 -74.28384358642609 -67.18936453209018 -58.77062115260754
H02.403.429.515_medical_oncology.csv H02.403.670.400_neonatology.csv -75.24509927920161 -71.60131172943194 -70.61615562881802 -63.935500734081735 -55.786926826220004
H02.403.429.515_medical_oncology.csv H02.403.350_genetics_medical.csv -76.52309913173924 -73.87492241279777 -74.02612532361718 -67.90470593079422 -59.94752003994235
H02.403.429.515_medical_oncology.csv H02.403.810.425_neurosurgery.csv -83.3271684717252 -80.56245789449154 -81.15031307127639 -75.04303621045176 -67.09321512552417
H02.403.429.515_medical_oncology.csv H02.403.810.526_otolaryngology.csv -69.24040861702687 -65.52018243685305 -64.45937063858425 -58.29971688166216 -50.535726536632886
H02.403.429.515_medical_oncology.csv H02.403.720.500_epidemiology.csv -78.41961690712414 -76.3029255612678 -77.22472159449015 -71.38599905808786 -63.36162296414987
H02.403.429.515_medical_oncology.csv H02.403.650_pathology.csv -69.25616755075377 -66.20349566483765 -65.65324549614716 -59.63534897828994 -51.946756180529825
H02.403.429.515_medical_oncology.csv H02.403.066_anesthesiology.csv -91.24335710338768 -90.91118475934795 -91.81090020097837 -85.20973264330972 -76.54779023613393
H02.403.429.515_medical_oncology.csv H02.403.429.405_gastroenterology.csv -70.44310930340967 -68.13486885142378 -67.65396810005613 -61.37414228769876 -53.265200049296595
H02.403.429.515_medical_oncology.csv H02.403.763.750_gynecology.csv -70.27074641590822 -67.98206629374965 -67.86329962232875 -62.105189875660365 -54.416874398454766
H02.403.429.515_medical_oncology.csv H02.403.225_dermatology.csv -68.9275046399287 -64.8382104779273 -63.153719005558145 -56.49545552262279 -48.59321985674142
H02.403.429.515_medical_oncology.csv H02.403.720.750_preventive_medicine.csv -78.13754131701634 -75.99126261497767 -76.06006712419585 -69.9159941064185 -61.82698239358237
H02.403.429.515_medical_oncology.csv H02.403.429.675_pulmonary_medicine.csv -77.52983886255049 -75.49002650992661 -75.34558707966058 -68.90871001533196 -60.519604881496605
H02.403.429.515_medical_oncology.csv H02.403.810.450_obstetrics.csv -74.8076106659164 -72.63907091971589 -72.77519701775977 -66.63365471523217 -58.617653886114105
H02.403.429.515_medical_oncology.csv H02.403.429.445_hematology.csv -78.27743501886495 -75.45212533880326 -75.46441093948863 -69.13230552249208 -60.883655269697485
H02.403.429.515_medical_oncology.csv H02.403.645_palliative_medicine.csv -74.92748345542988 -74.59106081883031 -76.54670807040509 -71.67891428294936 -63.9163972576927
H02.403.429.515_medical_oncology.csv H02.403.340.500_family_practice.csv -76.02280007114335 -74.72617307615474 -75.70543329172035 -70.19394869548033 -61.93205028098332
H02.403.429.515_medical_oncology.csv H02.403.429_internal_medicine.csv -74.23287853139246 -72.24266884625477 -71.83248139532729 -65.51091789175297 -57.41142040321386
H02.403.429.515_medical_oncology.csv H02.403.810_specialties_surgical.csv -82.16183330508031 -84.24116936229805 -87.0322274454988 -81.90342393253938 -73.65470064278112
H02.403.429.515_medical_oncology.csv H02.403.670_pediatrics.csv -75.7357814395951 -72.94424773651112 -72.45821135774447 -65.84196556470968 -57.60821084275845
H02.403.429.515_medical_oncology.csv H02.403.810.300_general_surgery.csv -78.88844122216815 -77.00543452465615 -77.23041409599773 -70.97898431314879 -62.84784422485814
H02.403.429.515_medical_oncology.csv H02.403.909_venereology.csv -83.0832052383077 -80.482387895924 -82.51569211721655 -77.69944621802064 -70.49226824706358
H02.403.429.515_medical_oncology.csv H02.403.044_allergy_and_immunology.csv -75.50346444818989 -72.78112665386485 -74.12695916559177 -69.20406940907975 -62.720974091430676
H02.403.429.515_medical_oncology.csv H02.403.500_military_medicine.csv -84.2102301994923 -94.55346229412518 -96.357610292878 -89.43945463948572 -79.50117923346266
H02.403.429.515_medical_oncology.csv H02.403.680.600_rehabilitation.csv -84.55056209354852 -82.78689368559571 -83.23148371672788 -76.99499548116275 -69.04821670957011
H02.403.429.515_medical_oncology.csv H02.403.740.500_nuclear_medicine.csv -88.36592202037193 -89.38336217543326 -93.61607027763529 -89.60668307900993 -82.26831752544041
H02.403.429.515_medical_oncology.csv H02.403.810.803_thoracic_surgery.csv -87.99219591441133 -86.06046778363748 -86.41246018900256 -79.84330645293375 -71.37517753213014
H02.403.429.515_medical_oncology.csv H02.403.810.860_urology.csv -70.40101498578227 -68.00173385756398 -67.60064807119326 -61.44257458285741 -53.51320231547654
H02.403.429.515_medical_oncology.csv H02.403.429.163_cardiology.csv -80.55923971996265 -77.770313673061 -77.06270856069513 -70.2896973948832 -61.89134647913642
H02.403.429.515_medical_oncology.csv H02.403.879_tropical_medicine.csv -78.82505021244576 -75.61685273537188 -74.90000572790538 -68.46995897149455 -59.91267194542497
H02.403.429.515_medical_oncology.csv H02.403.680_physical_and_rehabilitation_medicine.csv -67.52238656784343 -63.863957359271375 -62.043883802732736 -54.90430846442485 -47.79979956808246
H02.403.429.515_medical_oncology.csv H02.403.429.323_endocrinology.csv -72.19202124384518 -69.95284110642591 -70.05407824035166 -63.96448412703382 -56.01049001021346
H02.403.429.515_medical_oncology.csv H02.403.074_bariatric_medicine.csv -93.77380814547124 -94.8398784931226 -96.63521436334923 -90.11845262556311 -81.77736301214898
H02.403.429.515_medical_oncology.csv H02.403.690.150_community_psychiatry.csv -97.76852145336329 -98.59320992240045 -101.6783106218666 -96.23540288862186 -87.8765763074861
