Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.580_nephrology.csv H02.403.340_general_practice.csv -72.56902640311081 -72.49482002677217 -72.44474784520794 -66.40234791672871 -57.975910566233615
H02.403.429.580_nephrology.csv H02.403.429.515_medical_oncology.csv -70.16375576169226 -66.38904587342114 -63.8602606988353 -56.98113351568684 -49.192167643824334
H02.403.429.580_nephrology.csv H02.403.330_forensic_medicine.csv -68.19060728743608 -64.44706014886032 -61.62983441462999 -54.033854064259195 -46.436862100017215
H02.403.429.580_nephrology.csv H02.403.810.468_ophthalmology.csv -74.79695665907255 -70.6757614853464 -68.52487759036623 -61.5288806375604 -53.405649372676685
H02.403.429.580_nephrology.csv H02.403.810.788_surgery_plastic.csv -88.22336224786144 -85.76806459485019 -84.06751803401129 -77.227997360699 -69.20773810256362
H02.403.429.580_nephrology.csv H02.403.429.480_infectious_disease_medicine.csv -84.47713170032397 -81.73877167305834 -81.13733055854442 -74.63075323482721 -66.47686938362365
H02.403.429.580_nephrology.csv H02.403.600_neurology.csv -74.78076220165367 -70.57722033214958 -68.56369580952688 -61.638962949115104 -53.55807947856785
H02.403.429.580_nephrology.csv H02.403.763_reproductive_medicine.csv -90.25996389472975 -88.06412475750379 -86.51384852806454 -80.07552347900405 -72.11130782287145
H02.403.429.580_nephrology.csv H02.403.690_psychiatry.csv -75.42917448801064 -73.50462699613225 -73.01952207352731 -66.68188108199264 -58.618868317630856
H02.403.429.580_nephrology.csv H02.403.429.730_rheumatology.csv -73.843294587701 -70.63798196170693 -69.41416082088224 -62.73518516415669 -54.69043574800119
H02.403.429.580_nephrology.csv H02.403.740_radiology.csv -74.05537965111625 -70.51747666815947 -68.08273256086248 -61.06182197879057 -53.07500314264566
H02.403.429.580_nephrology.csv H02.403.044.500_immunochemistry.csv -77.80504933424581 -74.64682719470306 -73.26802010041699 -66.75529409586272 -58.838887520449866
H02.403.429.580_nephrology.csv H02.403.429.580_nephrology.csv -68.73566812842938 -66.99747867798351 -67.34643236703134 -61.74499467177813 -54.132277212555195
H02.403.429.580_nephrology.csv H02.403.670.500_perinatology.csv -71.68592434803125 -68.13130598152802 -66.65640551970436 -60.01224892501751 -52.106612630093096
H02.403.429.580_nephrology.csv H02.403.830_sports_medicine.csv -91.34781743323994 -88.64502815797711 -87.48570811547309 -80.75243319805621 -72.49358443894015
H02.403.429.580_nephrology.csv H02.403.355_geriatrics.csv -71.0817682222535 -67.07784235870126 -64.53145943272762 -57.53075588678812 -49.52651441703621
H02.403.429.580_nephrology.csv H02.403.810.494_orthopedics.csv -88.60119268705573 -86.02226172125744 -84.8892544787325 -78.41738043674079 -70.63609611233616
H02.403.429.580_nephrology.csv H02.403.810.850_traumatology.csv -77.1602611740102 -72.79435344811507 -69.79100618106268 -62.52644967551778 -54.387162903994366
H02.403.429.580_nephrology.csv H02.403.670.400_neonatology.csv -72.49768534436862 -68.28897984562856 -66.31107085355931 -59.49630482687441 -51.61698336474556
H02.403.429.580_nephrology.csv H02.403.350_genetics_medical.csv -73.88888401148806 -70.95929008188783 -69.88234861301514 -63.359377473653744 -55.48430270595506
H02.403.429.580_nephrology.csv H02.403.810.425_neurosurgery.csv -82.97397217597492 -78.40708131535592 -77.04742497879917 -70.27791755878312 -62.32415870516238
H02.403.429.580_nephrology.csv H02.403.810.526_otolaryngology.csv -69.6206760225761 -64.37460328555692 -61.42479668679487 -54.6461039192022 -46.915220641923895
H02.403.429.580_nephrology.csv H02.403.720.500_epidemiology.csv -76.81308147984899 -74.1426590707503 -73.308669852489 -66.82226058864472 -58.839834805215254
H02.403.429.580_nephrology.csv H02.403.650_pathology.csv -69.67240345522069 -65.35849121865408 -62.79530465597995 -56.001278600179695 -48.28478143857547
H02.403.429.580_nephrology.csv H02.403.066_anesthesiology.csv -88.48902714770215 -86.6873780532848 -85.81619503327813 -78.94548772397734 -70.60166734338966
H02.403.429.580_nephrology.csv H02.403.429.405_gastroenterology.csv -70.95721474031033 -67.03909340408694 -64.34681887145533 -57.374527816018734 -49.38197311046232
H02.403.429.580_nephrology.csv H02.403.763.750_gynecology.csv -71.66459367945438 -67.53453365820793 -65.05903144458335 -58.38693389046164 -50.633381205176896
H02.403.429.580_nephrology.csv H02.403.225_dermatology.csv -68.08700136306184 -63.048161891581564 -59.89535357425821 -52.809798853523404 -45.045408320879645
H02.403.429.580_nephrology.csv H02.403.720.750_preventive_medicine.csv -76.4289962302462 -73.44617481465973 -71.89082573854257 -65.2323780158834 -57.28036763429544
H02.403.429.580_nephrology.csv H02.403.429.675_pulmonary_medicine.csv -76.3440903689853 -73.00694985721188 -71.16023516325701 -64.26887890520787 -56.09923174754876
H02.403.429.580_nephrology.csv H02.403.810.450_obstetrics.csv -73.49708457033401 -70.2533327539796 -68.94560384760639 -62.33550255619432 -54.39791380789315
