Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.675_pulmonary_medicine.csv H02.403.340_general_practice.csv -70.00674770369915 -68.69466520071389 -67.68140144538337 -60.53249115305974 -52.34422899774439
H02.403.429.675_pulmonary_medicine.csv H02.403.429.515_medical_oncology.csv -68.64508942692952 -63.20897229530473 -59.37945267298346 -52.244015206000675 -44.74761526817058
H02.403.429.675_pulmonary_medicine.csv H02.403.330_forensic_medicine.csv -65.17430822308715 -60.09015493389857 -56.86424376010864 -49.444366570490665 -42.29689625092426
H02.403.429.675_pulmonary_medicine.csv H02.403.810.468_ophthalmology.csv -72.17373838173579 -66.48440349205892 -63.163652504973705 -56.098559843553474 -48.437701299239095
H02.403.429.675_pulmonary_medicine.csv H02.403.810.788_surgery_plastic.csv -85.06541017234849 -80.79686140612378 -77.69772614197225 -70.56200941272577 -62.833116239338736
H02.403.429.675_pulmonary_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -81.5540849092739 -77.22276441356998 -74.80847837789317 -67.97823918814616 -60.21722126483934
H02.403.429.675_pulmonary_medicine.csv H02.403.600_neurology.csv -72.45254014988419 -66.6034536072645 -63.305904996146886 -56.21995581909936 -48.572485068386115
H02.403.429.675_pulmonary_medicine.csv H02.403.763_reproductive_medicine.csv -88.66251357604877 -83.49898747386683 -80.16405150351405 -73.21463343620493 -65.50485397016965
H02.403.429.675_pulmonary_medicine.csv H02.403.690_psychiatry.csv -72.91577430803471 -69.68705845040182 -67.87941292165456 -60.99901174990497 -53.18896004901475
H02.403.429.675_pulmonary_medicine.csv H02.403.429.730_rheumatology.csv -71.841733280435 -66.77271834705316 -63.92281793959259 -57.135576238494636 -49.568810947547874
H02.403.429.675_pulmonary_medicine.csv H02.403.740_radiology.csv -72.03847079466696 -66.29013379978308 -62.74653313200595 -55.6824783355409 -48.14758060405405
H02.403.429.675_pulmonary_medicine.csv H02.403.044.500_immunochemistry.csv -75.58480253596335 -70.89706706755166 -67.96270904236266 -61.09309135367384 -53.47429360383044
