Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429.730_rheumatology.csv H02.403.340_general_practice.csv -71.45589729028922 -70.23720321774455 -69.06727292652903 -62.79118777009134 -54.841723745906286
H02.403.429.730_rheumatology.csv H02.403.429.515_medical_oncology.csv -69.8144002938212 -64.68712800518512 -60.81684211840022 -53.95893365603809 -46.55272872020107
H02.403.429.730_rheumatology.csv H02.403.330_forensic_medicine.csv -67.12462462260235 -62.57965206025804 -58.68569153486518 -51.1037691301625 -43.978008954631576
H02.403.429.730_rheumatology.csv H02.403.810.468_ophthalmology.csv -72.36714359296579 -67.588513533001 -64.74241709001791 -58.06885119167722 -50.48353197167651
H02.403.429.730_rheumatology.csv H02.403.810.788_surgery_plastic.csv -85.04414937610348 -81.9341288422942 -79.5755227494219 -72.99932080308028 -65.47497731728802
H02.403.429.730_rheumatology.csv H02.403.429.480_infectious_disease_medicine.csv -82.74276328827824 -79.22411898170623 -77.20163262041731 -70.61370928142074 -62.90890749851244
H02.403.429.730_rheumatology.csv H02.403.600_neurology.csv -72.99990143814448 -67.99953107608553 -65.08586997343524 -58.273131005821405 -50.66218933116231
H02.403.429.730_rheumatology.csv H02.403.763_reproductive_medicine.csv -88.97963022073287 -85.40130481961151 -82.30625336362057 -75.91504119376656 -68.35070036763389
H02.403.429.730_rheumatology.csv H02.403.690_psychiatry.csv -73.2260571372537 -71.03768993186299 -69.44696713556453 -63.05777668136803 -55.395107429488974
H02.403.429.730_rheumatology.csv H02.403.429.730_rheumatology.csv -67.78365527459344 -64.72794251950732 -63.709468570891794 -58.422374871120425 -51.402326187237264
H02.403.429.730_rheumatology.csv H02.403.740_radiology.csv -73.352384890131 -68.38973697923134 -64.84985213262803 -57.807481508711476 -50.21165511187162
H02.403.429.730_rheumatology.csv H02.403.044.500_immunochemistry.csv -76.21823203489129 -72.3937012589806 -69.81555356307152 -63.27233166655313 -55.73391353178026
H02.403.429.730_rheumatology.csv H02.403.429.580_nephrology.csv -73.23971337439227 -69.14533461958959 -65.95981798551466 -59.09889329061923 -51.40870269149542
H02.403.429.730_rheumatology.csv H02.403.670.500_perinatology.csv -71.26169691914168 -66.4816943574816 -63.56099631235874 -56.83449248245451 -49.32078420509606
H02.403.429.730_rheumatology.csv H02.403.830_sports_medicine.csv -88.30571666738221 -84.87959559685584 -83.08726887771836 -76.47275910914394 -68.6092699157591
H02.403.429.730_rheumatology.csv H02.403.355_geriatrics.csv -70.33021336785667 -65.20358364596862 -61.48564031158883 -54.4958539388383 -46.88081658401001
H02.403.429.730_rheumatology.csv H02.403.810.494_orthopedics.csv -84.92047976992662 -82.14429213582196 -80.31000307709375 -74.14750072616647 -66.84055837342821
H02.403.429.730_rheumatology.csv H02.403.810.850_traumatology.csv -75.36548536637208 -70.24551999680406 -66.34181310209075 -59.19625270514867 -51.465277765827125
H02.403.429.730_rheumatology.csv H02.403.670.400_neonatology.csv -72.01471602960419 -66.58762724724734 -63.38895803949509 -56.44122065451579 -48.865546413893426
H02.403.429.730_rheumatology.csv H02.403.350_genetics_medical.csv -72.62871748773064 -68.72832560978561 -66.50784230483782 -59.948746954155084 -52.49921520893939
H02.403.429.730_rheumatology.csv H02.403.810.425_neurosurgery.csv -81.0828993857986 -75.73203495664671 -73.29433985058992 -66.54745375438199 -58.998249802507985
H02.403.429.730_rheumatology.csv H02.403.810.526_otolaryngology.csv -67.68265848378707 -62.112567739831015 -58.382164862112155 -51.70000900355579 -44.38892640431663
H02.403.429.730_rheumatology.csv H02.403.720.500_epidemiology.csv -75.4065936683866 -72.19574772728649 -70.01975596918017 -63.383833010510415 -55.74293610184622
H02.403.429.730_rheumatology.csv H02.403.650_pathology.csv -68.71965213676968 -63.42854253799173 -59.760402474660076 -53.013978176426996 -45.69381699148824
H02.403.429.730_rheumatology.csv H02.403.066_anesthesiology.csv -88.08485974460748 -84.28092161369435 -81.79427459453113 -74.76357782859199 -66.81566669726686
H02.403.429.730_rheumatology.csv H02.403.429.405_gastroenterology.csv -70.16250812691675 -64.9981217842969 -61.18385392457453 -54.2926945958453 -46.731481826949846
H02.403.429.730_rheumatology.csv H02.403.763.750_gynecology.csv -70.7924824179427 -65.56488666398975 -61.92441479023212 -55.29173669150641 -47.917146744474444
