Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.429_internal_medicine.csv H02.403.340_general_practice.csv -71.86438451638551 -71.08825275484338 -71.89899307830676 -65.89680364190657 -57.04279097828544
H02.403.429_internal_medicine.csv H02.403.429.515_medical_oncology.csv -70.15975239286178 -66.16479903211602 -63.191933978713934 -56.143118345329185 -48.37642900269961
H02.403.429_internal_medicine.csv H02.403.330_forensic_medicine.csv -66.32229158432568 -62.71431888977877 -60.269940691504885 -52.957448448653224 -45.62921809457595
H02.403.429_internal_medicine.csv H02.403.810.468_ophthalmology.csv -73.53197477782473 -69.56343771988355 -67.35869895348092 -60.43199424776159 -52.47670799864809
H02.403.429_internal_medicine.csv H02.403.810.788_surgery_plastic.csv -87.13024386331817 -84.75318246545494 -83.05730719731473 -76.12161333667004 -68.08473899703316
H02.403.429_internal_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -81.60552912585881 -79.46065995661654 -79.33789255249377 -73.14693901538055 -65.2080801671019
H02.403.429_internal_medicine.csv H02.403.600_neurology.csv -73.20536125742419 -69.31446318202553 -67.41651543949278 -60.5228102111855 -52.60418863912736
H02.403.429_internal_medicine.csv H02.403.763_reproductive_medicine.csv -91.02994347471996 -88.34664485082816 -85.86228368965581 -79.0806305822648 -71.05256144978652
H02.403.429_internal_medicine.csv H02.403.690_psychiatry.csv -73.79653635856292 -72.74587317333204 -72.28420286887815 -65.76252305751916 -57.68493187370569
H02.403.429_internal_medicine.csv H02.403.429.730_rheumatology.csv -71.75600081555525 -68.70311075234828 -67.6984484101569 -61.464847306516816 -53.72375554983282
H02.403.429_internal_medicine.csv H02.403.740_radiology.csv -73.91264453085526 -69.9809104114311 -67.24469435901582 -60.11223692129011 -52.185924289470925
H02.403.429_internal_medicine.csv H02.403.044.500_immunochemistry.csv -76.35913742593775 -73.43643111929013 -71.98865697657948 -65.49021599382756 -57.711394001577524
H02.403.429_internal_medicine.csv H02.403.429.580_nephrology.csv -72.71028651694314 -70.05340288190469 -68.18917937609493 -61.37022951556786 -53.40631934032493
