Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.500_military_medicine.csv H02.403.340_general_practice.csv -66.53790624956497 -61.85759690701517 -56.444505832520875 -49.66086074282376 -42.88892518698415
H02.403.500_military_medicine.csv H02.403.429.515_medical_oncology.csv -62.76029850221302 -55.43639538705403 -49.547954340941374 -42.98913359270301 -36.707672010180005
H02.403.500_military_medicine.csv H02.403.330_forensic_medicine.csv -58.03412844462176 -52.64911466158478 -47.424705916721386 -40.63161333503762 -34.65637607988503
H02.403.500_military_medicine.csv H02.403.810.468_ophthalmology.csv -65.86621231457458 -58.65059542732646 -52.874228709161116 -46.23737469035963 -39.74731372639715
H02.403.500_military_medicine.csv H02.403.810.788_surgery_plastic.csv -76.67747604011956 -70.18065854725872 -64.77955954399535 -58.06941177516628 -51.530197120216926
H02.403.500_military_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -75.08648637929889 -68.23089710623789 -62.5969906587127 -55.9856239878788 -49.42981085616329
H02.403.500_military_medicine.csv H02.403.600_neurology.csv -66.13215444690452 -58.68010122991864 -52.972220466364945 -46.33252119907077 -39.868201949786375
H02.403.500_military_medicine.csv H02.403.763_reproductive_medicine.csv -79.73325002779004 -72.78678835660334 -66.9293702890051 -60.23113783460228 -53.700513517107986
H02.403.500_military_medicine.csv H02.403.690_psychiatry.csv -67.64226745016866 -62.10580875421968 -56.873583560216616 -50.20993855071139 -43.62553975525265
H02.403.500_military_medicine.csv H02.403.429.730_rheumatology.csv -66.92676299046008 -59.70453544523631 -53.78843689381121 -47.16112408088251 -40.678365784101096
H02.403.500_military_medicine.csv H02.403.740_radiology.csv -66.03238427082117 -58.04662747220296 -52.44197021460612 -45.85305131441283 -39.50296004083407
H02.403.500_military_medicine.csv H02.403.044.500_immunochemistry.csv -69.84614853718236 -62.644492693835474 -57.028468766759424 -50.42260780808353 -43.927867677378075
H02.403.500_military_medicine.csv H02.403.429.580_nephrology.csv -67.49932571180273 -59.395552407003116 -53.532511562035175 -46.91189081524455 -40.45770479310448
H02.403.500_military_medicine.csv H02.403.670.500_perinatology.csv -64.88288591369961 -57.5914086123761 -51.91822922391102 -45.283425873137475 -38.86386060548417
H02.403.500_military_medicine.csv H02.403.830_sports_medicine.csv -79.09424400397359 -72.42740375130505 -67.17124181476136 -60.47593987234589 -53.84353804515425
H02.403.500_military_medicine.csv H02.403.355_geriatrics.csv -63.444149204194275 -55.72961919352 -49.89582642314686 -43.28744344637358 -36.901528156531796
H02.403.500_military_medicine.csv H02.403.810.494_orthopedics.csv -77.6422508203589 -71.08324843514485 -65.73874797328308 -59.1380225830902 -52.63701922125214
H02.403.500_military_medicine.csv H02.403.810.850_traumatology.csv -66.9827379774652 -59.40900588449828 -53.5827676446525 -46.93496805752833 -40.477225294439535
H02.403.500_military_medicine.csv H02.403.670.400_neonatology.csv -64.72970785070234 -57.04547514665419 -51.32877579450442 -44.759755286435905 -38.421963954494316
H02.403.500_military_medicine.csv H02.403.350_genetics_medical.csv -66.75638145884444 -60.06897637819119 -54.25009115682527 -47.62910445422395 -41.26448283109626
H02.403.500_military_medicine.csv H02.403.810.425_neurosurgery.csv -72.71265053032737 -65.07112570587385 -59.80781268780716 -53.12596329226447 -46.583375419397065
H02.403.500_military_medicine.csv H02.403.810.526_otolaryngology.csv -60.83286650870341 -53.57461188460651 -47.77755259010756 -41.28532332077184 -35.045183955757054
H02.403.500_military_medicine.csv H02.403.720.500_epidemiology.csv -68.42136056498957 -62.35996918012566 -57.090565515185105 -50.45655580939132 -43.95955241741658
H02.403.500_military_medicine.csv H02.403.650_pathology.csv -62.13147247389089 -54.64545536566467 -48.8356904227312 -42.30060634023421 -36.05558096915408
H02.403.500_military_medicine.csv H02.403.066_anesthesiology.csv -78.53213870029361 -71.28720328044159 -65.70559693596374 -58.98856955032214 -52.36127879096653
H02.403.500_military_medicine.csv H02.403.429.405_gastroenterology.csv -63.22019418317581 -55.67641110173888 -49.74648477415449 -43.158707697280825 -36.79151343674583
H02.403.500_military_medicine.csv H02.403.763.750_gynecology.csv -63.557636124645846 -56.42024447716443 -50.65228981211849 -44.12874992703266 -37.803178151853295
H02.403.500_military_medicine.csv H02.403.225_dermatology.csv -59.68787441781447 -52.24856071188824 -46.241168227011634 -39.72571797951156 -33.562560512805575
H02.403.500_military_medicine.csv H02.403.720.750_preventive_medicine.csv -68.53815610027901 -61.322270032904264 -55.68801302285935 -49.08793607334109 -42.67325840257504
H02.403.500_military_medicine.csv H02.403.429.675_pulmonary_medicine.csv -69.06870643652897 -60.85648825480524 -55.089886996291 -48.42055053181069 -41.87101395427483
H02.403.500_military_medicine.csv H02.403.810.450_obstetrics.csv -66.37110902447697 -59.31643407614595 -53.73622590672142 -47.08180590034473 -40.60034853637746
H02.403.500_military_medicine.csv H02.403.429.445_hematology.csv -68.79118086391718 -61.06453298350704 -55.15795021480116 -48.49933046036361 -41.99316417153097
H02.403.500_military_medicine.csv H02.403.645_palliative_medicine.csv -69.63794004809756 -62.85527615970833 -57.16958109089024 -50.587650574482595 -44.08270688580022
H02.403.500_military_medicine.csv H02.403.340.500_family_practice.csv -67.08335208318867 -61.35392563749586 -55.80389091754422 -49.19456840915482 -42.73968142817772
H02.403.500_military_medicine.csv H02.403.429_internal_medicine.csv -65.89102659515761 -58.82653283213349 -52.96138436414506 -46.349034446148714 -39.89261833694293
H02.403.500_military_medicine.csv H02.403.810_specialties_surgical.csv -76.77851996438706 -70.45785379740593 -64.03377781889368 -57.319719995868546 -50.547661827517025
H02.403.500_military_medicine.csv H02.403.670_pediatrics.csv -65.74675671143126 -58.376593082591526 -52.596723822534805 -46.016656857524254 -39.6420252962107
H02.403.500_military_medicine.csv H02.403.810.300_general_surgery.csv -69.68391287492598 -62.04320339251711 -56.40628114595008 -49.789818214580976 -43.33637957828745
H02.403.500_military_medicine.csv H02.403.909_venereology.csv -75.1989711952423 -68.6509945632987 -63.25349976938359 -56.57395909347715 -49.99718885288111
H02.403.500_military_medicine.csv H02.403.044_allergy_and_immunology.csv -68.65792509410538 -62.65262710713747 -57.5621587141414 -50.789548469347444 -44.58190907594404
H02.403.500_military_medicine.csv H02.403.500_military_medicine.csv -70.06729431867436 -70.10382590205502 -67.0862918764586 -60.94742000255643 -54.17548444671682
H02.403.500_military_medicine.csv H02.403.680.600_rehabilitation.csv -72.57787707031028 -65.94731683627683 -60.55604687698351 -53.92341309362298 -47.528572762122856
H02.403.500_military_medicine.csv H02.403.740.500_nuclear_medicine.csv -80.90262570244394 -75.0497460725189 -69.99115340755512 -63.35065182297478 -56.80291492906248
H02.403.500_military_medicine.csv H02.403.810.803_thoracic_surgery.csv -75.81809821133339 -67.65980421750747 -62.231419199763266 -55.57024317194975 -49.021046394907636
H02.403.500_military_medicine.csv H02.403.810.860_urology.csv -63.64785544248985 -55.779634609287605 -49.96108585916554 -43.39900591369402 -37.06750651536606
H02.403.500_military_medicine.csv H02.403.429.163_cardiology.csv -69.1265746419215 -61.378041343833154 -55.74000513094252 -49.07813182186408 -42.58758327540149
H02.403.500_military_medicine.csv H02.403.879_tropical_medicine.csv -67.02601703648416 -60.511859673070994 -54.46420491951789 -47.78846024639984 -41.17029002697938
H02.403.500_military_medicine.csv H02.403.680_physical_and_rehabilitation_medicine.csv -56.772898199230596 -49.75743682575976 -44.44607662725467 -37.98177528361413 -32.6819498564433
