Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.600_neurology.csv H02.403.340_general_practice.csv -73.8422196210571 -75.21327345886783 -77.35755898582345 -72.21391059655087 -63.41775940213275
H02.403.600_neurology.csv H02.403.429.515_medical_oncology.csv -72.8312129758196 -70.29466623431064 -68.55403315304915 -61.737033940710795 -53.606923830977166
H02.403.600_neurology.csv H02.403.330_forensic_medicine.csv -68.81343320834445 -66.92683501197872 -65.7470364848318 -58.37907188842545 -50.622614266096114
H02.403.600_neurology.csv H02.403.810.468_ophthalmology.csv -74.55001289348166 -72.78194602117523 -72.73907404489051 -66.38938379147929 -58.14120190562758
H02.403.600_neurology.csv H02.403.810.788_surgery_plastic.csv -89.35304438221075 -89.83856197261636 -90.23646184556185 -83.80352848857399 -75.49105034491762
H02.403.600_neurology.csv H02.403.429.480_infectious_disease_medicine.csv -85.72013237134907 -85.08788955450544 -86.64149309833611 -80.6844913865533 -72.41175271323773
H02.403.600_neurology.csv H02.403.600_neurology.csv -72.49201552264898 -71.08066903295318 -72.01579602279348 -66.17297547035142 -58.16872839212546
H02.403.600_neurology.csv H02.403.763_reproductive_medicine.csv -93.5911897159573 -93.92329295884217 -93.55458306987609 -87.3295320776864 -78.96928206521402
H02.403.600_neurology.csv H02.403.690_psychiatry.csv -73.40668326529438 -74.0112757156817 -76.4486329266772 -71.63872939520988 -63.65856246943508
H02.403.600_neurology.csv H02.403.429.730_rheumatology.csv -75.8543501433933 -73.8939385325764 -74.22218143035444 -67.90997909942446 -59.64314677451908
H02.403.600_neurology.csv H02.403.740_radiology.csv -75.78996011614605 -73.93014295577589 -72.9298260221793 -66.15230049353595 -57.84079945993125
H02.403.600_neurology.csv H02.403.044.500_immunochemistry.csv -79.95278286674461 -78.41842010674907 -78.5598669777608 -72.30449851631559 -64.140206309819
H02.403.600_neurology.csv H02.403.429.580_nephrology.csv -76.64899823938534 -75.08751445207973 -74.46330247648122 -67.75275019374533 -59.28367974210106
H02.403.600_neurology.csv H02.403.670.500_perinatology.csv -73.0571155083662 -71.27985623645841 -71.3575163365602 -65.00361897385143 -56.828705429521186
H02.403.600_neurology.csv H02.403.830_sports_medicine.csv -91.3316041282009 -91.83398783887827 -93.62601653845071 -87.57225454888712 -79.09699567750341
H02.403.600_neurology.csv H02.403.355_geriatrics.csv -73.25445535039343 -70.77389404889273 -69.2962762265881 -62.374127167479024 -54.005815813046475
H02.403.600_neurology.csv H02.403.810.494_orthopedics.csv -88.68309910924941 -89.53524160037473 -90.67870435970453 -84.82395515165214 -76.95991079512032
H02.403.600_neurology.csv H02.403.810.850_traumatology.csv -77.50072996227942 -76.01144482403086 -74.79371724256526 -67.76812004836889 -59.29364291628995
H02.403.600_neurology.csv H02.403.670.400_neonatology.csv -73.13354488161984 -70.93112199199118 -70.76961627954077 -64.3907086794063 -56.2842218157962
H02.403.600_neurology.csv H02.403.350_genetics_medical.csv -74.97152907587578 -73.28080960065996 -74.15086026822394 -68.31647602534174 -60.42387366731432
H02.403.600_neurology.csv H02.403.810.425_neurosurgery.csv -80.82981727182253 -79.63486834105784 -81.28550224521568 -75.5394731865282 -67.63813455304657
H02.403.600_neurology.csv H02.403.810.526_otolaryngology.csv -69.32783838154182 -66.51521396671362 -65.26671371746546 -58.86739871686193 -50.986060222172824
H02.403.600_neurology.csv H02.403.720.500_epidemiology.csv -77.97062796010766 -76.8818715345862 -78.04849361347607 -72.21958619466443 -64.045558635014
H02.403.600_neurology.csv H02.403.650_pathology.csv -71.5603857650244 -68.63390500827637 -67.13388758562242 -60.534891595793304 -52.566641493695876
H02.403.600_neurology.csv H02.403.066_anesthesiology.csv -89.04238364123955 -90.2251614883401 -91.94382022327773 -85.62693503724329 -77.08261903315561
