Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.645_palliative_medicine.csv H02.403.340_general_practice.csv -67.45068734628389 -63.8826910437879 -60.02198653356917 -53.54377877607051 -46.308612372488696
H02.403.645_palliative_medicine.csv H02.403.429.515_medical_oncology.csv -63.66429097158089 -57.88726909542086 -52.9805226793295 -46.27271352909396 -39.59037950225831
H02.403.645_palliative_medicine.csv H02.403.330_forensic_medicine.csv -60.79128863889212 -55.376023086420005 -50.71653618206911 -43.742460924660655 -37.355106953474014
H02.403.645_palliative_medicine.csv H02.403.810.468_ophthalmology.csv -67.8934081068484 -61.7396202271421 -56.691138935067826 -49.82171181480843 -42.88797798065787
H02.403.645_palliative_medicine.csv H02.403.810.788_surgery_plastic.csv -78.64594298141034 -73.55156125537313 -69.23574105704259 -62.49254704866097 -55.59356815733082
H02.403.645_palliative_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -77.67950920291887 -71.82165113662843 -67.20104611883578 -60.3592690884663 -53.33783418303072
H02.403.645_palliative_medicine.csv H02.403.600_neurology.csv -68.18114270172633 -61.77683113322807 -56.819219736731675 -49.93327274863546 -43.02054234974
H02.403.645_palliative_medicine.csv H02.403.763_reproductive_medicine.csv -82.17129839998192 -76.2980730074673 -71.60888224432415 -64.91681057198684 -57.95309895974304
H02.403.645_palliative_medicine.csv H02.403.690_psychiatry.csv -69.4270426488922 -65.18749470719226 -60.938399597917005 -54.13850764358444 -47.081526340678465
H02.403.645_palliative_medicine.csv H02.403.429.730_rheumatology.csv -68.4790550833112 -62.781667985106125 -57.727213367353805 -50.830272414605076 -43.8931043983405
H02.403.645_palliative_medicine.csv H02.403.740_radiology.csv -67.5922425567681 -61.145731941331384 -56.208533024546306 -49.39730231538943 -42.62447574848562
H02.403.645_palliative_medicine.csv H02.403.044.500_immunochemistry.csv -71.86220230088274 -65.82596145676808 -61.142063198410575 -54.33214091878453 -47.39348066721409
H02.403.645_palliative_medicine.csv H02.403.429.580_nephrology.csv -68.63440234409735 -62.41932318547659 -57.393636312477284 -50.54004892252621 -43.64751148356285
H02.403.645_palliative_medicine.csv H02.403.670.500_perinatology.csv -66.74885028030644 -60.35696175143626 -55.54451207153144 -48.75277678381322 -41.92695615943887
H02.403.645_palliative_medicine.csv H02.403.830_sports_medicine.csv -80.65081357773091 -75.3868984905529 -71.86944845830858 -65.1349873931621 -58.08876862204229
H02.403.645_palliative_medicine.csv H02.403.355_geriatrics.csv -64.8567660560503 -58.487029268477706 -53.43238168766121 -46.615922724480434 -39.80429271560244
