Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.650_pathology.csv H02.403.340_general_practice.csv -72.59529445230632 -74.7278886125269 -76.9734002564204 -71.6740356309681 -63.18148086607222
H02.403.650_pathology.csv H02.403.429.515_medical_oncology.csv -68.2120061494102 -67.4378487634479 -67.27175524427956 -61.1672909896836 -53.271779259491026
H02.403.650_pathology.csv H02.403.330_forensic_medicine.csv -67.40411978839357 -66.54306985773462 -65.15337217073194 -58.1275050140327 -50.298112014481546
H02.403.650_pathology.csv H02.403.810.468_ophthalmology.csv -74.23166027596183 -73.1348409879698 -72.8339381991079 -66.33762700766081 -58.0055082141653
H02.403.650_pathology.csv H02.403.810.788_surgery_plastic.csv -87.01075731774995 -88.81332078964152 -89.59186961415811 -83.34334178200943 -75.15152167392453
H02.403.650_pathology.csv H02.403.429.480_infectious_disease_medicine.csv -84.96616862852858 -84.9939829158663 -86.40426605855399 -80.47065863089117 -72.11992406598492
H02.403.650_pathology.csv H02.403.600_neurology.csv -74.11002163066138 -72.8841264535244 -72.8012149692884 -66.38799219179349 -58.131154158689746
H02.403.650_pathology.csv H02.403.763_reproductive_medicine.csv -90.37149472338315 -92.47070651291887 -92.80038257818782 -86.91988443267894 -78.64522937367089
H02.403.650_pathology.csv H02.403.690_psychiatry.csv -75.47436082502944 -75.9360927984474 -77.34335438383091 -71.8472384941862 -63.66957038699421
H02.403.650_pathology.csv H02.403.429.730_rheumatology.csv -73.708453223343 -73.03595299248138 -73.60964810738786 -67.61071118595731 -59.39294359430727
H02.403.650_pathology.csv H02.403.740_radiology.csv -72.98553620145252 -72.59450931527138 -72.31468724091535 -65.82781163218039 -57.62001543717854
H02.403.650_pathology.csv H02.403.044.500_immunochemistry.csv -77.21827011647395 -76.84431259267761 -77.737207456601 -71.86338064394056 -63.813538515307194
H02.403.650_pathology.csv H02.403.429.580_nephrology.csv -72.78299340526326 -72.83159727920003 -73.44805842654223 -67.26526637179263 -58.98013737194113
H02.403.650_pathology.csv H02.403.670.500_perinatology.csv -71.39951737854436 -70.6146687670461 -70.83963481019667 -64.60506864843234 -56.5171497831762
H02.403.650_pathology.csv H02.403.830_sports_medicine.csv -91.662197580165 -93.19557240127641 -93.9740848072965 -87.43937764156804 -78.93674928595466
H02.403.650_pathology.csv H02.403.355_geriatrics.csv -70.40479288469317 -69.23193151044835 -68.5959592115284 -62.02261733116172 -53.75944977127401
H02.403.650_pathology.csv H02.403.810.494_orthopedics.csv -88.0131145016838 -89.43742534821968 -90.35276591498506 -84.44153744665824 -76.64407069853907
H02.403.650_pathology.csv H02.403.810.850_traumatology.csv -76.5278601227421 -75.75936680265659 -74.56880262984257 -67.56087909526573 -59.097550128801025
H02.403.650_pathology.csv H02.403.670.400_neonatology.csv -72.22105342499965 -70.85901448588594 -70.62112868911025 -64.19652902826492 -56.093665485473345
H02.403.650_pathology.csv H02.403.350_genetics_medical.csv -74.39926766700104 -73.57893641638809 -74.29670792748318 -68.33121989200792 -60.308906479563
H02.403.650_pathology.csv H02.403.810.425_neurosurgery.csv -81.75065096674497 -80.81990360122441 -81.57604311040922 -75.46860794661838 -67.42542615970477
H02.403.650_pathology.csv H02.403.810.526_otolaryngology.csv -68.06396436971875 -65.96042715632008 -65.00022772663263 -58.70856164028074 -50.82659743284975
H02.403.650_pathology.csv H02.403.720.500_epidemiology.csv -76.47497896965524 -76.17274265394306 -77.44601052153494 -71.71402626244966 -63.64070499198577
H02.403.650_pathology.csv H02.403.650_pathology.csv -67.9728346471707 -66.58964482669131 -66.15053485028271 -60.044199480237594 -52.247298040816226
H02.403.650_pathology.csv H02.403.066_anesthesiology.csv -89.17011205750916 -91.01369416599596 -92.20181919485613 -85.62292813556772 -76.95689194869234
H02.403.650_pathology.csv H02.403.429.405_gastroenterology.csv -69.17801459427127 -68.42237302323073 -68.07104372597365 -61.735928688904565 -53.56505741527915
H02.403.650_pathology.csv H02.403.763.750_gynecology.csv -70.03750272128808 -69.1157348599619 -68.73761171425832 -62.65714704158288 -54.76497232780634
H02.403.650_pathology.csv H02.403.225_dermatology.csv -67.16687776941126 -64.96463488244824 -63.54165802784329 -56.85009914461398 -48.87390971088727
H02.403.650_pathology.csv H02.403.720.750_preventive_medicine.csv -76.15593554320712 -76.05049994089734 -76.48197117643633 -70.34055606245022 -62.181379316485845
H02.403.650_pathology.csv H02.403.429.675_pulmonary_medicine.csv -75.20797484538164 -75.02106106226663 -75.47919072322354 -69.20602318941658 -60.82647436996159
H02.403.650_pathology.csv H02.403.810.450_obstetrics.csv -73.01233725364563 -72.68557429626533 -73.16071706032318 -67.03495200503123 -58.950142883895474
H02.403.650_pathology.csv H02.403.429.445_hematology.csv -76.4306120874438 -75.67953765140014 -76.03739300544147 -69.64209409165792 -61.28748370134068
H02.403.650_pathology.csv H02.403.645_palliative_medicine.csv -75.76647349204221 -77.09939135589153 -78.19776126766459 -72.58948725909326 -64.37713985733176
H02.403.650_pathology.csv H02.403.340.500_family_practice.csv -74.3878866236166 -74.67526902555907 -75.96348672315737 -70.65626228837888 -62.37520101955912
H02.403.650_pathology.csv H02.403.429_internal_medicine.csv -72.07438395831069 -72.0019336427576 -72.04471174176301 -65.80702104737291 -57.68268341569769
H02.403.650_pathology.csv H02.403.810_specialties_surgical.csv -82.90053108869981 -87.0477026386934 -88.60318605054889 -82.95271667534759 -74.18754974800963
H02.403.650_pathology.csv H02.403.670_pediatrics.csv -73.35093657505931 -72.63358404168407 -72.72608901667101 -66.22979569585222 -57.94088427630387
H02.403.650_pathology.csv H02.403.810.300_general_surgery.csv -77.36092245390772 -77.32867343533084 -77.72531232963102 -71.42501680496794 -63.2075753561198
H02.403.650_pathology.csv H02.403.909_venereology.csv -80.8217128854771 -80.3287712771627 -82.63150656297648 -77.91643556857731 -70.7464751977052
H02.403.650_pathology.csv H02.403.044_allergy_and_immunology.csv -73.93713944287731 -72.76997009037103 -74.46577897508752 -69.55344874923883 -63.02106123203243
H02.403.650_pathology.csv H02.403.500_military_medicine.csv -82.7263635960553 -96.16729304695257 -98.39867557692115 -89.95776117448455 -79.96233274408932
H02.403.650_pathology.csv H02.403.680.600_rehabilitation.csv -82.21645050165961 -82.48727427950944 -83.32433573513775 -77.29311156715484 -69.3532472884688
H02.403.650_pathology.csv H02.403.740.500_nuclear_medicine.csv -88.06564532573769 -91.17543539268169 -95.11766398502319 -90.60708537398698 -82.99167705466188
H02.403.650_pathology.csv H02.403.810.803_thoracic_surgery.csv -85.14023231471555 -85.53146610757882 -86.54454081049393 -80.18519866030441 -71.75449813141383
H02.403.650_pathology.csv H02.403.810.860_urology.csv -69.01221008956468 -68.30357323717844 -68.11452634393146 -61.89905301433239 -53.8503530642941
H02.403.650_pathology.csv H02.403.429.163_cardiology.csv -76.9510333516337 -76.58297113297024 -76.89933433257079 -70.51420221092897 -62.198428157524816
H02.403.650_pathology.csv H02.403.879_tropical_medicine.csv -76.73525274897217 -75.46557537288382 -75.16658823124983 -68.70609382699087 -60.13946694360007
