Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.670.400_neonatology.csv H02.403.340_general_practice.csv -74.46381439784497 -74.50329575855338 -74.78653786130047 -68.39986539961593 -59.74590482724024
H02.403.670.400_neonatology.csv H02.403.429.515_medical_oncology.csv -73.00856016386514 -69.06748783437905 -66.08436647955222 -58.81806369554191 -50.73845034093881
H02.403.670.400_neonatology.csv H02.403.330_forensic_medicine.csv -67.48604415121669 -64.87099531649848 -62.85307035218824 -55.33383638604902 -47.74090840229257
H02.403.670.400_neonatology.csv H02.403.810.468_ophthalmology.csv -76.52474062474948 -72.88199055497044 -70.75113082674746 -63.451148579030836 -55.05363627870279
H02.403.670.400_neonatology.csv H02.403.810.788_surgery_plastic.csv -89.30233856905355 -87.97101557298944 -86.73098684571401 -79.64619092222044 -71.36944827265432
H02.403.670.400_neonatology.csv H02.403.429.480_infectious_disease_medicine.csv -83.70544307465065 -82.30838888633536 -82.84200361646437 -76.48901904508864 -68.33383723760333
H02.403.670.400_neonatology.csv H02.403.600_neurology.csv -75.73901522056914 -72.35945590097504 -70.65358212424636 -63.502848793573904 -55.18962710760415
H02.403.670.400_neonatology.csv H02.403.763_reproductive_medicine.csv -90.7692305760414 -90.14781371455838 -89.11195684987081 -82.69191731397343 -74.4864060956639
H02.403.670.400_neonatology.csv H02.403.690_psychiatry.csv -75.98438640262451 -74.86607017213075 -74.9611131662453 -68.67680469530227 -60.41332396648841
H02.403.670.400_neonatology.csv H02.403.429.730_rheumatology.csv -76.6883420399878 -73.7813292575268 -72.08268787164624 -64.82204924985516 -56.39391554577528
H02.403.670.400_neonatology.csv H02.403.740_radiology.csv -76.17478644380576 -72.7076452449806 -70.23957634382454 -62.95229929951592 -54.719248836633525
H02.403.670.400_neonatology.csv H02.403.044.500_immunochemistry.csv -79.32903330238969 -76.74681047508716 -75.52632377034645 -68.73892188450388 -60.58441456414609
H02.403.670.400_neonatology.csv H02.403.429.580_nephrology.csv -76.13344398625821 -73.53486604578505 -71.5658122547672 -64.37252959296582 -56.011183324443884
H02.403.670.400_neonatology.csv H02.403.670.500_perinatology.csv -70.14080721000408 -68.08847454483396 -67.84023862647689 -61.61578371992451 -53.66739278381051
H02.403.670.400_neonatology.csv H02.403.830_sports_medicine.csv -91.14516852701647 -89.96429093328098 -90.01589257461117 -83.1247621266941 -74.66574763492936
H02.403.670.400_neonatology.csv H02.403.355_geriatrics.csv -73.52653907913377 -69.72308011691746 -66.8646571447103 -59.40946923111053 -51.0907446162534
H02.403.670.400_neonatology.csv H02.403.810.494_orthopedics.csv -90.05294080519401 -88.4809365991785 -87.60826769919389 -80.8871475289151 -72.83816507601388
H02.403.670.400_neonatology.csv H02.403.810.850_traumatology.csv -78.10197677244281 -74.81096918552281 -71.99837007736811 -64.47410908134849 -56.07117867722706
H02.403.670.400_neonatology.csv H02.403.670.400_neonatology.csv -69.60640383421284 -66.86298682730192 -66.61149634727238 -60.68027980371706 -53.035854161734065
