Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.670.500_perinatology.csv H02.403.340_general_practice.csv -73.02413145703571 -73.43369800793805 -73.22900942291577 -66.83650639846172 -58.51997629359672
H02.403.670.500_perinatology.csv H02.403.429.515_medical_oncology.csv -71.70304614242666 -67.86122739321492 -64.70952087847685 -57.53231922175206 -49.648725623527724
H02.403.670.500_perinatology.csv H02.403.330_forensic_medicine.csv -66.89992401261034 -64.47686267526491 -61.805199596532006 -54.31156203362921 -46.84878929291133
H02.403.670.500_perinatology.csv H02.403.810.468_ophthalmology.csv -75.33539966586066 -71.69259277592148 -69.3560810626955 -62.132053572438785 -53.90074238824604
H02.403.670.500_perinatology.csv H02.403.810.788_surgery_plastic.csv -88.35661394462332 -86.70895833630635 -84.93289596737388 -77.89125795880724 -69.83487369671676
H02.403.670.500_perinatology.csv H02.403.429.480_infectious_disease_medicine.csv -83.77948439573487 -82.08717672556612 -81.67811470738786 -75.04682723462041 -66.95211098071631
H02.403.670.500_perinatology.csv H02.403.600_neurology.csv -74.99906462946637 -71.47351740526248 -69.34999678471581 -62.198468079573345 -54.04088131071273
H02.403.670.500_perinatology.csv H02.403.763_reproductive_medicine.csv -87.44132672256428 -87.47409075947826 -86.8201578062876 -80.7591416044001 -72.92700506647557
H02.403.670.500_perinatology.csv H02.403.690_psychiatry.csv -75.0802171063682 -73.84870315157465 -73.39293530428044 -67.14878184187398 -59.104718094228225
H02.403.670.500_perinatology.csv H02.403.429.730_rheumatology.csv -75.62930320774217 -72.51535807952372 -70.61367336419202 -63.44230895970403 -55.204619836684955
H02.403.670.500_perinatology.csv H02.403.740_radiology.csv -75.24689374766176 -71.71344621357721 -68.9682021642418 -61.673701504636604 -53.57286783530965
H02.403.670.500_perinatology.csv H02.403.044.500_immunochemistry.csv -78.52344126482237 -75.7778601438591 -74.0707193737055 -67.31019032572163 -59.31947469525261
H02.403.670.500_perinatology.csv H02.403.429.580_nephrology.csv -74.75942051850684 -72.27182718971578 -70.11293229373791 -63.01245818106995 -54.82961596002096
H02.403.670.500_perinatology.csv H02.403.670.500_perinatology.csv -67.61892848101095 -65.65136691540872 -65.76069412604862 -59.98491593604369 -52.4121030783262
H02.403.670.500_perinatology.csv H02.403.830_sports_medicine.csv -91.49036512086246 -89.57761129742823 -88.73735536282939 -81.58132467029884 -73.17042535885716
H02.403.670.500_perinatology.csv H02.403.355_geriatrics.csv -72.5911046192193 -68.72716556436242 -65.57583605848451 -58.17219582890469 -50.02526564117923
H02.403.670.500_perinatology.csv H02.403.810.494_orthopedics.csv -89.03384447808064 -87.1790696733118 -85.8491241342008 -79.13644714793678 -71.3188173647911
H02.403.670.500_perinatology.csv H02.403.810.850_traumatology.csv -77.1336876701846 -73.70807516541394 -70.58124563309944 -63.10716240641069 -54.8873256898396
H02.403.670.500_perinatology.csv H02.403.670.400_neonatology.csv -69.66201275800171 -66.73810222009556 -65.75527346879136 -59.567241418618586 -51.98438046325201
H02.403.670.500_perinatology.csv H02.403.350_genetics_medical.csv -74.74371255323702 -72.00329217730203 -70.74341578147839 -63.93928711405632 -55.9936719397772
H02.403.670.500_perinatology.csv H02.403.810.425_neurosurgery.csv -83.17024415911473 -79.2955780126932 -77.84790519122696 -70.9364535339984 -62.929495928048574
H02.403.670.500_perinatology.csv H02.403.810.526_otolaryngology.csv -70.0589331209558 -65.20984426674916 -62.09248179806305 -55.12951698636342 -47.34167549449603
H02.403.670.500_perinatology.csv H02.403.720.500_epidemiology.csv -76.34169329454964 -74.2944908039486 -73.70368426330484 -67.26974254460221 -59.33072834204861
H02.403.670.500_perinatology.csv H02.403.650_pathology.csv -70.8100942776095 -66.51580998498818 -63.50028983801638 -56.49273434330374 -48.720256148294844
H02.403.670.500_perinatology.csv H02.403.066_anesthesiology.csv -88.63051815863228 -87.71578219133168 -86.95541024602578 -79.70311950781107 -71.22273863092691
H02.403.670.500_perinatology.csv H02.403.429.405_gastroenterology.csv -71.66209881770625 -68.15565246138493 -65.11343943663809 -57.8928497959367 -49.826056054660846
H02.403.670.500_perinatology.csv H02.403.763.750_gynecology.csv -69.59811439012739 -66.9231365867498 -65.19920922751534 -58.6761280693516 -51.0079741407189
H02.403.670.500_perinatology.csv H02.403.225_dermatology.csv -68.97753019863251 -64.09944093437228 -60.616665724289426 -53.28003383193153 -45.43923140393874
H02.403.670.500_perinatology.csv H02.403.720.750_preventive_medicine.csv -76.94306652732425 -74.44795320991201 -72.71106158755035 -65.8073917197266 -57.78604923827142
H02.403.670.500_perinatology.csv H02.403.429.675_pulmonary_medicine.csv -77.32817364573576 -74.55600561948255 -72.21763289946523 -64.92417290808774 -56.60297037780332
H02.403.670.500_perinatology.csv H02.403.810.450_obstetrics.csv -69.27990482760784 -67.81711148233616 -68.17696360367742 -62.39004937899521 -54.733195377703204
H02.403.670.500_perinatology.csv H02.403.429.445_hematology.csv -77.17535991826887 -74.30252121177186 -72.29828092918221 -65.12581476968762 -56.91691759529567
H02.403.670.500_perinatology.csv H02.403.645_palliative_medicine.csv -79.90908369592687 -77.73135266744544 -75.24754940105258 -68.06065778526849 -59.81273216195576
H02.403.670.500_perinatology.csv H02.403.340.500_family_practice.csv -74.49439161872944 -73.20273475590533 -72.33802746980653 -65.99051277892809 -57.838311385693515
H02.403.670.500_perinatology.csv H02.403.429_internal_medicine.csv -73.69420933877949 -71.42999397383525 -69.04273626315145 -61.84928263397167 -53.74816057506763
H02.403.670.500_perinatology.csv H02.403.810_specialties_surgical.csv -88.23558014066597 -86.77478421002262 -84.16322703644926 -77.13629049660426 -68.76793829119192
H02.403.670.500_perinatology.csv H02.403.670_pediatrics.csv -72.85782358610625 -70.09479100520858 -68.60964076880515 -61.76989432271028 -53.766752937079445
H02.403.670.500_perinatology.csv H02.403.810.300_general_surgery.csv -79.2607743882147 -76.23991456267845 -74.03019216949971 -66.88020221470205 -58.757441109344924
H02.403.670.500_perinatology.csv H02.403.909_venereology.csv -80.65233059587466 -79.08562807479197 -79.41561796995668 -73.40864927143585 -65.94998826472123
H02.403.670.500_perinatology.csv H02.403.044_allergy_and_immunology.csv -73.6704569012779 -70.93949919435599 -71.24591003744199 -65.80615786699349 -59.26095189003211
H02.403.670.500_perinatology.csv H02.403.500_military_medicine.csv -80.80020706870782 -89.00905177648212 -90.28966753235751 -83.16045162163596 -73.91997005506954
H02.403.670.500_perinatology.csv H02.403.680.600_rehabilitation.csv -82.73796482780224 -80.47662047892872 -79.21101558900274 -72.35817140660913 -64.49254337786658
H02.403.670.500_perinatology.csv H02.403.740.500_nuclear_medicine.csv -92.46088235506636 -92.3547171442846 -92.02004943416878 -85.39045495537724 -77.24907643858637
H02.403.670.500_perinatology.csv H02.403.810.803_thoracic_surgery.csv -87.07014889553994 -84.15728381930043 -82.31388619534037 -74.97646064424401 -66.60118787944121
H02.403.670.500_perinatology.csv H02.403.810.860_urology.csv -71.44945058310601 -67.93921273686465 -65.14036351557608 -58.09946802263766 -50.14218347434074
H02.403.670.500_perinatology.csv H02.403.429.163_cardiology.csv -78.52609320814241 -75.41954893845252 -73.27613344293678 -66.01021730936564 -57.7845258905949
H02.403.670.500_perinatology.csv H02.403.879_tropical_medicine.csv -75.9144755506681 -72.88254823149515 -71.10608617489953 -64.13164067020115 -55.841769311223736
H02.403.670.500_perinatology.csv H02.403.680_physical_and_rehabilitation_medicine.csv -66.76562575584336 -62.094828276075 -58.73321392825564 -51.3043311789997 -44.485167365878745
H02.403.670.500_perinatology.csv H02.403.429.323_endocrinology.csv -72.73996170934147 -69.8048765494274 -67.57960747596705 -60.49740905476724 -52.468316927142794
H02.403.670.500_perinatology.csv H02.403.074_bariatric_medicine.csv -93.7512917365446 -93.01447922480713 -91.8849632538934 -84.66146413790185 -76.31076444830042
H02.403.670.500_perinatology.csv H02.403.690.150_community_psychiatry.csv -94.54906547015842 -94.97532515770817 -96.22507464058961 -90.02847996395538 -81.86596602743124
