Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.670_pediatrics.csv H02.403.340_general_practice.csv -72.38417507426058 -72.62003244891591 -72.37914495938146 -66.49130453065378 -58.07429922174499
H02.403.670_pediatrics.csv H02.403.429.515_medical_oncology.csv -71.76744375808694 -67.93318118987105 -64.52239994155752 -57.31606541859026 -49.402560973437055
H02.403.670_pediatrics.csv H02.403.330_forensic_medicine.csv -66.73239295610092 -63.57726934069416 -61.231551616310014 -53.96459448618367 -46.51713681679027
H02.403.670_pediatrics.csv H02.403.810.468_ophthalmology.csv -75.08925267616985 -71.47637738509655 -68.94596182032693 -61.73020845550773 -53.53534099172027
H02.403.670_pediatrics.csv H02.403.810.788_surgery_plastic.csv -88.32302416738972 -86.70507505210365 -84.68427387819898 -77.57658721854241 -69.46870615795491
H02.403.670_pediatrics.csv H02.403.429.480_infectious_disease_medicine.csv -82.34137676331957 -81.04597789972233 -80.88700253525252 -74.56803055186711 -66.53729346563878
H02.403.670_pediatrics.csv H02.403.600_neurology.csv -74.3997931057534 -71.06716558168402 -68.89165721778002 -61.81103405598328 -53.68188763822025
H02.403.670_pediatrics.csv H02.403.763_reproductive_medicine.csv -90.95527672926033 -89.44769330738342 -87.41537323281186 -80.55255732124567 -72.38589407382261
H02.403.670_pediatrics.csv H02.403.690_psychiatry.csv -74.01584024604196 -73.41369201989036 -73.0406999475867 -66.59531348479233 -58.54264375019255
H02.403.670_pediatrics.csv H02.403.429.730_rheumatology.csv -74.52125307223885 -71.7657879745945 -69.96393535086511 -62.9745554842157 -54.81934059382607
H02.403.670_pediatrics.csv H02.403.740_radiology.csv -75.08758013735456 -71.5046388604591 -68.55941062944564 -61.26302579148691 -53.223388413602116
H02.403.670_pediatrics.csv H02.403.044.500_immunochemistry.csv -77.9036389425449 -75.53504719568758 -73.75490336685323 -67.03640221854998 -59.017826390851305
H02.403.670_pediatrics.csv H02.403.429.580_nephrology.csv -74.66504968163562 -72.1161299211949 -69.77905988098475 -62.673703024019225 -54.49186157794883
H02.403.670_pediatrics.csv H02.403.670.500_perinatology.csv -71.18305139698656 -68.6889471324252 -67.01316478284082 -60.29329302684784 -52.336702125673504
H02.403.670_pediatrics.csv H02.403.830_sports_medicine.csv -89.95233877235361 -88.32210275874189 -87.8424388422837 -81.10349635918071 -72.73122582222551
H02.403.670_pediatrics.csv H02.403.355_geriatrics.csv -72.42543706592795 -68.577192653218 -65.28654373441073 -57.86179894535923 -49.713252989134844
H02.403.670_pediatrics.csv H02.403.810.494_orthopedics.csv -88.79548019166361 -86.99674792528859 -85.45803660445425 -78.8070684177587 -70.93824169026783
H02.403.670_pediatrics.csv H02.403.810.850_traumatology.csv -76.99524303175158 -73.38338764154925 -70.15996772889812 -62.754888091727935 -54.55643141232495
H02.403.670_pediatrics.csv H02.403.670.400_neonatology.csv -70.7014210451986 -67.81363705640504 -66.1687587478779 -59.5380337811871 -51.72866057104146
H02.403.670_pediatrics.csv H02.403.350_genetics_medical.csv -73.95887166464205 -71.58684709033798 -70.25034230084648 -63.55087040361673 -55.60692405197581
H02.403.670_pediatrics.csv H02.403.810.425_neurosurgery.csv -83.10902027255995 -79.2553937767762 -77.64987061306118 -70.72223170716096 -62.684654949759576
H02.403.670_pediatrics.csv H02.403.810.526_otolaryngology.csv -69.35873922822739 -65.02897326813894 -61.83408174570669 -54.82295061104214 -47.05231196838363
H02.403.670_pediatrics.csv H02.403.720.500_epidemiology.csv -75.69720540771199 -74.27042697995834 -73.53340959694675 -67.06597260110304 -59.10655837512192
H02.403.670_pediatrics.csv H02.403.650_pathology.csv -70.80690085088304 -66.64888072812015 -63.416329195562085 -56.32317014200614 -48.49468128602833
H02.403.670_pediatrics.csv H02.403.066_anesthesiology.csv -88.78098900820514 -87.42236911668185 -86.26335532011119 -79.09906784166407 -70.70048362830615
H02.403.670_pediatrics.csv H02.403.429.405_gastroenterology.csv -71.47133861686042 -67.89224689681987 -64.78351912408722 -57.612143055366495 -49.550084846200676
H02.403.670_pediatrics.csv H02.403.763.750_gynecology.csv -72.15428236581384 -68.60090822465087 -65.67344304407352 -58.771880301520476 -50.880130518728855
H02.403.670_pediatrics.csv H02.403.225_dermatology.csv -68.30202317359853 -63.84433543142039 -60.297230698498225 -53.01423576812688 -45.17287239898863
H02.403.670_pediatrics.csv H02.403.720.750_preventive_medicine.csv -76.6756287025007 -74.27426520814406 -72.3799638139418 -65.49258359991026 -57.4596349625632
H02.403.670_pediatrics.csv H02.403.429.675_pulmonary_medicine.csv -76.78379672654563 -73.93604634222385 -71.68407374480809 -64.56244528792479 -56.330469125694535
H02.403.670_pediatrics.csv H02.403.810.450_obstetrics.csv -73.29807515606939 -71.12999532165551 -69.47626445131948 -62.71102776357297 -54.684907319221566
H02.403.670_pediatrics.csv H02.403.429.445_hematology.csv -76.8046141009334 -74.05013008284152 -71.9204426393312 -64.78390587822375 -56.58018672703548
H02.403.670_pediatrics.csv H02.403.645_palliative_medicine.csv -79.77441160902093 -77.69493452298528 -74.7646666580505 -67.60299113134842 -59.38722474934973
H02.403.670_pediatrics.csv H02.403.340.500_family_practice.csv -72.27433220692518 -71.31516558740623 -71.19157177688535 -65.39749564952626 -57.41842891571423
H02.403.670_pediatrics.csv H02.403.429_internal_medicine.csv -73.15961139944729 -70.775449699665 -68.54171796728603 -61.5710937641949 -53.50716636339027
H02.403.670_pediatrics.csv H02.403.810_specialties_surgical.csv -87.60993536776304 -87.25266045363162 -84.23366855811811 -76.74964145115749 -68.19530771488239
H02.403.670_pediatrics.csv H02.403.670_pediatrics.csv -71.56191752538494 -69.08765686646834 -67.83335043798515 -61.237944479330515 -53.31808112096021
H02.403.670_pediatrics.csv H02.403.810.300_general_surgery.csv -79.16638119335248 -76.08324522797466 -73.69888993805841 -66.5549291684296 -58.4169396109681
H02.403.670_pediatrics.csv H02.403.909_venereology.csv -80.40247885359776 -78.61520665946196 -79.02536708406896 -73.40247988063287 -65.98184346905263
H02.403.670_pediatrics.csv H02.403.044_allergy_and_immunology.csv -73.33444109832716 -71.77405023665716 -72.3080832753963 -66.79856125576657 -59.80984878803039
H02.403.670_pediatrics.csv H02.403.500_military_medicine.csv -82.55554823254542 -92.15310393444068 -90.25742776756066 -82.52701938478364 -73.35698030958099
H02.403.670_pediatrics.csv H02.403.680.600_rehabilitation.csv -82.22582981358566 -80.06092280039357 -78.73015013978856 -71.9601376939554 -64.05586534122651
H02.403.670_pediatrics.csv H02.403.740.500_nuclear_medicine.csv -92.10401880589075 -91.88925850346162 -91.45915384931685 -84.80439594265772 -76.65985081996435
H02.403.670_pediatrics.csv H02.403.810.803_thoracic_surgery.csv -86.49706377507745 -83.43529440566864 -81.66330102883805 -74.47072453338438 -66.14636165545954
H02.403.670_pediatrics.csv H02.403.810.860_urology.csv -71.53694696038532 -68.04845580456525 -64.9856638704744 -57.863071360996734 -49.87413833092975
H02.403.670_pediatrics.csv H02.403.429.163_cardiology.csv -78.6210015163413 -75.31796469444662 -72.92380014259092 -65.6669471739624 -57.41960246284784
H02.403.670_pediatrics.csv H02.403.879_tropical_medicine.csv -75.07856992816613 -72.6016748651863 -70.56452082147842 -63.736259023927914 -55.43017563172382
H02.403.670_pediatrics.csv H02.403.680_physical_and_rehabilitation_medicine.csv -65.59521918684742 -61.35127310682595 -58.236819871053214 -50.8928930457721 -44.095362000268075
H02.403.670_pediatrics.csv H02.403.429.323_endocrinology.csv -73.0511870724645 -69.83765468240101 -67.24826504663501 -60.16169190047419 -52.13287279630757
H02.403.670_pediatrics.csv H02.403.074_bariatric_medicine.csv -92.30874476636002 -91.93179860962938 -91.21067187546272 -84.23269993019505 -75.84985335396043
H02.403.670_pediatrics.csv H02.403.690.150_community_psychiatry.csv -92.68881609446173 -93.94887162256191 -95.53902361860733 -89.53501614076403 -81.32773414766197
