Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.680.600_rehabilitation.csv H02.403.340_general_practice.csv -72.39605878592312 -71.71911511057581 -70.61767584290212 -63.65047749722473 -55.10327540591928
H02.403.680.600_rehabilitation.csv H02.403.429.515_medical_oncology.csv -71.21773440964414 -66.54553799397134 -62.30716700240417 -54.773299154774946 -46.98436707289712
H02.403.680.600_rehabilitation.csv H02.403.330_forensic_medicine.csv -66.88882686289509 -62.846662194409326 -59.184078418244354 -51.69148760031996 -44.38007831145957
H02.403.680.600_rehabilitation.csv H02.403.810.468_ophthalmology.csv -73.79447181866217 -69.85941096229656 -66.37530935138757 -58.9141086834845 -50.925209204516975
H02.403.680.600_rehabilitation.csv H02.403.810.788_surgery_plastic.csv -84.2476910981676 -82.8114165725221 -80.89943612479593 -73.87806058076725 -65.98720300545695
H02.403.680.600_rehabilitation.csv H02.403.429.480_infectious_disease_medicine.csv -84.01291993300573 -81.02363848148902 -78.58851724777455 -71.37595605176901 -63.330759550342734
H02.403.680.600_rehabilitation.csv H02.403.600_neurology.csv -73.42559233417758 -69.71012698925426 -66.47284424163095 -59.04847597600922 -51.078885034669696
H02.403.680.600_rehabilitation.csv H02.403.763_reproductive_medicine.csv -90.3796393900813 -87.603935526933 -84.09190537418068 -76.92265542503657 -68.87352992615939
H02.403.680.600_rehabilitation.csv H02.403.690_psychiatry.csv -72.68565007533715 -71.98367373324865 -70.66803465587464 -63.856574530769336 -55.85877911249366
H02.403.680.600_rehabilitation.csv H02.403.429.730_rheumatology.csv -73.66757028341063 -70.13863159606866 -67.28511104968936 -60.08740108599282 -52.1354830620966
H02.403.680.600_rehabilitation.csv H02.403.740_radiology.csv -74.35176350486567 -69.93539703407785 -66.07164243322391 -58.50514315066767 -50.618799196621445
H02.403.680.600_rehabilitation.csv H02.403.044.500_immunochemistry.csv -78.57838789915155 -74.72123286958976 -71.57936006352179 -64.24255040923944 -56.248243540164246
H02.403.680.600_rehabilitation.csv H02.403.429.580_nephrology.csv -74.74808535100765 -70.93989678734053 -67.32376461685163 -59.828514420698006 -51.828565030111406
H02.403.680.600_rehabilitation.csv H02.403.670.500_perinatology.csv -72.41758817257397 -68.45984803931276 -65.17092290168637 -57.703326076198245 -49.743774015257316
H02.403.680.600_rehabilitation.csv H02.403.830_sports_medicine.csv -88.00089069319881 -85.72634693293634 -84.14620063953612 -77.107212491324 -69.05274290990846
H02.403.680.600_rehabilitation.csv H02.403.355_geriatrics.csv -71.48902278514403 -66.88726853386937 -62.74729906248338 -55.19815991267142 -47.270962027089894
H02.403.680.600_rehabilitation.csv H02.403.810.494_orthopedics.csv -84.35917472903752 -83.17654827686431 -81.77837171944114 -75.06664913774145 -67.38176125546448
H02.403.680.600_rehabilitation.csv H02.403.810.850_traumatology.csv -75.0753539136659 -71.22332860049129 -67.44905912554289 -59.86653445055689 -51.85285070229667
H02.403.680.600_rehabilitation.csv H02.403.670.400_neonatology.csv -72.80884203249583 -68.28000211847467 -64.64061736058767 -57.13195233566789 -49.22840489275764
H02.403.680.600_rehabilitation.csv H02.403.350_genetics_medical.csv -74.00835554370256 -70.84067304681274 -67.9773855925352 -60.71175471484266 -52.895777743666905
H02.403.680.600_rehabilitation.csv H02.403.810.425_neurosurgery.csv -80.78840703756183 -77.13528786656362 -74.70084234672268 -67.44049150009126 -59.53944264218525
H02.403.680.600_rehabilitation.csv H02.403.810.526_otolaryngology.csv -68.38706695913787 -63.829826686186195 -59.824615614689556 -52.52244617666222 -44.83717331909308
H02.403.680.600_rehabilitation.csv H02.403.720.500_epidemiology.csv -76.66443599355974 -73.91058486589174 -71.43871526009855 -64.19602733151372 -56.23491415072896
H02.403.680.600_rehabilitation.csv H02.403.650_pathology.csv -70.2517930037811 -65.40426836112258 -61.30527444755061 -53.8594466701298 -46.135080101384744
H02.403.680.600_rehabilitation.csv H02.403.066_anesthesiology.csv -86.6150424595045 -84.71916169774482 -82.65284445046784 -75.33533043347825 -67.18872180461398
H02.403.680.600_rehabilitation.csv H02.403.429.405_gastroenterology.csv -71.41054159488294 -66.77980995541651 -62.50181315607198 -55.01001002956988 -47.11686587173386
H02.403.680.600_rehabilitation.csv H02.403.763.750_gynecology.csv -72.12912932503141 -67.63809731763683 -63.634157460407366 -56.19651288826533 -48.3460512508014
H02.403.680.600_rehabilitation.csv H02.403.225_dermatology.csv -67.86157430188027 -62.57543886272788 -58.17509489890707 -50.65619633046007 -42.99376975349442
H02.403.680.600_rehabilitation.csv H02.403.720.750_preventive_medicine.csv -76.35203100702785 -73.0065935378549 -69.87439346848561 -62.5528194264314 -54.65081873485779
H02.403.680.600_rehabilitation.csv H02.403.429.675_pulmonary_medicine.csv -76.14167936511558 -72.57086659057285 -69.12556014373024 -61.650189911338835 -53.55919857152563
H02.403.680.600_rehabilitation.csv H02.403.810.450_obstetrics.csv -74.18882854866168 -70.55093286045269 -67.40576303373234 -59.95652656718074 -51.941192952847615
H02.403.680.600_rehabilitation.csv H02.403.429.445_hematology.csv -77.20200956116473 -73.06663274717958 -69.47517762757086 -61.88249383558962 -53.815319200165035
H02.403.680.600_rehabilitation.csv H02.403.645_palliative_medicine.csv -77.78074001237773 -75.1102589085246 -71.5845622612684 -64.48249352440202 -56.48283336465972
H02.403.680.600_rehabilitation.csv H02.403.340.500_family_practice.csv -72.17799085734762 -70.57208573499372 -69.1036387459848 -62.64163595936379 -54.72952612107564
H02.403.680.600_rehabilitation.csv H02.403.429_internal_medicine.csv -73.14597277312903 -69.83462757505814 -66.33383729533581 -58.96805201383847 -51.02361075110213
H02.403.680.600_rehabilitation.csv H02.403.810_specialties_surgical.csv -85.48136750547158 -83.88399311598745 -80.68746192325388 -73.41329972259621 -64.86469352560464
H02.403.680.600_rehabilitation.csv H02.403.670_pediatrics.csv -73.36779329864522 -69.71081387308396 -66.27586656128226 -58.74579309849114 -50.800825784399166
H02.403.680.600_rehabilitation.csv H02.403.810.300_general_surgery.csv -78.01344372323649 -74.17117224756834 -70.8837884529915 -63.47646493652701 -55.51545566658724
H02.403.680.600_rehabilitation.csv H02.403.909_venereology.csv -82.02301122914702 -79.48134916319704 -78.41114154440342 -71.4855331407014 -63.68064098969783
H02.403.680.600_rehabilitation.csv H02.403.044_allergy_and_immunology.csv -75.04384696384642 -71.90778665487653 -70.93155164323544 -63.77702911675559 -56.43408979987591
H02.403.680.600_rehabilitation.csv H02.403.500_military_medicine.csv -80.55938967321903 -88.25621711661816 -86.47380526902086 -78.30479472319634 -69.60411398834619
