Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.340_general_practice.csv -66.62512707821287 -63.94055092125614 -59.20309535816193 -52.444574501191276 -45.29274127139666
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.515_medical_oncology.csv -63.1342995371314 -57.51155444931866 -51.95870069789826 -45.25885004564307 -38.69220345775926
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.330_forensic_medicine.csv -59.290104804821276 -54.88181701314344 -49.769155012336235 -42.80379158678683 -36.55805126889882
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.468_ophthalmology.csv -65.96228073643539 -60.57685166184712 -55.44449453417582 -48.70364890268162 -41.93365053869568
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.788_surgery_plastic.csv -76.281739670716 -72.29432223390617 -67.79190667434044 -61.112200563241586 -54.33626561821683
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -75.70363514563132 -70.95438575199495 -65.80827147700795 -59.02178647407802 -52.145664128116344
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.600_neurology.csv -66.11586746004231 -60.724032541716376 -55.5916396945178 -48.820474129352384 -42.062018681802506
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.763_reproductive_medicine.csv -80.11042284573497 -75.2050003530639 -70.12670898623614 -63.50713664367967 -56.690277555953514
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.690_psychiatry.csv -67.4410267234161 -64.02755305650732 -59.62848837071774 -52.9780200412941 -46.067048167854075
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.730_rheumatology.csv -66.48393099765033 -61.47560305139618 -56.39834705420434 -49.66460875846243 -42.908380438651015
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.740_radiology.csv -66.09991769858306 -60.18300299361206 -55.04752032469901 -48.32468330492206 -41.6752100954931
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.044.500_immunochemistry.csv -70.16929081663943 -64.95068406329956 -59.841324842658445 -53.12093427753968 -46.32725148541034
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.580_nephrology.csv -67.27741139131793 -61.59182432905148 -56.180591597497674 -49.42315893028192 -42.66879113811438
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.670.500_perinatology.csv -65.25365507588124 -59.65756236533497 -54.425161132425 -47.67283308738488 -40.96003357528126
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.830_sports_medicine.csv -79.03079821081342 -74.86643636470549 -70.37789302137682 -63.70791909849658 -56.80499870106811
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.355_geriatrics.csv -63.70453689310118 -57.84895507958911 -52.36391430929014 -45.602048635543696 -38.91918367571234
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.494_orthopedics.csv -76.93499435821133 -73.14563047298527 -68.72264961216105 -62.183177173018564 -55.474532886419404
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.850_traumatology.csv -67.247903154558 -61.65263580925521 -56.25107611379845 -49.45031112739561 -42.68901094414171
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.670.400_neonatology.csv -65.16002758889493 -59.14717723304555 -53.86936454044856 -47.16736271102284 -40.52568815370779
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.350_genetics_medical.csv -66.57947666045355 -61.823682439717075 -56.85456015440154 -50.17551148600001 -43.539636025426944
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.425_neurosurgery.csv -72.81900441890562 -67.33864684778506 -62.559193932271185 -55.83017237755252 -49.05311851837838
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.526_otolaryngology.csv -61.08904120745562 -55.425935159777026 -50.05453002118578 -43.46896900767045 -36.949709007968174
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.720.500_epidemiology.csv -69.42999387367 -64.8324585531239 -59.830466544911594 -53.07977455211491 -46.316022062347145
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.650_pathology.csv -62.44465613213864 -56.61197497410688 -51.17712940499253 -44.52178414616371 -38.000190844353334
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.066_anesthesiology.csv -78.3889453975541 -73.84475304565699 -69.09113809077913 -62.23486448454702 -55.28552779142997
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.405_gastroenterology.csv -63.69012759172388 -57.709718963620446 -52.168791954178275 -45.45332142444959 -38.79609630956866
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.763.750_gynecology.csv -64.11413688854702 -58.5080937991928 -53.08368206242759 -46.44495480127163 -39.83417355394735
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.225_dermatology.csv -60.024950431695565 -54.162106850625584 -48.54170004745337 -41.860129952715795 -35.40504674780487
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.720.750_preventive_medicine.csv -68.7839611344874 -63.61050371350841 -58.45025604945155 -51.717484929139566 -45.00781191762133
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.675_pulmonary_medicine.csv -68.6023569258068 -63.091333117651274 -57.772944999100034 -50.97518823409737 -44.13000411285267
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.450_obstetrics.csv -66.77932187245283 -61.44001631649829 -56.29204591711883 -49.54236273945407 -42.77415426642655
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.445_hematology.csv -69.03209619345796 -63.36096346174093 -57.94432630170101 -51.115495088274116 -44.30213309734054
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.645_palliative_medicine.csv -69.73942356863266 -65.19911868360508 -59.95350036864161 -53.32750605477966 -46.52477258327659
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.340.500_family_practice.csv -67.0985786862612 -63.53370544425381 -58.607470900688114 -51.8625222614851 -45.10657660953399
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429_internal_medicine.csv -65.86504280144001 -60.95812907315217 -55.57350910513888 -48.81076898525083 -42.059519439506595
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810_specialties_surgical.csv -77.18555549674157 -73.03017642491245 -67.33269424274461 -60.53252379057789 -53.38073078414608
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.670_pediatrics.csv -65.91814559277044 -60.50496431803151 -55.258501048798855 -48.511628539056225 -41.828032617454525
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.300_general_surgery.csv -69.92502111524226 -64.34192749152375 -59.18803316767393 -52.45044326985318 -45.7039869379428
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.909_venereology.csv -75.29471108162646 -70.99291962479192 -66.42457457107228 -59.66445434991337 -52.77445632106077
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.044_allergy_and_immunology.csv -68.4358032565681 -63.88480664068171 -59.599783656318586 -52.887810613478315 -46.561426839618505
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.500_military_medicine.csv -71.16548242007588 -75.08761909495337 -71.59393232855192 -64.36336917514262 -57.21188371123788
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.680.600_rehabilitation.csv -71.89710440407472 -67.82488889856353 -63.33530644885423 -56.7637150934064 -50.13292033416447
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.740.500_nuclear_medicine.csv -80.49907479168132 -77.75250961992288 -73.5142436372135 -66.8236394018615 -59.954431324696586
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.803_thoracic_surgery.csv -76.04100267614938 -70.2463787336655 -65.3780904170769 -58.58213158285894 -51.72235026856037
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.810.860_urology.csv -63.63619127269672 -57.818208682052905 -52.36313907986853 -45.68330033923714 -39.07193360070657
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.163_cardiology.csv -69.28251041190082 -63.645323981377324 -58.52866854193396 -51.71846279643933 -44.92707277507643
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.879_tropical_medicine.csv -68.24098661828812 -62.94140064396054 -57.234806272495206 -50.40732590447204 -43.44630986403757
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.680_physical_and_rehabilitation_medicine.csv -56.29843741556433 -51.089410874461564 -46.343028595194504 -39.930603472414354 -34.51396304143607
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.429.323_endocrinology.csv -64.92885032446023 -59.55128859724372 -54.220843869358916 -47.48582323552388 -40.82687531976114
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.074_bariatric_medicine.csv -82.8999437956171 -78.03044017605083 -72.9551140623503 -66.18418645254818 -59.26445634396458
H02.403.680_physical_and_rehabilitation_medicine.csv H02.403.690.150_community_psychiatry.csv -84.5829869041052 -81.4574486185479 -77.31406203784836 -70.57598352957555 -63.611860234939584
