Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.690.150_community_psychiatry.csv H02.403.340_general_practice.csv -74.38889039695938 -74.07976094318093 -73.4140530142361 -66.52164504064497 -57.79376184318091
H02.403.690.150_community_psychiatry.csv H02.403.429.515_medical_oncology.csv -74.31235774701297 -69.48892180092611 -65.42414311103985 -57.59922991889165 -49.38182528657905
H02.403.690.150_community_psychiatry.csv H02.403.330_forensic_medicine.csv -68.83542032852822 -65.20246133728705 -62.127940122724354 -54.386644745249555 -46.659467929096486
H02.403.690.150_community_psychiatry.csv H02.403.810.468_ophthalmology.csv -77.85275612754245 -73.42612145981127 -69.78378551173894 -61.91489137312222 -53.45694673262113
H02.403.690.150_community_psychiatry.csv H02.403.810.788_surgery_plastic.csv -91.3738538057004 -88.62047089680449 -85.74628028091806 -77.88417506184896 -69.36565848322621
H02.403.690.150_community_psychiatry.csv H02.403.429.480_infectious_disease_medicine.csv -84.70148886236599 -82.8319804087649 -81.79339865029917 -74.66045182664567 -66.36057337292196
H02.403.690.150_community_psychiatry.csv H02.403.600_neurology.csv -77.59441766561403 -73.1997083958797 -69.88798602614273 -62.047807517567755 -53.613043979779725
H02.403.690.150_community_psychiatry.csv H02.403.763_reproductive_medicine.csv -92.99831044367959 -90.86297675373974 -88.24618043981974 -80.7902650776426 -72.29444662808164
H02.403.690.150_community_psychiatry.csv H02.403.690_psychiatry.csv -76.07057340261903 -75.31108295114866 -74.10368089086562 -67.01578512699905 -58.58197207271931
H02.403.690.150_community_psychiatry.csv H02.403.429.730_rheumatology.csv -77.55700535229164 -73.97275068785945 -70.92870360321605 -63.1823844193819 -54.73859448388455
H02.403.690.150_community_psychiatry.csv H02.403.740_radiology.csv -78.33778772414446 -73.28538748338029 -69.45102543979269 -61.50380712952398 -53.17004795590987
H02.403.690.150_community_psychiatry.csv H02.403.044.500_immunochemistry.csv -80.05441237976345 -76.9747233207863 -74.53219126249626 -67.19551545802646 -58.90374462946369
H02.403.690.150_community_psychiatry.csv H02.403.429.580_nephrology.csv -78.12435369912535 -74.2165965678986 -70.73964144325416 -62.86750960742349 -54.424062584868544
H02.403.690.150_community_psychiatry.csv H02.403.670.500_perinatology.csv -74.42402893771383 -70.9638169649417 -68.2667743386574 -60.65938583017488 -52.29353709079743
H02.403.690.150_community_psychiatry.csv H02.403.830_sports_medicine.csv -93.5121865979961 -90.24690318306068 -88.88558239258592 -81.20025997653666 -72.52110189218936
H02.403.690.150_community_psychiatry.csv H02.403.355_geriatrics.csv -74.97316931502237 -70.00252283711085 -65.94972678969008 -58.02325231056468 -49.65670228227666
H02.403.690.150_community_psychiatry.csv H02.403.810.494_orthopedics.csv -92.04812431530632 -89.35827925776609 -86.91006410126413 -79.24385193187474 -70.8667114624701
H02.403.690.150_community_psychiatry.csv H02.403.810.850_traumatology.csv -80.21789935622456 -75.24001744137361 -71.0625980133945 -62.97538426646621 -54.48152213615954
H02.403.690.150_community_psychiatry.csv H02.403.670.400_neonatology.csv -74.74603425473002 -70.59669776902366 -67.57813668904595 -59.944443003001915 -51.701897628550675
H02.403.690.150_community_psychiatry.csv H02.403.350_genetics_medical.csv -76.9937586245969 -73.94731889313306 -71.39299088407341 -63.79297539445755 -55.52014251673246
H02.403.690.150_community_psychiatry.csv H02.403.810.425_neurosurgery.csv -86.65922058463741 -81.61541766077025 -78.95977043869134 -71.17671029390691 -62.71572627975161
H02.403.690.150_community_psychiatry.csv H02.403.810.526_otolaryngology.csv -72.09795162310891 -67.02156461567355 -62.990825607041714 -55.28231104375049 -47.12807029314819
H02.403.690.150_community_psychiatry.csv H02.403.720.500_epidemiology.csv -77.86309969654407 -75.85617977120975 -74.4087638492801 -67.3059559145332 -59.03863333358266
H02.403.690.150_community_psychiatry.csv H02.403.650_pathology.csv -73.45026951955414 -68.36151589949108 -64.4113863958021 -56.64499121058724 -48.49363502082874
H02.403.690.150_community_psychiatry.csv H02.403.066_anesthesiology.csv -92.91191550297188 -89.76430077586599 -87.28288952637814 -79.20794492705167 -70.49461760213336
H02.403.690.150_community_psychiatry.csv H02.403.429.405_gastroenterology.csv -74.51459774264794 -69.7358305990193 -65.60990003169015 -57.806532474967746 -49.48215902268136
H02.403.690.150_community_psychiatry.csv H02.403.763.750_gynecology.csv -74.38207429693976 -70.25550052575805 -66.6615061433433 -59.07478491651209 -50.81881197921698
H02.403.690.150_community_psychiatry.csv H02.403.225_dermatology.csv -70.568962734965 -65.28646953120104 -60.97837566592901 -53.14963474236103 -45.09405992037129
H02.403.690.150_community_psychiatry.csv H02.403.720.750_preventive_medicine.csv -79.45800014793107 -75.98964090586833 -73.21457939450984 -65.6441314691873 -57.35005849667854
H02.403.690.150_community_psychiatry.csv H02.403.429.675_pulmonary_medicine.csv -79.96551824113466 -75.89689738417295 -72.64681879536452 -64.78489296118906 -56.252064627617735
H02.403.690.150_community_psychiatry.csv H02.403.810.450_obstetrics.csv -76.24892953261948 -73.17543116064226 -70.6423702986982 -63.0767432138656 -54.63207810581812
H02.403.690.150_community_psychiatry.csv H02.403.429.445_hematology.csv -80.1465119696511 -76.17687903604977 -72.84958310203271 -64.9418964321492 -56.45205395531709
H02.403.690.150_community_psychiatry.csv H02.403.645_palliative_medicine.csv -81.7188635753483 -78.4666292131833 -75.15581430161075 -67.68038218485957 -59.23360872968489
H02.403.690.150_community_psychiatry.csv H02.403.340.500_family_practice.csv -73.48671607390965 -71.81634096135058 -71.32036008344618 -65.43196743592719 -57.297588031231356
H02.403.690.150_community_psychiatry.csv H02.403.429_internal_medicine.csv -76.0201752725266 -72.84134869992617 -69.45091379151673 -61.76380420807631 -53.43540342850629
H02.403.690.150_community_psychiatry.csv H02.403.810_specialties_surgical.csv -89.94865778536882 -87.8416920200898 -84.59734551577291 -76.97806369777898 -68.0398171687406
H02.403.690.150_community_psychiatry.csv H02.403.670_pediatrics.csv -75.72253924206925 -72.27379684329479 -69.32683738441781 -61.650900678371066 -53.32770784434005
H02.403.690.150_community_psychiatry.csv H02.403.810.300_general_surgery.csv -82.30538791055801 -77.86824862561798 -74.60747537344918 -66.7542174658247 -58.318510552171006
H02.403.690.150_community_psychiatry.csv H02.403.909_venereology.csv -82.72283921534509 -80.637446685064 -80.05207923278624 -73.49855584622632 -65.73307380836191
H02.403.690.150_community_psychiatry.csv H02.403.044_allergy_and_immunology.csv -76.25045506444951 -74.99699483313326 -74.9013817781476 -67.99396229693652 -60.055839504244396
H02.403.690.150_community_psychiatry.csv H02.403.500_military_medicine.csv -81.791299272852 -90.29963245379429 -89.86185684991982 -82.1283783766947 -73.00261598119381
H02.403.690.150_community_psychiatry.csv H02.403.680.600_rehabilitation.csv -84.87347298594129 -81.95132360627213 -79.88689485739538 -72.24562461905647 -63.96217593004357
H02.403.690.150_community_psychiatry.csv H02.403.740.500_nuclear_medicine.csv -94.48387239979994 -93.15280939798242 -92.16343490191787 -84.94129551750446 -76.46544384355482
H02.403.690.150_community_psychiatry.csv H02.403.810.803_thoracic_surgery.csv -89.9068297629284 -85.28713406833182 -82.49499035589807 -74.55950720592826 -65.98248808243332
H02.403.690.150_community_psychiatry.csv H02.403.810.860_urology.csv -74.61863341148411 -69.8442664212449 -65.93107842492437 -58.127885877727884 -49.86170283944855
H02.403.690.150_community_psychiatry.csv H02.403.429.163_cardiology.csv -81.62845321866352 -77.07897048319334 -73.752756840073 -65.79795135419486 -57.308809197359956
H02.403.690.150_community_psychiatry.csv H02.403.879_tropical_medicine.csv -76.85479773388562 -74.03985122181751 -71.50609454659033 -63.92110184805895 -55.32010567977434
H02.403.690.150_community_psychiatry.csv H02.403.680_physical_and_rehabilitation_medicine.csv -67.35566113918483 -62.54209930354973 -58.732017884371416 -51.00081488070371 -44.00950369684567
H02.403.690.150_community_psychiatry.csv H02.403.429.323_endocrinology.csv -75.76918886652598 -71.77421353187518 -68.2455870554428 -60.43200720280607 -52.09616384166511
H02.403.690.150_community_psychiatry.csv H02.403.074_bariatric_medicine.csv -96.11336291942997 -94.29539641989524 -92.06431702063064 -84.32659913311974 -75.6458215517406
H02.403.690.150_community_psychiatry.csv H02.403.690.150_community_psychiatry.csv -93.11518773268885 -93.69315049329688 -95.3070602208488 -89.14617818712266 -80.96294606672906
