Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.690_psychiatry.csv H02.403.340_general_practice.csv -72.95120591452638 -71.50404851358905 -69.34470756599814 -62.79630111682455 -54.55463835180737
H02.403.690_psychiatry.csv H02.403.429.515_medical_oncology.csv -72.4250882553848 -66.6325663107915 -61.854748335596724 -54.3866065330501 -46.640801106998545
H02.403.690_psychiatry.csv H02.403.330_forensic_medicine.csv -66.10119511102855 -62.052183222476685 -58.56637568413195 -51.41277612405355 -44.009673669129356
H02.403.690_psychiatry.csv H02.403.810.468_ophthalmology.csv -75.18548816639395 -70.0847296192671 -66.02284692111417 -58.50754472581586 -50.515497648571156
H02.403.690_psychiatry.csv H02.403.810.788_surgery_plastic.csv -88.59600076254087 -84.62416088336188 -80.93359363848849 -73.50901829837592 -65.5189749942384
H02.403.690_psychiatry.csv H02.403.429.480_infectious_disease_medicine.csv -84.85972378527704 -81.14981132327635 -78.23396557427371 -70.8829927856684 -62.84848372302809
H02.403.690_psychiatry.csv H02.403.600_neurology.csv -74.76229089373336 -69.87473759798759 -66.100073123339 -58.63407088300837 -50.67103036346695
H02.403.690_psychiatry.csv H02.403.763_reproductive_medicine.csv -90.79212450917818 -87.36139293106143 -83.43815095560797 -76.2217305957482 -68.25816991476488
H02.403.690_psychiatry.csv H02.403.690_psychiatry.csv -70.01351395978192 -69.50894251329225 -68.84363248679422 -62.79167721998668 -55.12913936085983
H02.403.690_psychiatry.csv H02.403.429.730_rheumatology.csv -75.45955254844777 -71.084901472093 -67.26100837575416 -59.750917676554806 -51.72945472946057
H02.403.690_psychiatry.csv H02.403.740_radiology.csv -75.91399990404108 -70.06125099384599 -65.60712623183797 -58.051906054615884 -50.2115709614701
H02.403.690_psychiatry.csv H02.403.044.500_immunochemistry.csv -79.17937927793427 -74.70626056193139 -71.0757358185916 -63.75643623780221 -55.80748245491788
H02.403.690_psychiatry.csv H02.403.429.580_nephrology.csv -76.32925746341742 -71.25349676741472 -66.95472002998271 -59.410301259675435 -51.42266885208922
H02.403.690_psychiatry.csv H02.403.670.500_perinatology.csv -73.39203832327405 -68.46425964157304 -64.67594139220252 -57.3273527907812 -49.41014230726171
H02.403.690_psychiatry.csv H02.403.830_sports_medicine.csv -89.94762774900762 -86.1454450129953 -83.94548373081358 -76.72764611030567 -68.52515201863999
H02.403.690_psychiatry.csv H02.403.355_geriatrics.csv -73.0351450440099 -67.12196513194476 -62.41038252152462 -54.81692368464709 -46.90620326019501
H02.403.690_psychiatry.csv H02.403.810.494_orthopedics.csv -89.12736897633864 -85.20782602534187 -81.93656058944653 -74.73799238879616 -66.93486818960928
H02.403.690_psychiatry.csv H02.403.810.850_traumatology.csv -77.57605854801676 -71.83978408928613 -67.13148912474566 -59.45923475981681 -51.4616646693542
