Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.720.500_epidemiology.csv H02.403.340_general_practice.csv -74.88266640949308 -75.53801007841531 -78.79731351892806 -72.99126068958378 -63.85757262452484
H02.403.720.500_epidemiology.csv H02.403.429.515_medical_oncology.csv -73.73398410722088 -70.84912852752866 -69.96265872010376 -62.90261235319036 -54.38118266719126
H02.403.720.500_epidemiology.csv H02.403.330_forensic_medicine.csv -68.62407208405541 -66.48097155448927 -66.04767752803603 -59.05990354094319 -51.15453824666545
H02.403.720.500_epidemiology.csv H02.403.810.468_ophthalmology.csv -77.98840978764856 -75.15921226837959 -74.77913523438608 -67.7188546429691 -58.941522947464144
H02.403.720.500_epidemiology.csv H02.403.810.788_surgery_plastic.csv -91.19529589037602 -90.75811388711276 -91.87974199009065 -85.24966443818954 -76.5231920019308
H02.403.720.500_epidemiology.csv H02.403.429.480_infectious_disease_medicine.csv -83.73194649760154 -82.71719401080043 -86.47449160743709 -81.15414893114215 -72.90140430496186
H02.403.720.500_epidemiology.csv H02.403.600_neurology.csv -77.39040453817313 -74.54617416833695 -74.6930266901518 -67.77813905211501 -59.07360037605435
H02.403.720.500_epidemiology.csv H02.403.763_reproductive_medicine.csv -94.77075461758912 -94.48827031104129 -94.88804867560792 -88.37159436422989 -79.69718621386579
H02.403.720.500_epidemiology.csv H02.403.690_psychiatry.csv -76.40928983634544 -76.43406503448435 -78.96359188448103 -73.2246811762384 -64.66439737118952
H02.403.720.500_epidemiology.csv H02.403.429.730_rheumatology.csv -77.27639879803678 -74.75944620622307 -75.59216773806561 -69.02973331674235 -60.36743521285144
H02.403.720.500_epidemiology.csv H02.403.740_radiology.csv -78.2203898483249 -75.65014004865245 -74.72514738932044 -67.4042378022217 -58.66704624937673
H02.403.720.500_epidemiology.csv H02.403.044.500_immunochemistry.csv -79.66799014083985 -77.85727438822289 -79.17666108090414 -73.06665760986891 -64.65811734272116
H02.403.720.500_epidemiology.csv H02.403.429.580_nephrology.csv -76.75525541758039 -74.8933679629759 -75.43085326201086 -68.70305682350768 -59.98763970946852
H02.403.720.500_epidemiology.csv H02.403.670.500_perinatology.csv -73.79834211254455 -71.70905689806885 -72.79614315489053 -66.20055201228813 -57.59231037929591
H02.403.720.500_epidemiology.csv H02.403.830_sports_medicine.csv -94.95008943021926 -94.13985421501164 -96.01067640259402 -89.22183963339647 -80.12683222503989
H02.403.720.500_epidemiology.csv H02.403.355_geriatrics.csv -74.20936816965936 -71.26075306616855 -70.52372007190607 -63.39859012075249 -54.70302109027112
H02.403.720.500_epidemiology.csv H02.403.810.494_orthopedics.csv -92.07719645724644 -91.5474669600197 -92.98110706000136 -86.59048385931358 -78.09665257150756
H02.403.720.500_epidemiology.csv H02.403.810.850_traumatology.csv -80.01228582421403 -77.5796490521812 -76.54389511397619 -69.01943670083297 -60.11138519826998
H02.403.720.500_epidemiology.csv H02.403.670.400_neonatology.csv -74.79952399337985 -71.99973788537997 -72.35392245235553 -65.57960163249086 -57.03854721956977
H02.403.720.500_epidemiology.csv H02.403.350_genetics_medical.csv -77.68872658835868 -75.49005827452088 -76.49318976977953 -69.87935921299677 -61.29301798481823
H02.403.720.500_epidemiology.csv H02.403.810.425_neurosurgery.csv -86.64623194230414 -83.587437860463 -84.34654640250405 -77.52335657933321 -68.9073800623924
H02.403.720.500_epidemiology.csv H02.403.810.526_otolaryngology.csv -71.98490956407754 -68.45958553391125 -67.32980755864182 -60.32861756206732 -51.88292854595195
H02.403.720.500_epidemiology.csv H02.403.720.500_epidemiology.csv -76.106840360501 -74.3916550062092 -77.67549826091538 -72.57734904905368 -64.52349773317975
H02.403.720.500_epidemiology.csv H02.403.650_pathology.csv -73.01784960557048 -69.74553533325852 -68.83381187041088 -61.81497757404961 -53.37078955146995
H02.403.720.500_epidemiology.csv H02.403.066_anesthesiology.csv -92.33910657340495 -92.09045026940964 -93.93348808453622 -86.99094710684402 -77.91053168471912
H02.403.720.500_epidemiology.csv H02.403.429.405_gastroenterology.csv -73.11734851746486 -70.56126078030694 -70.02169321407347 -63.1201036649249 -54.49824375035592
