Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.740.500_nuclear_medicine.csv H02.403.340_general_practice.csv -72.28271701763765 -72.02217023136578 -69.37843504547511 -62.13015499386761 -53.65724022807485
H02.403.740.500_nuclear_medicine.csv H02.403.429.515_medical_oncology.csv -67.8502313356995 -64.27336749910064 -60.477772575873495 -53.34437052318885 -45.77830522811929
H02.403.740.500_nuclear_medicine.csv H02.403.330_forensic_medicine.csv -65.43704227404929 -61.867495669320824 -57.72697958213925 -50.23740428075664 -43.18799344267696
H02.403.740.500_nuclear_medicine.csv H02.403.810.468_ophthalmology.csv -72.97254640794459 -68.76090928000843 -64.77145452740571 -57.43101576502504 -49.60343229871074
H02.403.740.500_nuclear_medicine.csv H02.403.810.788_surgery_plastic.csv -84.61906697773435 -82.45430286306977 -79.41810248298563 -72.21728084565926 -64.34617708124702
H02.403.740.500_nuclear_medicine.csv H02.403.429.480_infectious_disease_medicine.csv -83.0892639126904 -80.37825081302216 -77.14267699996148 -69.71413134037232 -61.7246793490747
H02.403.740.500_nuclear_medicine.csv H02.403.600_neurology.csv -73.05856859092333 -68.83921681715097 -64.95541946991801 -57.57681940284198 -49.756004575544004
H02.403.740.500_nuclear_medicine.csv H02.403.763_reproductive_medicine.csv -87.42942878803095 -85.21876715999744 -82.07158162355769 -74.95481608681638 -67.06059078323965
H02.403.740.500_nuclear_medicine.csv H02.403.690_psychiatry.csv -73.81349633070825 -72.07248287361476 -69.29516967923918 -62.29751938701963 -54.425622828635355
H02.403.740.500_nuclear_medicine.csv H02.403.429.730_rheumatology.csv -73.28674157038942 -69.65942649313097 -65.8632157252125 -58.60600115134973 -50.79062324750376
H02.403.740.500_nuclear_medicine.csv H02.403.740_radiology.csv -71.85303376628593 -68.01118583790992 -64.22321246128898 -56.96691003714693 -49.29866260268848
H02.403.740.500_nuclear_medicine.csv H02.403.044.500_immunochemistry.csv -76.1248092297349 -72.893510513505 -69.56102711940383 -62.49366181960229 -54.746986477372815
H02.403.740.500_nuclear_medicine.csv H02.403.429.580_nephrology.csv -72.3976802391703 -69.38834068038405 -65.61319777579641 -58.31152388057005 -50.48904443841254
H02.403.740.500_nuclear_medicine.csv H02.403.670.500_perinatology.csv -71.17875218814508 -67.27211261852437 -63.652599995640045 -56.33808449337216 -48.52792314745557
H02.403.740.500_nuclear_medicine.csv H02.403.830_sports_medicine.csv -88.51091816295173 -85.42653853377021 -82.48535601912988 -75.31973473758586 -67.28936387622572
H02.403.740.500_nuclear_medicine.csv H02.403.355_geriatrics.csv -69.4711093224061 -65.24097637168377 -61.11374042538934 -53.782865237008714 -46.04849252917941
H02.403.740.500_nuclear_medicine.csv H02.403.810.494_orthopedics.csv -85.5726842999057 -83.30436096686284 -80.49823578346336 -73.47544137013513 -65.70746336686422
H02.403.740.500_nuclear_medicine.csv H02.403.810.850_traumatology.csv -74.66623958251589 -70.31214226561802 -65.897527506014 -58.39040064260186 -50.53298520455278
H02.403.740.500_nuclear_medicine.csv H02.403.670.400_neonatology.csv -71.5516291657791 -66.88233266157606 -62.963343138211776 -55.67209652648824 -47.98217392511769
