Train Test Prob1gram Prob2gram Prob3gram Prob4gram Prob5gram
H02.403.740_radiology.csv H02.403.340_general_practice.csv -70.678819398494 -70.66941465701467 -68.41023224071097 -61.78455666269653 -53.597334368927804
H02.403.740_radiology.csv H02.403.429.515_medical_oncology.csv -66.98361533537809 -63.824612695249776 -60.05902349861224 -53.07407227020693 -45.639507980715806
H02.403.740_radiology.csv H02.403.330_forensic_medicine.csv -65.2462099534174 -62.01081184482183 -57.738044457483696 -50.06934887782709 -43.022425024068575
H02.403.740_radiology.csv H02.403.810.468_ophthalmology.csv -71.70859425597074 -68.06727695042562 -64.40929109748579 -57.20380874855873 -49.476043935207784
H02.403.740_radiology.csv H02.403.810.788_surgery_plastic.csv -82.83230080173027 -81.66532092944855 -78.77522898870248 -71.78704830399191 -64.13567027681731
H02.403.740_radiology.csv H02.403.429.480_infectious_disease_medicine.csv -81.69081973490225 -79.43303847668055 -76.45136720626076 -69.41809059077029 -61.594358910907886
H02.403.740_radiology.csv H02.403.600_neurology.csv -71.49857810072349 -67.98119895099632 -64.48095453543658 -57.33331989303409 -49.633081789102356
H02.403.740_radiology.csv H02.403.763_reproductive_medicine.csv -86.77958121733492 -84.95195366988084 -81.38345522735167 -74.56542804721929 -66.86862585887965
H02.403.740_radiology.csv H02.403.690_psychiatry.csv -72.90888859509091 -71.43209559603878 -68.87703362329333 -61.93808187310077 -54.19056353786593
H02.403.740_radiology.csv H02.403.429.730_rheumatology.csv -71.59801275788264 -68.71791147998849 -65.49246625760753 -58.37816267396489 -50.67788259258716
H02.403.740_radiology.csv H02.403.740_radiology.csv -68.96184144290392 -66.24153430343912 -63.24052091643797 -56.54800314642575 -49.10376647826305
H02.403.740_radiology.csv H02.403.044.500_immunochemistry.csv -75.8593028162125 -72.82200274962086 -69.37304663053868 -62.36969464132437 -54.66996367057701
H02.403.740_radiology.csv H02.403.429.580_nephrology.csv -71.23364638560442 -68.74263813455045 -65.16796111356219 -58.04795802798765 -50.35707233267732
H02.403.740_radiology.csv H02.403.670.500_perinatology.csv -69.74248013308323 -66.51162117258623 -63.006443222054436 -55.98534300726904 -48.3596921910118
H02.403.740_radiology.csv H02.403.830_sports_medicine.csv -85.61480108318455 -84.12674118817854 -81.90960859865606 -75.08041200967513 -67.18303658948678
H02.403.740_radiology.csv H02.403.355_geriatrics.csv -68.06549449317673 -64.58809038084604 -60.71472922261695 -53.547095839772815 -45.91999233791103
H02.403.740_radiology.csv H02.403.810.494_orthopedics.csv -83.24454316009047 -82.05757171800164 -79.63095712947903 -72.99186939870431 -65.49124112341268
H02.403.740_radiology.csv H02.403.810.850_traumatology.csv -72.03749047236897 -69.07002104457638 -65.3028158713132 -58.0973521405444 -50.38808541537473
H02.403.740_radiology.csv H02.403.670.400_neonatology.csv -69.82839788634685 -66.03355143670665 -62.4009552074762 -55.362227832493794 -47.83288264396113
H02.403.740_radiology.csv H02.403.350_genetics_medical.csv -72.15681051088721 -69.25346390314061 -65.98231159593945 -58.96651085701034 -51.402256720496574
H02.403.740_radiology.csv H02.403.810.425_neurosurgery.csv -77.9939419244815 -74.95049444478809 -72.34967990188707 -65.4697210058804 -57.86954808849371
H02.403.740_radiology.csv H02.403.810.526_otolaryngology.csv -65.57398401544143 -61.65798561080965 -57.727707789763556 -50.82101164587282 -43.49687648697678
H02.403.740_radiology.csv H02.403.720.500_epidemiology.csv -74.61832372094389 -72.42960578289038 -69.38315932394102 -62.37245225291086 -54.686664938199606
H02.403.740_radiology.csv H02.403.650_pathology.csv -66.57843854144208 -62.92335047718624 -59.107048604492775 -52.17386299777792 -44.80584294700046
H02.403.740_radiology.csv H02.403.066_anesthesiology.csv -84.1756834162417 -82.92477828613518 -80.42711020797906 -73.22061493732056 -65.30181950953875
H02.403.740_radiology.csv H02.403.429.405_gastroenterology.csv -67.04005750318706 -64.08447639367331 -60.36009463786116 -53.373996124204766 -45.78905036006361
H02.403.740_radiology.csv H02.403.763.750_gynecology.csv -68.4706184024439 -65.06753488524627 -61.3171979522931 -54.48125946816885 -47.00181565621262
H02.403.740_radiology.csv H02.403.225_dermatology.csv -65.13946439791516 -60.659980644854684 -56.30911778914245 -49.16083347278416 -41.77692174490787
H02.403.740_radiology.csv H02.403.720.750_preventive_medicine.csv -73.71492264263517 -71.08185102551248 -67.78094074338001 -60.76686750284857 -53.12955274240899
H02.403.740_radiology.csv H02.403.429.675_pulmonary_medicine.csv -72.26685327445078 -70.00175293958274 -66.89775183895325 -59.8478939890755 -52.0847202419047
H02.403.740_radiology.csv H02.403.810.450_obstetrics.csv -71.38553241402062 -68.53372013267919 -65.15661822107035 -58.184040242269376 -50.51234981200026
H02.403.740_radiology.csv H02.403.429.445_hematology.csv -74.76057544543862 -71.16317177473404 -67.41546586953602 -60.1226348209111 -52.31768459313549
H02.403.740_radiology.csv H02.403.645_palliative_medicine.csv -73.35755032947328 -72.0306506619087 -69.23420650371116 -62.61329647505125 -54.89584510785847
H02.403.740_radiology.csv H02.403.340.500_family_practice.csv -71.11999631516194 -69.54358469118904 -67.11764279797836 -60.653887415848956 -53.07152300051075
H02.403.740_radiology.csv H02.403.429_internal_medicine.csv -70.22717882487531 -67.85840410221354 -64.3451270711571 -57.27960964215098 -49.603540098687226
H02.403.740_radiology.csv H02.403.810_specialties_surgical.csv -80.84295210871515 -80.95463251606874 -78.04630188788609 -71.03769545783967 -62.99721218383236
H02.403.740_radiology.csv H02.403.670_pediatrics.csv -70.87034028912946 -67.62216456769096 -64.14849492653249 -56.994084606331626 -49.364995163831296
H02.403.740_radiology.csv H02.403.810.300_general_surgery.csv -74.40122047437632 -71.80410048939748 -68.60893632994072 -61.61316372078865 -53.95752584682723
H02.403.740_radiology.csv H02.403.909_venereology.csv -80.00900630646198 -78.44110808169557 -76.56368330001918 -69.70003359061708 -61.989817574767414
H02.403.740_radiology.csv H02.403.044_allergy_and_immunology.csv -73.08653963324758 -70.35266376614119 -68.52401154155362 -62.27740402730501 -55.24952440807451
H02.403.740_radiology.csv H02.403.500_military_medicine.csv -80.26759918316075 -86.23787092628741 -84.75926139420179 -76.16463305058161 -67.70189604496143
H02.403.740_radiology.csv H02.403.680.600_rehabilitation.csv -78.38349338358915 -76.27146246793102 -73.68509939298099 -66.79141920693327 -59.21908910172197
H02.403.740_radiology.csv H02.403.740.500_nuclear_medicine.csv -84.37887885620636 -84.88480673563414 -84.18568315092921 -78.17414599457187 -70.66286445413317
H02.403.740_radiology.csv H02.403.810.803_thoracic_surgery.csv -80.52675097151489 -78.36189094273394 -75.79457021176404 -68.8717663417316 -61.0858853697794
H02.403.740_radiology.csv H02.403.810.860_urology.csv -67.63173489778814 -64.43788618536216 -60.617017240194166 -53.58742914030251 -46.083527884829316
